old_tc_id	new_tc_id	row	changed_cols	reason
NR1L-ICS-005	NR1L-ICS-005	14	13	P-v3→v4:recv
NR1L-ICS-006	NR1L-ICS-006	15	13	P-v3→v4:recv
NR1L-ICS-007	NR1L-ICS-007	16	13	P-v3→v4:recv
NR1L-ICS-008	NR1L-ICS-008	17	13	P-v3→v4:recv
NR1L-ICS-009	NR1L-ICS-009	18	13	P-v3→v4:recv
NR1L-ICS-010	NR1L-ICS-010	19	13	P-v3→v4:recv
NR1L-ICS-011	NR1L-ICS-011	20	13	P-v3→v4:recv
NR1L-ICS-012	NR1L-ICS-012	21	13	P-v3→v4:recv
NR1L-ICS-025	NR1L-ICS-025	34	13	P-v3→v4:recv
NR1L-ICS-027	NR1L-ICS-027	36	13	P-v3→v4:recv
NR1L-ICS-028	NR1L-ICS-028	37	13	P-v3→v4:recv
NR1L-ICS-029	NR1L-ICS-029	38	13	P-v3→v4:recv
NR1L-ICS-030	NR1L-ICS-030	39	13	P-v3→v4:recv
NR1L-ICS-031	NR1L-ICS-031	40	13	P-v3→v4:recv
