req_id	outline	polarion_id	spec_reference	title
SWE1-HMI-001	1.2.1		Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_1.2.1	
SWE1-HMI-002	1.2.2		Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_1.2.2	
SWE1-HMI-003-01	1.2.3		Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_1.2.3	
SWE1-HMI-003-02	1.2.3		Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_1.2.3	
SWE1-HMI-004	1.2.4		Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_1.2.4	
SWE1-HMI-005	1.2.6		Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_1.2.6	
SWE1-HMI-006	1.2.7		Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_1.2.7	
SWE1-HMI-007	1.2.8		Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_1.2.8	
SWE1-HMI-008	1.2.9		Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_1.2.9	
SWE1-HMI-009	1.2.10		Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_1.2.10	
SWE1-HMI-010-01	2.2.1		Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_2.2.1	
SWE1-HMI-010-02	2.2.1		Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_2.2.1	
SWE1-HMI-010-03	2.2.1		Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_2.2.1	
SWE1-HMI-011-01	2.3		Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_2.3	
SWE1-HMI-011-02	2.3		Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_2.3	
SWE1-HMI-011-03	2.3		Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_2.3	
SWE1-HMI-011-04	2.3		Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_2.3	
SWE1-HMI-012-01	2.3.1		Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_2.3.1	
SWE1-HMI-012-02	2.3.1		Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_2.3.1	
SWE1-HMI-013-01	2.5		Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_2.5	
SWE1-HMI-013-02	2.5		Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_2.5	
SWE1-HMI-013-03	2.5		Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_2.5	
SWE1-HMI-013-04	2.5		Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_2.5	
SWE1-HMI-014-01	2.5.1		Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_2.5.1	
SWE1-HMI-014-02	2.5.1		Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_2.5.1	
SWE1-HMI-015	2.5.2		Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_2.5.2	
SWE1-HMI-016	2.5.3		Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_2.5.3	
SWE1-HMI-017-01	2.6		Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_2.6	
SWE1-HMI-017-02	2.6		Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_2.6	
SWE1-HMI-017-03	2.6		Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_2.6	
SWE1-HMI-018-01	2.6.1		Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_2.6.1	
