row	intake_id	intake_outline	cache_id	cache_outline	same_id	same_outline	same_desc
2	NRL-127916	1	NRL-127916	1	True	True	True
3	NRL-127917	1.1	NRL-127917	1.1	True	True	True
4	NRL-127918	1.1.1	NRL-127918	1.1.1	True	True	True
5	NRL-127919	1.1.2	NRL-127919	1.1.2	True	True	True
6	NRL-127920	1.1.3	NRL-127920	1.1.3	True	True	True
7	NRL-127921	1.1.4	NRL-127921	1.1.4	True	True	True
8	NRL-127922	1.1.5	NRL-127922	1.1.5	True	True	True
9	NRL-127923	1.1.6	NRL-127923	1.1.6	True	True	True
10	NRL-127924	1.1.7	NRL-127924	1.1.7	True	True	True
11	NRL-127925	1.1.8	NRL-127925	1.1.8	True	True	True
12	NRL-127926	1.1.9	NRL-127926	1.1.9	True	True	True
13	NRL-127927	1.1.10	NRL-127927	1.1.10	True	True	True
14	NRL-127928	1.1.11	NRL-127928	1.1.11	True	True	True
15	NRL-127929	1.1.12	NRL-127929	1.1.12	True	True	True
16	NRL-127930	1.1.13	NRL-127930	1.1.13	True	True	True
17	NRL-127931	1.2	NRL-127931	1.2	True	True	True
18	NRL-127932	1.2.1	NRL-127932	1.2.1	True	True	True
19	NRL-127933	1.2.2	NRL-127933	1.2.2	True	True	True
20	NRL-127934	1.2.3	NRL-127934	1.2.3	True	True	True
21	NRL-127935	1.2.4	NRL-127935	1.2.4	True	True	True
22	NRL-127936	1.2.5	NRL-127936	1.2.5	True	True	True
23	NRL-349292	1.2.6	NRL-349292	1.2.6	True	True	True
24	NRL-127937	1.2.7	NRL-127937	1.2.7	True	True	True
25	NRL-127938	1.2.8	NRL-127938	1.2.8	True	True	True
26	NRL-127939	1.2.9	NRL-127939	1.2.9	True	True	True
27	NRL-127940	1.2.10	NRL-127940	1.2.10	True	True	True
28	NRL-127941	2	NRL-127941	2	True	True	True
29	NRL-127942	2.1	NRL-127942	2.1	True	True	True
30	NRL-127943	2.2	NRL-127943	2.2	True	True	True
31	NRL-127944	2.2.1	NRL-127944	2.2.1	True	True	True
32	NRL-127945	2.2.2	NRL-127945	2.2.2	True	True	True
33	NRL-127946	2.3	NRL-127946	2.3	True	True	True
34	NRL-127947	2.3.1	NRL-127947	2.3.1	True	True	True
35	NRL-127948	2.4	NRL-127948	2.4	True	True	True
36	NRL-127949	2.5	NRL-127949	2.5	True	True	True
37	NRL-127950	2.5.1	NRL-127950	2.5.1	True	True	True
38	NRL-127951	2.5.2	NRL-127951	2.5.2	True	True	True
39	NRL-396174	2.5.3	NRL-396174	2.5.3	True	True	True
40	NRL-127952	2.6	NRL-127952	2.6	True	True	True
41	NRL-127953	2.6.1	NRL-127953	2.6.1	True	True	True
42	NRL-127954	3	NRL-127954	3	True	True	True
43	NRL-127955	3.1	NRL-127955	3.1	True	True	True
44	NRL-127956	3.2	NRL-127956	3.2	True	True	True
45	NRL-127957	4	NRL-127957	4	True	True	True
46	NRL-127958	4.1	NRL-127958	4.1	True	True	True
47	NRL-127959	5	NRL-127959	5	True	True	True
48	NRL-127960	5.1	NRL-127960	5.1	True	True	True
49	NRL-127961	5.2	NRL-127961	5.2	True	True	True
50	NRL-396175	5.3	NRL-396175	5.3	True	True	True
51	NRL-127962	5.3.1	NRL-127962	5.3.1	True	True	True
52	NRL-127963	5.4	NRL-127963	5.4	True	True	True
53	NRL-127964	5.5	NRL-127964	5.5	True	True	True
54	NRL-127965	5.5.1	NRL-127965	5.5.1	True	True	True
55	NRL-127966	5.6	NRL-127966	5.6	True	True	True
56	NRL-127967	5.7	NRL-127967	5.7	True	True	True
57	NRL-127968	5.8	NRL-127968	5.8	True	True	True
58	NRL-127969	5.9	NRL-127969	5.9	True	True	True
59	NRL-127970	5.9.1	NRL-127970	5.9.1	True	True	True
60	NRL-127971	5.9.2	NRL-127971	5.9.2	True	True	True
61	NRL-127972	5.9.3	NRL-127972	5.9.3	True	True	True
62	NRL-127973	5.9.4	NRL-127973	5.9.4	True	True	True
63	NRL-127974	5.10	NRL-127974	5.10	True	True	True
64	NRL-127975	5.11	NRL-127975	5.11	True	True	True
65	NRL-127976	5.11.1	NRL-127976	5.11.1	True	True	True
66	NRL-127977	5.12	NRL-127977	5.12	True	True	True
67	NRL-127978	5.13	NRL-127978	5.13	True	True	True
68	NRL-127979	5.14	NRL-127979	5.14	True	True	True
69	NRL-127980	5.15	NRL-127980	5.15	True	True	True
70	NRL-127981	5.16	NRL-127981	5.16	True	True	True
71	NRL-127982	5.16.1	NRL-127982	5.16.1	True	True	False
72	NRL-535272	5.17	NRL-127983	5.17	False	True	False
73	NRL-127983	5.18	NRL-127984	5.18	False	True	False
74	NRL-127984	5.19	NRL-127985	5.19	False	True	False
75	NRL-127985	5.20	NRL-127986	5.20	False	True	False
76	NRL-127986	5.21	NRL-127987	6	False	False	False
77	NRL-127987	6	NRL-127988	6.1	False	False	False
78	NRL-127988	6.1	NRL-127989	6.2	False	False	False
79	NRL-127989	6.2	NRL-127990	6.3	False	False	False
