# source	forms/Pop Up List HMI R1 (26PI).xlsx
# source_sha256	ff47b7be63e5824cafe35deda9f9ddd0a63f6ea458169ef73689a1c559ea13ea
# baseline	Main!A1 = SR24 Post 2A CR25802
# 母體	Main r3 起，A 欄 ^PU\d，逐列 = 1340
# 類別判準	a: C 欄 strip 後 ^\d+(\.\d+)?$ ／ b: D 欄含 outside（不分大小寫，子字串） ／ c: D|E|G 任一含 keyboard（同上）
# 一列可屬多類；class 欄以 + 併記
row	pu_id	module	timeout_sec	exit_conditions	string_60	class
6	PU0003	Media	5	Timeout	Media file \nnot found	a
9	PU0006	CD	5	Timeout	Media                                <X>\n\nNo media device av	a
13	PU0010	Settings	5			a
14	PU0011	Settings	5			a
19	PU0016	SDARS	5	Timeout \n<X>\n<Cancel>\n<Remove Sel.>	Gamezone                <X>\n\nList Full\n\nYour favorite teams 	a
20	PU0017	SDARS	3	Timeout	Skipped channel	a
22	PU0019	SDARS	3	Timeout	Subscription\nUpdated	a
25	PU0022	Media	N/A	User selects a letter or Number or <X> button	ABC    <Language Swap Buttons>     <X>\n\n<A> <B> <C> <D> <E> 	c
26	PU0023	Media	N/A	User selects a letter or Number or <X> button	ABC    <Language Swap Buttons>     <X>\n\n<Other Language Keyb	c
31	PU0028	Anti-Theft	2	Timeout	Radio enabled	a
41	PU0038	SDARS	20	Timeout\n<Switch to Garme> \nor <Cancel> or <X>	(Game Score/Start Alert)             <X>\n\n(Away Team Name)  	a
73	PU0070	VR	5	<X>\n<OK>	<X>\nVoice command not successful.\n<OK>	a
76	PU0073	VR	3	After the system cancels the VR prompt	(Cancelled Animation Talking Head Icon) Cancelled...	a
78	PU0075	Bluetooth	5	<X>\n<OK>	Device Unavailable                     <X>\n\nMake sure device	a
95	PU0092	Audio	2 3	Timeout, press outside of the popup.	(Volume Bar) (Volume value)	b
96	PU0093	SDARS	2	Timeout	Fav Artist Added\n\n<Artist Name>	a
97	PU0094	SDARS	2	Timeout	Fav Song Added\n\n(Song Name)	a
98	PU0095	SDARS	5	Timeout	<X>\n\nAlready a favorite.	a
99	PU0096	SDARS	2	Timeout	Team Added\n\n(Team Name)	a
133	PU0130	Temperature	10	Timeout\nor when display turns off\nSystems Team	Screen is Hot.\nDisplay turning off to cool down.	a
167	PU0164	Media	3			a
169	PU0166	Phone	5	Timeout\n<X>\n<OK>	<X>\n\nCannot Power OFF System during active phone call.  \n\n<O	a
185	PU0182	DNA	5	X	<X>	a
186	PU0183	DNA	5	X	<X>	a
187	PU0184	DNA	5	X	<X>	a
188	PU0185	DNA	5	X	dna Drive Mode Selector                                     	a
203	PU0200	KeySense	5	Timeout\nuser buckles seatbelt	KeySense\n[icon]\nBuckle Seatbelt to unmute music.	a
204	PU0201	KeySense	5	Timeout\nvolume is decreased	KeySense\n[icon]\nMax volume limit reached.\nKeySense in use.	a
227	PU0224\nPU0126	SDARS	4		Song Tagged \n\nTagged song list is full.  Connect compatible 	a
234	PU0231	General	3	Timeout	N/A	a
235	PU0232	General	N/A	<X>\n<OK>	<X>\nKeyboard unavailable while vehicle is in motion. Press '	c
243	PU0240	Climate Comfort	3	Timeout	Following text string is applicable to BEV/REPB vehicles wit	a
244	PU0241	Media	10		Browse,\nBrowse list is being built. Larger media collections	a
247	PU0244	SDARS	20	Timeout\n<X>\n<Add Fav Artist>\n<Add Fav Song>\n<Add Fav Artist and Song>	Favorites          <X>\n<Add Fav Artist>\n<Add Fav Song>\n<Add 	a
256	PU0252	Projection Device	5	<X>\n<Yes>\n<No>\n\n\nFor R1 Low 7", do not display <No> option, follow template 14 with YES and [X} to dismiss	<X>\n\n<Device Name> detected. Do you want to switch devices a	a
285	PU0281	Nav	5	<X>\n<Close>\n<Disable Alerts>	Speed Camera Warning <x>\n\nATTENTION\nPolice potentially trapp	a
286	PU0282	nav	5	<X>\n<Close>\n<Disable Alerts>	Speed Camera Warning <x>\n\nATTENTION\nFixed Speed Camera in th	a
287	PU0283	nav	5	<X>\n<Close>\n<Disable Alerts>	Speed Camera Warning <x>\n\nATTENTION\nOne or More Speed Camera	a
288	PU0284	nav	5	<X>\n<Close>\n<Disable Alerts>	Speed Camera Warning <x>\n\nATTENTION\nAverage Speed Cameras ah	a
289	PU0285	nav	5	<X>\n<Close>\n<Disable Alerts>	Speed Camera Warning <x>\n\nATTENTION\nRed Light and Speed Came	a
290	PU0286	nav	5	<X>\n<Close>\n<Disable Alerts>	Speed Camera Warning <x>\n\nATTENTION\nTemporary Speed Camera i	a
291	PU0287	nav	5	<X>\n<Close>\n<Disable Alerts>	Speed Camera Warning <x>\n\nATTENTION\nRed Light Camera monitor	a
292	PU0288	nav	5	<X>\n<Close>\n<Disable Alerts>	Speed Camera Warning <x>\n\nATTENTION\nDanger Area\n\n<Close>  <D	a
293	PU0289	nav	5	<X>\n<Close>\n<Disable Alerts>	Speed Camera Warning <x>\n\nATTENTION\nAccident Blackspot in th	a
294	PU0290	nav	5	<X>\n<Close>\n<Disable Alerts>	Speed Camera Warning <x>\n\nATTENTION\nTemporary Danger area\n\n<	a
295	PU0291	nav	5	<X>\n<Close>\n<Disable Alerts>	Traffic Warning <x>\n\nATTENTION\nTraffic Jam in this area\n\n<Cl	a
296	PU0292	nav	5	<X>\n<Close>\n<Disable Alerts>	Speed Warning <x>\n\nATTENTION\nVehicle over speed limit\n\n<Clos	a
300	PU0297	Comfort	3	timeout\npressing another control	NA\nFor standard level heated vented seats (off, HI, LO) disp	a
333	PU0330	Projection Device	5	Timeout or Close/X	<X>\n\nAndroid Auto connected.\nPrevious Bluetooth \ndevice disc	a
336	PU0333	VR	5	X	Body Message Text: "Voice Command not available during SOS C	a
353	PU0350	Phone	5	Timeout\n[X]	Favorites                                                   	a
364	PU0361	Cargo Camera	10	X\nTimeout	<X>	a
365	PU0362	Surround View Camera	10	X\nTimeout\nExceed 8mph	Check Entire Surroundings\nTop View\nRear View(Front View)\n<X>	a
366	PU0363	Surround  View Camera	10	X\nTimeout\nExceed 8mph	Rear Cross Path View\n(Front Cross Path View)\n<X>	a
367	PU0364	Climate Comfort	3	Timeout\nuser presses another control	For standard level heated vented seats (off, HI, LO) display	a
368	PU0365	Climate Comfort	1	Timeout	Display temperature in degrees based on temp set	a
372	PU0369	VP4--Performance Pages APP	5	X'; 'OK'	Performance Pages Application is currently not available.'	a
373	PU0370	VP4--Performance Pages APP	5	X'; 'OK'	No Storage Media Installed.  Check for Proper Installation o	a
374	PU0371	VP4--Performance Pages APP	5	X'; 'OK'	No Storage Media Installed.'	a
375	PU0372	VP4--Performance Pages APP	5	X'; 'OK'	Cannot Write to Storage Media.  Check that Write Protection 	a
376	PU0373	VP4--Performance Pages APP	5	X'; 'OK'	Cannot Write to Storage Media.'	a
