tc_id	class	itd_len	itd_lines	last_step_words	inline_words_est	disposition
NR1L-PowerManagement-005	c	80	1	17	30	IN §4.5 第 3 類獨立資料集 → 保留 ITD，Remarks 說明
NR1L-PowerManagement-006	a	87	3	16	19	多行，每行一訊號一賦值（R-P373(b)）→ 每一賦值一步內聯
NR1L-PowerManagement-008	a	56	2	15	16	多行，每行一訊號一賦值（R-P373(b)）→ 每一賦值一步內聯
NR1L-PowerManagement-009	a	61	2	18	21	多行，每行一訊號一賦值（R-P373(b)）→ 每一賦值一步內聯
NR1L-PowerManagement-010	a	61	2	15	13	多行，每行一訊號一賦值（R-P373(b)）→ 每一賦值一步內聯
NR1L-PowerManagement-013	a	56	2	15	16	多行，每行一訊號一賦值（R-P373(b)）→ 每一賦值一步內聯
NR1L-PowerManagement-014	a	37	1	16	12	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-015	a	87	3	15	19	多行，每行一訊號一賦值（R-P373(b)）→ 每一賦值一步內聯
NR1L-PowerManagement-016	a	56	2	15	16	多行，每行一訊號一賦值（R-P373(b)）→ 每一賦值一步內聯
NR1L-PowerManagement-028	a	46	1	9	14	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-039	a	42	1	15	18	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-042	a	46	1	15	19	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-044	a	48	1	15	14	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-045	a	35	1	14	12	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-046	a	35	1	14	12	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-047	a	56	1	11	15	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-051	a	51	1	7	8	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-052	a	51	1	7	8	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-053	a	51	1	7	8	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-054	a	51	1	7	8	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-061	a	37	1	10	11	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-072	a	38	1	10	6	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-073	a	42	1	10	7	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-078	a	41	1	9	7	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-079	a	41	1	10	7	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-080	a	41	1	9	7	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-081	a	42	1	12	7	內聯至 Procedure 該步，ITD 改 NA
NR1L-PowerManagement-082	b	62	1	8	7	單行逾 60 字元，逐條檢；逾 18 字則拆步，不得刪資料
