provisional_tc_id	final_tc_id	req_id	split_index
NR1L-PowerManagement-043	NR1L-PowerManagement-001	SWE-PM-011	1
NR1L-PowerManagement-044	NR1L-PowerManagement-002	SWE-PM-011	2
NR1L-PowerManagement-045	NR1L-PowerManagement-003	SWE-PM-011	3
NR1L-PowerManagement-046	NR1L-PowerManagement-004	SWE-PM-011	4
NR1L-PowerManagement-047	NR1L-PowerManagement-005	SWE-PM-011	5
NR1L-PowerManagement-048	NR1L-PowerManagement-006	SWE-PM-011	6
NR1L-PowerManagement-049	NR1L-PowerManagement-007	SWE-PM-012	1
NR1L-PowerManagement-050	NR1L-PowerManagement-008	SWE-PM-012	2
NR1L-PowerManagement-051	NR1L-PowerManagement-009	SWE-PM-013	1
NR1L-PowerManagement-052	NR1L-PowerManagement-010	SWE-PM-013	2
NR1L-PowerManagement-053	NR1L-PowerManagement-011	SWE-PM-013	3
NR1L-PowerManagement-054	NR1L-PowerManagement-012	SWE-PM-013	4
NR1L-PowerManagement-055	NR1L-PowerManagement-013	SWE-PM-013	5
NR1L-PowerManagement-056	NR1L-PowerManagement-014	SWE-PM-013	6
NR1L-PowerManagement-057	NR1L-PowerManagement-015	SWE-PM-014	1
NR1L-PowerManagement-058	NR1L-PowerManagement-016	SWE-PM-014	2
NR1L-PowerManagement-059	NR1L-PowerManagement-017	SWE-PM-014	3
NR1L-PowerManagement-060	NR1L-PowerManagement-018	SWE-PM-014	4
NR1L-PowerManagement-061	NR1L-PowerManagement-019	SWE-PM-014	5
NR1L-PowerManagement-062	NR1L-PowerManagement-020	SWE-PM-014	6
NR1L-PowerManagement-063	NR1L-PowerManagement-021	SWE-PM-014	7
NR1L-PowerManagement-064	NR1L-PowerManagement-022	SWE-PM-014	8
NR1L-PowerManagement-065	NR1L-PowerManagement-023	SWE-PM-014	9
NR1L-PowerManagement-066	NR1L-PowerManagement-024	SWE-PM-015	1
NR1L-PowerManagement-067	NR1L-PowerManagement-025	SWE-PM-015	2
NR1L-PowerManagement-068	NR1L-PowerManagement-026	SWE-PM-015	3
NR1L-PowerManagement-069	NR1L-PowerManagement-027	SWE-PM-015	4
NR1L-PowerManagement-070	NR1L-PowerManagement-028	SWE-PM-016	1
NR1L-PowerManagement-071	NR1L-PowerManagement-029	SWE-PM-017	1
NR1L-PowerManagement-072	NR1L-PowerManagement-030	SWE-PM-018	1
NR1L-PowerManagement-073	NR1L-PowerManagement-031	SWE-PM-018	2
NR1L-PowerManagement-074	NR1L-PowerManagement-032	SWE-PM-019	1
NR1L-PowerManagement-075	NR1L-PowerManagement-033	SWE-PM-019	2
NR1L-PowerManagement-076	NR1L-PowerManagement-034	SWE-PM-019	3
NR1L-PowerManagement-077	NR1L-PowerManagement-035	SWE-PM-019	4
NR1L-PowerManagement-078	NR1L-PowerManagement-036	SWE-PM-020	1
NR1L-PowerManagement-079	NR1L-PowerManagement-037	SWE-PM-020	2
NR1L-PowerManagement-080	NR1L-PowerManagement-038	SWE-PM-020	3
NR1L-PowerManagement-081	NR1L-PowerManagement-039	SWE-PM-021	1
NR1L-PowerManagement-082	NR1L-PowerManagement-040	SWE-PM-022	1
NR1L-PowerManagement-083	NR1L-PowerManagement-041	SWE-PM-023	1
NR1L-PowerManagement-084	NR1L-PowerManagement-042	SWE-PM-024	1
NR1L-PowerManagement-085	NR1L-PowerManagement-043	SWE-PM-025	1
NR1L-PowerManagement-086	NR1L-PowerManagement-044	SWE-PM-025	2
NR1L-PowerManagement-087	NR1L-PowerManagement-045	SWE-PM-025	3
NR1L-PowerManagement-088	NR1L-PowerManagement-046	SWE-PM-025	4
NR1L-PowerManagement-089	NR1L-PowerManagement-047	SWE-PM-025	5
NR1L-PowerManagement-090	NR1L-PowerManagement-048	SWE-PM-025	6
NR1L-PowerManagement-091	NR1L-PowerManagement-049	SWE-PM-025	7
NR1L-PowerManagement-092	NR1L-PowerManagement-050	SWE-PM-025	8
NR1L-PowerManagement-093	NR1L-PowerManagement-051	SWE-PM-026	1
NR1L-PowerManagement-094	NR1L-PowerManagement-052	SWE-PM-026	2
NR1L-PowerManagement-095	NR1L-PowerManagement-053	SWE-PM-026	3
NR1L-PowerManagement-096	NR1L-PowerManagement-054	SWE-PM-026	4
NR1L-PowerManagement-097	NR1L-PowerManagement-055	SWE-PM-027	1
NR1L-PowerManagement-098	NR1L-PowerManagement-056	SWE-PM-027	2
NR1L-PowerManagement-099	NR1L-PowerManagement-057	SWE-PM-028	1
NR1L-PowerManagement-100	NR1L-PowerManagement-058	SWE-PM-028	2
NR1L-PowerManagement-101	NR1L-PowerManagement-059	SWE-PM-028	3
NR1L-PowerManagement-102	NR1L-PowerManagement-060	SWE-PM-029	1
NR1L-PowerManagement-103	NR1L-PowerManagement-061	SWE-PM-029	2
NR1L-PowerManagement-104	NR1L-PowerManagement-062	SWE-PM-029	3
