req_id	split_index	gen2_delivered	gen3_new	tc_title
SWE-PM-001	1		NR1L-PowerManagement-001	Full-Operation keeps the TLM ON with all functionalities available
SWE-PM-001	2		NR1L-PowerManagement-002	Full-Operation holds in each listed ignition working condition
SWE-PM-002	3		NR1L-PowerManagement-003	Idle mutes the audio and allows only the Splash Screen
SWE-PM-002	4		NR1L-PowerManagement-004	Idle keeps ICS available and DTV off
SWE-PM-002	5		NR1L-PowerManagement-005	Idle provides the rear view camera images when needed
SWE-PM-002	6		NR1L-PowerManagement-006	Idle disables settings and all HMI interaction except the power button
SWE-PM-003	7		NR1L-PowerManagement-007	Remote Start Active reports Partial_Operation with AMP, ICS and DTV off
SWE-PM-003	8		NR1L-PowerManagement-008	Partial Operation keeps ANC, ACN and chimes audio active
SWE-PM-003	9		NR1L-PowerManagement-009	Partial Operation enables only the interaction that changes the status
SWE-PM-003	10		NR1L-PowerManagement-010	The HU does not enter stolen vehicle mode under any condition
SWE-PM-004	11		NR1L-PowerManagement-011	Timed keeps the TLM on with all functionalities available for a limited time
SWE-PM-004	12		NR1L-PowerManagement-012	Timed mode disables the Customer setting screens
SWE-PM-005	13		NR1L-PowerManagement-013	Standby turns the TLM off while the network stays on
SWE-PM-005	14		NR1L-PowerManagement-014	Entering Standby clears the antitheft activation request
SWE-PM-006	15		NR1L-PowerManagement-015	Sleep turns the TLM off with the network off as well
SWE-PM-006	16		NR1L-PowerManagement-016	Entering Sleep clears the antitheft activation request
SWE-PM-007	17		NR1L-PowerManagement-017	Bench turns the AMP, ICS and DTV on for the Engineering Line
SWE-PM-009	18		NR1L-PowerManagement-018	The ex-factory defaults are applied on the first power up
SWE-PM-009	19		NR1L-PowerManagement-019	A battery disconnection puts the TLM into the INIT state
SWE-PM-009	20		NR1L-PowerManagement-020	Leaving INIT restores the last settings and starts from Sleep
SWE-PM-011	21	NR1L-PowerManagement-001	NR1L-PowerManagement-021	VR button press in IDLE mode transitions the HU to Full-Operation
SWE-PM-011	22	NR1L-PowerManagement-002	NR1L-PowerManagement-022	CarPlay requesting audio and video keeps audio unmuted and screen on
SWE-PM-011	23	NR1L-PowerManagement-003	NR1L-PowerManagement-023	CarPlay requesting audio only activates the Screen OFF function
SWE-PM-011	24	NR1L-PowerManagement-004	NR1L-PowerManagement-024	CarPlay requesting video only mutes the audio and keeps the screen on
SWE-PM-011	25	NR1L-PowerManagement-005	NR1L-PowerManagement-025	CarPlay requesting neither audio nor video returns the HU to IDLE
SWE-PM-011	26	NR1L-PowerManagement-006	NR1L-PowerManagement-026	VR button long press in IDLE mode transitions the HU to Full-Operation
SWE-PM-012	27	NR1L-PowerManagement-007	NR1L-PowerManagement-027	User settings are restored after a battery reconnection
SWE-PM-012	28	NR1L-PowerManagement-008	NR1L-PowerManagement-028	TLM starts from Sleep state after leaving INIT
SWE-PM-013	29	NR1L-PowerManagement-009	NR1L-PowerManagement-029	Remote Start Active reports Partial_Operation
SWE-PM-013	30	NR1L-PowerManagement-010	NR1L-PowerManagement-030	Remote Start Active reports Partial_Operation in Ignition Pre_Start
SWE-PM-013	31	NR1L-PowerManagement-011	NR1L-PowerManagement-031	Remote Start Active reports Partial_Operation in Ignition Cranking
SWE-PM-013	32	NR1L-PowerManagement-012	NR1L-PowerManagement-032	Remote Start Active reports Partial_Operation in Ignition On Engine On
SWE-PM-013	33	NR1L-PowerManagement-013	NR1L-PowerManagement-033	AMP, ICS and DTV are off while chime audio stays active
SWE-PM-013	34	NR1L-PowerManagement-014	NR1L-PowerManagement-034	HMI interaction is disabled except for status changes
SWE-PM-014	35	NR1L-PowerManagement-015	NR1L-PowerManagement-035	Remote Start ends at ignition off: RemStartFail is set true
SWE-PM-014	36	NR1L-PowerManagement-016	NR1L-PowerManagement-036	RemStartFail is cleared when the call is not active
SWE-PM-014	37	NR1L-PowerManagement-017	NR1L-PowerManagement-037	Behaviour 1 with no active call passes the TLM to Standby
SWE-PM-014	38	NR1L-PowerManagement-018	NR1L-PowerManagement-038	Behaviour 1 with an active call passes the TLM to Timed
SWE-PM-014	39	NR1L-PowerManagement-019	NR1L-PowerManagement-039	Behaviour 2 on a Jeep with the driver door open passes to Standby
SWE-PM-014	40	NR1L-PowerManagement-020	NR1L-PowerManagement-040	Behaviour 2 otherwise passes to Timed keeping the active source
SWE-PM-014	41	NR1L-PowerManagement-021	NR1L-PowerManagement-041	Behaviour 1 reached through Auto_SwitchOn_Setting.Req on LTM High
SWE-PM-014	42	NR1L-PowerManagement-022	NR1L-PowerManagement-042	Behaviour 2 reached through Auto_SwitchOn_Setting.Req on LTM High
SWE-PM-014	43	NR1L-PowerManagement-023	NR1L-PowerManagement-043	Remote Start ends at ignition pre off: RemStartFail is set true
SWE-PM-015	44	NR1L-PowerManagement-024	NR1L-PowerManagement-044	Front_Panel_OnOff.Req press with no active call passes the TLM to Idle
SWE-PM-015	45	NR1L-PowerManagement-025	NR1L-PowerManagement-045	CLIMATIC_PANEL.Radio_Btn0 press with no active call passes the TLM to Idle
SWE-PM-015	46	NR1L-PowerManagement-026	NR1L-PowerManagement-046	Front_Panel_OnOff.Req press with the rear camera not active passes the TLM to Idle
SWE-PM-015	47	NR1L-PowerManagement-027	NR1L-PowerManagement-047	CLIMATIC_PANEL.Radio_Btn0 press with the rear camera not active passes the TLM to Idle
SWE-PM-016	48	NR1L-PowerManagement-028	NR1L-PowerManagement-048	Rear camera activation keeps the TLM in Full-Operation
SWE-PM-017	49	NR1L-PowerManagement-029	NR1L-PowerManagement-049	Rear camera deactivation restores the last active source
SWE-PM-018	50	NR1L-PowerManagement-030	NR1L-PowerManagement-050	Ignition off in Idle passes the TLM to Standby
SWE-PM-018	51	NR1L-PowerManagement-031	NR1L-PowerManagement-051	Ignition pre off in Idle passes the TLM to Standby
SWE-PM-019	52	NR1L-PowerManagement-032	NR1L-PowerManagement-052	Front_Panel_OnOff.Req press is ignored while the rear camera is enabled
SWE-PM-019	53	NR1L-PowerManagement-033	NR1L-PowerManagement-053	Front_Panel_OnOff.Req press otherwise shows the Splash Screen and enters Full-Operation
SWE-PM-019	54	NR1L-PowerManagement-034	NR1L-PowerManagement-054	CLIMATIC_PANEL.Radio_Btn0 press is ignored while the rear camera is enabled
SWE-PM-019	55	NR1L-PowerManagement-035	NR1L-PowerManagement-055	CLIMATIC_PANEL.Radio_Btn0 press otherwise shows the Splash Screen and enters Full-Operation
SWE-PM-020	56	NR1L-PowerManagement-036	NR1L-PowerManagement-056	Incoming call in Idle passes the TLM to Full-Operation
SWE-PM-020	57	NR1L-PowerManagement-037	NR1L-PowerManagement-057	Call ending on the Phone Main Screen returns the TLM to Idle
SWE-PM-020	58	NR1L-PowerManagement-038	NR1L-PowerManagement-058	Call ending on another screen keeps the TLM in Full-Operation
SWE-PM-021	59	NR1L-PowerManagement-039	NR1L-PowerManagement-059	Rear camera enable in Idle keeps Idle with video only
SWE-PM-022	60	NR1L-PowerManagement-040	NR1L-PowerManagement-060	Logistic mode on passes the TLM to Logistic Idle
SWE-PM-023	61	NR1L-PowerManagement-041	NR1L-PowerManagement-061	Leaving Ignition Off in Timed passes the TLM to Full-Operation
SWE-PM-024	62	NR1L-PowerManagement-042	NR1L-PowerManagement-062	Remote Start not active on leaving Ignition Off clears RemStartFail
SWE-PM-025	63	NR1L-PowerManagement-043	NR1L-PowerManagement-063	Front_Panel_OnOff.Req press in Timed with an active call shows a popup
SWE-PM-025	64	NR1L-PowerManagement-044	NR1L-PowerManagement-064	Accepting the Front_Panel_OnOff.Req popup passes the TLM to Standby
SWE-PM-025	65	NR1L-PowerManagement-045	NR1L-PowerManagement-065	Declining the Front_Panel_OnOff.Req popup keeps the TLM in Timed
SWE-PM-025	66	NR1L-PowerManagement-046	NR1L-PowerManagement-066	Front_Panel_OnOff.Req press in Timed with no active call passes to Standby
SWE-PM-025	67	NR1L-PowerManagement-047	NR1L-PowerManagement-067	CLIMATIC_PANEL.Radio_Btn0 press in Timed with an active call shows a popup
SWE-PM-025	68	NR1L-PowerManagement-048	NR1L-PowerManagement-068	Accepting the CLIMATIC_PANEL.Radio_Btn0 popup passes the TLM to Standby
SWE-PM-025	69	NR1L-PowerManagement-049	NR1L-PowerManagement-069	Declining the CLIMATIC_PANEL.Radio_Btn0 popup keeps the TLM in Timed
SWE-PM-025	70	NR1L-PowerManagement-050	NR1L-PowerManagement-070	CLIMATIC_PANEL.Radio_Btn0 press in Timed with no active call passes to Standby
SWE-PM-026	71	NR1L-PowerManagement-051	NR1L-PowerManagement-071	Door open on a Jeep from Full-Operation passes the TLM to Standby
SWE-PM-026	72	NR1L-PowerManagement-052	NR1L-PowerManagement-072	Door open with an active call keeps the TLM in Timed
SWE-PM-026	73	NR1L-PowerManagement-053	NR1L-PowerManagement-073	Door open with Standby as the previous state keeps the TLM in Timed
SWE-PM-026	74	NR1L-PowerManagement-054	NR1L-PowerManagement-074	A non Jeep brand does not take the door transition to Standby
SWE-PM-027	75	NR1L-PowerManagement-055	NR1L-PowerManagement-075	Antitheft failure clears the activation request within Timeout1
SWE-PM-027	76	NR1L-PowerManagement-056	NR1L-PowerManagement-076	Antitheft failure in Partial Operation keeps the original state
SWE-PM-028	77	NR1L-PowerManagement-057	NR1L-PowerManagement-077	Antitheft success clears the activation request
SWE-PM-028	78	NR1L-PowerManagement-058	NR1L-PowerManagement-078	Antitheft success with a zero timeout takes Timeout1 from PROXI
SWE-PM-028	79	NR1L-PowerManagement-059	NR1L-PowerManagement-079	Antitheft success on LTM High takes Timeout1 from PROXI
SWE-PM-029	80	NR1L-PowerManagement-060	NR1L-PowerManagement-080	Antitheft success clears the activation request on this variant
SWE-PM-029	81	NR1L-PowerManagement-061	NR1L-PowerManagement-081	Timeout1 follows Switch_Off_Time when the setting is zero
SWE-PM-029	82	NR1L-PowerManagement-062	NR1L-PowerManagement-082	Timeout1 follows PwrAccDelayAct when the setting is zero
SWE-PM-030	83	NR1L-PowerManagement-063	NR1L-PowerManagement-083	Splash Screen is shown for the configured wait time
SWE-PM-030	84	NR1L-PowerManagement-064	NR1L-PowerManagement-084	Splash Screen is shown for the Recall_Last branch
SWE-PM-031	85	NR1L-PowerManagement-065	NR1L-PowerManagement-085	Rear view camera images follow the enable signal in any state
SWE-PM-032	86	NR1L-PowerManagement-066	NR1L-PowerManagement-086	Remote Start from Standby passes the TLM to Partial Operation
SWE-PM-033	87	NR1L-PowerManagement-067	NR1L-PowerManagement-087	Ignition Pre Off from Partial Operation passes the TLM to Standby
