leaf	cfts	chapter_num	chapter_title	hit_count	item_ids	tokens
SWE-PM-001	009	1.6.2.1	TLM algorithm requirements	2	4941354,4941355	Sys-RA-PM-0013,Sys-RA-PM-0014
SWE-PM-001	009	1.6.2.1.1	Full-Operation	3	4941357,4941358,4941360	Sys-RA-PM-0016
SWE-PM-001	009	1.6.2.1.14	TLM modules and functionalities depending on operative state	1	4941453	Sys-RA-PM-0056
SWE-PM-002	009	1.6.2.1	TLM algorithm requirements	2	4941354,4941355	Sys-RA-PM-0013,Sys-RA-PM-0014
SWE-PM-002	009	1.6.2.1.2	Idle	7	4941364,4941365,4941366,4941369,4941371,4941372,4941373	Sys-RA-PM-0018,Sys-RA-PM-0019,Sys-RA-PM-0020,Sys-RA-PM-0022,Sys-RA-PM-0023,Sys-RA-PM-0024
SWE-PM-002	009	1.6.2.1.14	TLM modules and functionalities depending on operative state	1	4941453	Sys-RA-PM-0056
SWE-PM-003	009	1.6.2.1	TLM algorithm requirements	2	4941354,4941355	Sys-RA-PM-0013,Sys-RA-PM-0014
SWE-PM-003	009	1.6.2.1.3	Partial Operation	5	4941391,4941392,4941393,4941394,4941396	Sys-RA-PM-0029,Sys-RA-PM-0030
SWE-PM-003	009	1.6.2.1.4	Stolen Vehicle Mode	1	4941400	Sys-RA-PM-0031
SWE-PM-003	009	1.6.2.1.14	TLM modules and functionalities depending on operative state	1	4941453	Sys-RA-PM-0056
SWE-PM-004	009	1.6.2.1	TLM algorithm requirements	2	4941354,4941355	Sys-RA-PM-0013,Sys-RA-PM-0014
SWE-PM-004	009	1.6.2.1.5	Timed	5	4941402,4941403,4941404,4941406,4941407	Sys-RA-PM-0033
SWE-PM-004	009	1.6.2.1.14	TLM modules and functionalities depending on operative state	1	4941453	Sys-RA-PM-0056
SWE-PM-004	009	1.6.2.1.15.1	ICS Wakeup Reasons by POWER Button Pressed	1	4941663	Sys-RA-PM-0131
SWE-PM-005	009	1.6.2.1	TLM algorithm requirements	2	4941354,4941355	Sys-RA-PM-0013,Sys-RA-PM-0014
SWE-PM-005	009	1.6.2.1.6	Standby	4	4941410,4941411,4941412,4941413	Sys-RA-PM-0035
SWE-PM-005	009	1.6.2.1.14	TLM modules and functionalities depending on operative state	1	4941453	Sys-RA-PM-0056
SWE-PM-006	009	1.6.2.1	TLM algorithm requirements	2	4941354,4941355	Sys-RA-PM-0013,Sys-RA-PM-0014
SWE-PM-006	009	1.6.2.1.7	Sleep	4	4941416,4941417,4941418,4941419	Sys-RA-PM-0037
SWE-PM-006	009	1.6.2.1.14	TLM modules and functionalities depending on operative state	1	4941453	Sys-RA-PM-0056
SWE-PM-007	009	1.6.2.1	TLM algorithm requirements	2	4941354,4941355	Sys-RA-PM-0013,Sys-RA-PM-0014
SWE-PM-007	009	1.6.2.1.8	Bench	2	4941422,4941423	Sys-RA-PM-0039
SWE-PM-007	009	1.6.2.1.14	TLM modules and functionalities depending on operative state	1	4941453	Sys-RA-PM-0056
SWE-PM-008	009	1.6.2.1	TLM algorithm requirements	2	4941354,4941355	Sys-RA-PM-0013,Sys-RA-PM-0014
SWE-PM-008	009	1.6.2.1.9	Logistic Idle	3	4941426,4941427,4941428	Sys-RA-PM-0041
SWE-PM-008	009	1.6.2.1.10	Logistic Standby	2	4941431,4941432	Sys-RA-PM-0043
SWE-PM-008	009	1.6.2.1.11	Logistic Sleep	2	4941434,4941435	Sys-RA-PM-0045
SWE-PM-008	009	1.6.2.1.14	TLM modules and functionalities depending on operative state	1	4941453	Sys-RA-PM-0056
SWE-PM-008	009	1.6.7.1	TLM algorithm requirements	4	4941755,4941756,4941757,4941758	Sys-RA-PM-0184,Sys-RA-PM-0185,Sys-RA-PM-0186,Sys-RA-PM-0187
SWE-PM-009	009	1.6.2.1	TLM algorithm requirements	2	4941354,4941355	Sys-RA-PM-0013,Sys-RA-PM-0014
SWE-PM-009	009	1.6.2.1.13	TLM initialization: Init state	8	4941441,4941442,4941443,4941445,4941446,4941447,4941449,4941450	Sys-RA-PM-0049,Sys-RA-PM-0050,Sys-RA-PM-0051,Sys-RA-PM-0052,Sys-RA-PM-0053
SWE-PM-009	009	1.6.2.1.14	TLM modules and functionalities depending on operative state	1	4941453	Sys-RA-PM-0056
SWE-PM-010	009	1.9.12	Suspend to RAM	7	4941989,4941990,4941992,4941994,4941995,4941996,4941997	Sys-RA-PM-0299,Sys-RA-PM-0300,Sys-RA-PM-0301,Sys-RA-PM-0302,Sys-RA-PM-0303,Sys-RA-PM-0304,Sys-RA-PM-0305
SWE-PM-011	009	1.6.2.1.2	Idle	8	4941375,4941376,4941383,4941384,4941385,4941386,4941387,4941388	Sys-RA-PM-0025,Sys-RA-PM-0026,Sys-RA-PM-0027
SWE-PM-012	009	1.6.2.1.13	TLM initialization: Init state	2	4941449,4941450	Sys-RA-PM-0053
SWE-PM-013	009	1.6.2.1.3	Partial Operation	4	4941391,4941392,4941393,4941394	Sys-RA-PM-0029
SWE-PM-014	009	1.6.2.1.15	TLM_Status.Info and $Telematic_Power$ signal setting	8	4941504,4941505,4941506,4941507,4941508,4941510,4941511,4941512	Sys-RA-PM-0065,Sys-RA-PM-0066,Sys-RA-PM-0068
SWE-PM-015	009	1.6.2.1.15	TLM_Status.Info and $Telematic_Power$ signal setting	4	4941540,4941541,4941542,4941543	Sys-RA-PM-0069,Sys-RA-PM-0070,Sys-RA-PM-0071,Sys-RA-PM-0072
SWE-PM-016	009	1.6.2.1.15	TLM_Status.Info and $Telematic_Power$ signal setting	1	4941544	Sys-RA-PM-0073
SWE-PM-017	009	1.6.2.1.15	TLM_Status.Info and $Telematic_Power$ signal setting	1	4941545	Sys-RA-PM-0074
SWE-PM-018	009	1.6.2.1.15	TLM_Status.Info and $Telematic_Power$ signal setting	1	4941548	Sys-RA-PM-0076
SWE-PM-019	009	1.6.2.1.15	TLM_Status.Info and $Telematic_Power$ signal setting	6	4941552,4941553,4941554,4941555,4941556,4941557	Sys-RA-PM-0078,Sys-RA-PM-0079
SWE-PM-020	009	1.6.2.1.15	TLM_Status.Info and $Telematic_Power$ signal setting	2	4941558,4941559	Sys-RA-PM-0080
SWE-PM-021	009	1.6.2.1.15	TLM_Status.Info and $Telematic_Power$ signal setting	1	4941560	Sys-RA-PM-0081
SWE-PM-022	009	1.6.2.1.15	TLM_Status.Info and $Telematic_Power$ signal setting	1	4941562	Sys-RA-PM-0083
SWE-PM-023	009	1.6.2.1.15	TLM_Status.Info and $Telematic_Power$ signal setting	1	4941565	Sys-RA-PM-0084
SWE-PM-024	009	1.6.2.1.15	TLM_Status.Info and $Telematic_Power$ signal setting	1	4941566	Sys-RA-PM-0085
SWE-PM-025	009	1.6.2.1.15	TLM_Status.Info and $Telematic_Power$ signal setting	6	4941569,4941570,4941571,4941572,4941573,4941574	Sys-RA-PM-0086,Sys-RA-PM-0087
SWE-PM-026	009	1.6.2.1.15	TLM_Status.Info and $Telematic_Power$ signal setting	3	4941575,4941576,4941577	Sys-RA-PM-0088
