leaf	test_set	依據
SWE-PM-001	Power State	多章節但 Test Set 無歧義
SWE-PM-002	Power State	多章節但 Test Set 無歧義
SWE-PM-003	Power State	多章節但 Test Set 無歧義
SWE-PM-004	Power State	多章節但 Test Set 無歧義
SWE-PM-005	Power State	多章節但 Test Set 無歧義
SWE-PM-006	Power State	多章節但 Test Set 無歧義
SWE-PM-007	Power State	多章節但 Test Set 無歧義
SWE-PM-008	Power State	R-P33
SWE-PM-009	Power State	多章節但 Test Set 無歧義
SWE-PM-010	Power State	R-P15(a)
SWE-PM-011	Power State	R-P15(a)
SWE-PM-012	Power State	R-P15(a)
SWE-PM-013	Power State	R-P15(a)
SWE-PM-014	Power State	R-P15(a)
SWE-PM-015	Power State	R-P15(a)
SWE-PM-016	Power State	R-P15(a)
SWE-PM-017	Power State	R-P15(a)
SWE-PM-018	Power State	R-P15(a)
SWE-PM-019	Power State	R-P15(a)
SWE-PM-020	Power State	R-P15(a)
SWE-PM-021	Power State	R-P15(a)
SWE-PM-022	Power State	R-P15(a)
SWE-PM-023	Power State	R-P15(a)
SWE-PM-024	Power State	R-P15(a)
SWE-PM-025	Power State	R-P15(a)
SWE-PM-026	Power State	R-P15(a)
SWE-PM-027	Power State	R-P15(a)
SWE-PM-028	Power State	R-P15(a)
SWE-PM-029	Power State	R-P15(a)
SWE-PM-030	Power State	R-P15(a)
SWE-PM-031	Power State	R-P15(a)
SWE-PM-032	Power State	R-P15(a)
SWE-PM-033	Power State	R-P15(a)
SWE-PM-034	Power State	R-P15(a)
SWE-PM-035	Power State	R-P15(a)
SWE-PM-036	Power State	R-P15(a)
SWE-PM-037	Power State	R-P15(a)
SWE-PM-038	Timeout Settings	R-P15(a)
SWE-PM-039	Power State	R-P15(a)
SWE-PM-040	Power State	R-P15(a)
SWE-PM-041	Power State	R-P15(a)
SWE-PM-042	Power State	R-P15(a)
SWE-PM-043	Power State	R-P15(a)
SWE-PM-044	Power State	R-P15(a)
SWE-PM-045	Power State	R-P15(a)
SWE-PM-046	Power State	R-P15(a)
SWE-PM-047	Power State	R-P15(a)
SWE-PM-048	Power State	R-P15(a)
SWE-PM-049	Power State	R-P15(a)
SWE-PM-050	Power State	R-P15(a)
SWE-PM-051	Power State	R-P15(a)
SWE-PM-052	Power State	R-P15(a)
SWE-PM-053	Startup Display	R-P15(a)
SWE-PM-054	Startup Display	R-P15(a)
SWE-PM-055	Startup Display	R-P15(a)
SWE-PM-056	Startup Display	R-P15(a)
SWE-PM-057	Timeout Settings	R-P34
SWE-PM-058	Power State	R-P15(a)
SWE-PM-059	Power State	R-P15(a)
SWE-PM-060	Timeout Settings	R-P15(a)
SWE-PM-061	Timeout Settings	R-P15(a)
SWE-PM-062	Timeout Settings	R-P15(a)
SWE-PM-063	Timeout Settings	R-P15(a)
SWE-PM-064	Timeout Settings	R-P15(a)
SWE-PM-065	Timeout Settings	R-P15(a)
SWE-PM-066	Power State	R-P15(a)
SWE-PM-067	Power State	R-P15(a)
SWE-PM-068	Power State	R-P15(a)
SWE-PM-069	Power State	R-P15(a)
SWE-PM-070	Power State	R-P15(a)
SWE-PM-071	Power Down	R-P15(a)
SWE-PM-072	Power Down	R-P15(a)
SWE-PM-073	Power Down	R-P15(a)
SWE-PM-074	Startup Display	R-P15(a)
SWE-PM-075	Startup Display	R-P15(a)
SWE-PM-076	Power State	R-P15(a)
SWE-PM-077	Branding and Theme	R-P15(a)
SWE-PM-078	Branding and Theme	R-P15(a)
SWE-PM-079	Branding and Theme	R-P15(a)
SWE-PM-080	Branding and Theme	R-P15(a)
SWE-PM-081	Branding and Theme	R-P15(a)
SWE-PM-082	Branding and Theme	R-P15(a)
SWE-PM-083	Branding and Theme	R-P15(a)
SWE-PM-084	Branding and Theme	R-P15(a)
SWE-PM-085	Branding and Theme	R-P15(a)
SWE-PM-086	Branding and Theme	R-P15(a)
SWE-PM-087	Branding and Theme	R-P15(a)
SWE-PM-088	Branding and Theme	R-P15(a)
SWE-PM-090	Branding and Theme	R-P15(a)
SWE-PM-091	Branding and Theme	R-P15(a)
SWE-PM-092	Branding and Theme	R-P15(a)
SWE-PM-093	Startup Display	多章節但 Test Set 無歧義
SWE-PM-094	Startup Display	R-P15(a)
SWE-PM-095	Power State	R-P15(a)
SWE-PM-096	Branding and Theme	R-P15(a)
SWE-PM-097	Startup Display	R-P15(a)
SWE-PM-098	Startup Display	R-P15(a)
SWE-PM-099	Startup Display	R-P15(a)
SWE-PM-100	Startup Display	R-P15(a)
SWE-PM-101	Startup Display	R-P15(a)
SWE-PM-102	Startup Display	R-P15(a)
SWE-PM-103	Power State	R-P15(a)
SWE-PM-104	Startup Display	R-P15(a)
SWE-PM-105	Startup Display	R-P15(a)
SWE-PM-106	Startup Display	R-P15(a)
SWE-PM-107	Startup Display	R-P15(a)
SWE-PM-108	Startup Display	R-P15(a)
SWE-PM-109	Startup Display	R-P15(a)
SWE-PM-110	Startup Display	R-P15(a)
SWE-PM-111	Startup Display	R-P15(a)
SWE-PM-112	Startup Display	R-P15(a)
SWE-PM-113	Startup Display	R-P15(a)
SWE-PM-114	Power State	R-P15(a)
SWE-PM-115	Power State	R-P15(a)
