req_id	tc_id_new	tc_id_delivered_copy	tc_title	note
SWE-PM-071	NR1L-PowerManagement-001	新增	Splash screen shown after SplashScreen_Time on normal boot	
SWE-PM-071	NR1L-PowerManagement-002	新增	No splash screen when TLM passes to Standby	
SWE-PM-071	NR1L-PowerManagement-003	新增	No splash screen when TLM passes to Bench	
SWE-PM-071	NR1L-PowerManagement-004	新增	Standard screen shown after StandardScreen_Time	
SWE-PM-072	NR1L-PowerManagement-005	新增	Events during boot are buffered without loss	
SWE-PM-073	NR1L-PowerManagement-006	新增	Load Shed limits volume and mutes TLM	
SWE-PM-073	NR1L-PowerManagement-007	新增	Load Shed signals lost: last values retained	
SWE-PM-073	NR1L-PowerManagement-008	新增	Battery Critical minimizes draw and keeps ACN active	
SWE-PM-073	NR1L-PowerManagement-009	新增	Normal operation resumes 10 seconds after recovery	
SWE-PM-073	NR1L-PowerManagement-010	新增	Load Shed recovers: normal volume and audio restored	
SWE-PM-073	NR1L-PowerManagement-011	新增	Continuing call transferred to head set under Load Shed	
SWE-PM-073	NR1L-PowerManagement-012	新增	Continuing call transferred to head set under Battery Critical	
SWE-PM-073	NR1L-PowerManagement-013	新增	Battery Critical minimizes draw in BODY OFF-TIMED mode	
SWE-PM-073	NR1L-PowerManagement-014	新增	Battery Critical exits on voltage out of range condition	
SWE-PM-073	NR1L-PowerManagement-015	新增	Load Shed with volume already below the cap: no AUD_LVL update	
SWE-PM-073	NR1L-PowerManagement-016	新增	Battery Critical with volume already below the cap: no AUD_LVL update	
SWE-PM-057	NR1L-PowerManagement-017	新增	"Timeout1 options follow PROXI ""Switch_Off_Time"" set to 20 minutes"	
SWE-PM-057	NR1L-PowerManagement-018	新增	"Timeout1 options follow PROXI ""Switch_Off_Time"" set to 60 minutes"	
SWE-PM-057	NR1L-PowerManagement-019	新增	"Timeout1 options follow PROXI ""Switch_Off_Time"" set to 180 minutes"	
SWE-PM-060	NR1L-PowerManagement-020	新增	LTM or ETM Radio offers one timeout parameter	
SWE-PM-060	NR1L-PowerManagement-021	新增	Radio other than LTM or ETM offers two timeout parameters	
SWE-PM-061	NR1L-PowerManagement-022	新增	Timeout settings are selectable in Full-Operation status	
SWE-PM-061	NR1L-PowerManagement-023	新增	Timeout settings are not selectable outside Full-Operation status	
SWE-PM-062	NR1L-PowerManagement-024	001	Auto_SwitchOn_Setting.Req can be set to Active	
SWE-PM-062	NR1L-PowerManagement-025	002	Auto_SwitchOn_Setting.Req can be set to Not_Active	
SWE-PM-062	NR1L-PowerManagement-026	003	Auto_SwitchOn_Setting.Req can be set to Recall_Last	
SWE-PM-063	NR1L-PowerManagement-027	004	Bluetooth calls can be made and received in Timed state	
