old_tc_id	new_tc_id	changed_cols	reason
NR1L-PowerManagement-001		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-002		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-003		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-004		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-005		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-006		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-007		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-008		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-012		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；X-nav
NR1L-PowerManagement-013		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-016		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-017		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-018		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-022		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-023		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-024		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-025		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-026		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；X-nav
NR1L-PowerManagement-030		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-031		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-032		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-033		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-034		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-035		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-036		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；X-nav
NR1L-PowerManagement-037		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-038		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-039		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-040		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-041		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-042		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-043		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；X-nav
NR1L-PowerManagement-044		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-045		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-046		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-052		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send；X-nav
NR1L-PowerManagement-053		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；X-nav
NR1L-PowerManagement-054		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；X-nav
NR1L-PowerManagement-055		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；X-nav
NR1L-PowerManagement-056		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-060		nav	X-nav
NR1L-PowerManagement-061		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-062		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-063		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；X-nav
NR1L-PowerManagement-064		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；X-nav
NR1L-PowerManagement-065		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；X-nav
NR1L-PowerManagement-066		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-067		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-071		nav	X-nav
NR1L-PowerManagement-072		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-073		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-074		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-075		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-076		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-077		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-078		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-079		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-080		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-081		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-082		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-084		12	P-v3→v4:send
NR1L-PowerManagement-085		nav	X-nav
NR1L-PowerManagement-086		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-087		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-088		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-089		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-090		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-091		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-092		12	P-v3→v4:send
NR1L-PowerManagement-093		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-094		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-095		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-096		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-097		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；X-nav
NR1L-PowerManagement-098		nav	X-nav
NR1L-PowerManagement-099		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-100		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-101		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；X-nav
NR1L-PowerManagement-102		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send；X-nav
NR1L-PowerManagement-103		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send；X-nav
NR1L-PowerManagement-104		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send；X-nav
NR1L-PowerManagement-105		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send；X-nav
NR1L-PowerManagement-106		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-107		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-108		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；X-nav
NR1L-PowerManagement-109		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-110		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send；X-nav
NR1L-PowerManagement-111		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send；X-nav
NR1L-PowerManagement-112		nav	X-nav
