old_tc_id	new_tc_id	row	changed_cols	reason
NR1L-PowerManagement-262	NR1L-PowerManagement-262	11	13	P-v3→v4:recv
NR1L-PowerManagement-268	NR1L-PowerManagement-268	18	12	P-v3→v4:send
NR1L-PowerManagement-271	NR1L-PowerManagement-271	21	13	P-v3→v4:recv
NR1L-PowerManagement-281	NR1L-PowerManagement-281	29	13	P-v3→v4:recv
NR1L-PowerManagement-049	NR1L-PowerManagement-049	39	12	P-v3→v4:send
NR1L-PowerManagement-055	NR1L-PowerManagement-055	45	12,13	P-v3→v4:recv;P-v3→v4:send
NR1L-PowerManagement-057	NR1L-PowerManagement-057	47	12,13	P-v3→v4:recv;P-v3→v4:send
NR1L-PowerManagement-061	NR1L-PowerManagement-061	51	12	P-v3→v4:send
NR1L-PowerManagement-065	NR1L-PowerManagement-065	55	12,13	P-v3→v4:recv;P-v3→v4:send
NR1L-PowerManagement-093	NR1L-PowerManagement-093	83	12	P-v3→v4:send
NR1L-PowerManagement-095	NR1L-PowerManagement-095	85	12	P-v3→v4:send
NR1L-PowerManagement-100	NR1L-PowerManagement-100	90	13	P-v3→v4:recv
NR1L-PowerManagement-101	NR1L-PowerManagement-101	91	13	P-v3→v4:recv
NR1L-PowerManagement-103	NR1L-PowerManagement-103	93	13	P-v3→v4:recv
NR1L-PowerManagement-104	NR1L-PowerManagement-104	94	13	P-v3→v4:recv
NR1L-PowerManagement-116	NR1L-PowerManagement-116	106	12,13	P-v3→v4:recv;P-v3→v4:send
NR1L-PowerManagement-117	NR1L-PowerManagement-117	107	13	P-v3→v4:recv
NR1L-PowerManagement-035	NR1L-PowerManagement-035	111	13	P-v3→v4:recv
NR1L-PowerManagement-037	NR1L-PowerManagement-037	113	13	P-v3→v4:recv
NR1L-PowerManagement-040	NR1L-PowerManagement-040	116	13	P-v3→v4:recv
NR1L-PowerManagement-118	NR1L-PowerManagement-118	119	12	P-v3→v4:send
NR1L-PowerManagement-119	NR1L-PowerManagement-119	120	12,13	P-v3→v4:recv;P-v3→v4:send
NR1L-PowerManagement-120	NR1L-PowerManagement-120	121	12,13	P-v3→v4:recv;P-v3→v4:send
NR1L-PowerManagement-123	NR1L-PowerManagement-123	124	13	P-v3→v4:recv
NR1L-PowerManagement-027	NR1L-PowerManagement-027	170	13	P-v3→v4:recv
NR1L-PowerManagement-031	NR1L-PowerManagement-031	174	13	P-v3→v4:recv
NR1L-PowerManagement-011	NR1L-PowerManagement-011	192	12	P-v3→v4:send
NR1L-PowerManagement-012	NR1L-PowerManagement-012	193	12	P-v3→v4:send
NR1L-PowerManagement-169	NR1L-PowerManagement-169	201	13	P-v3→v4:recv
NR1L-PowerManagement-284	NR1L-PowerManagement-284	204	13	P-v3→v4:recv
NR1L-PowerManagement-285	NR1L-PowerManagement-285	205	12,13	P-v3→v4:recv;P-v3→v4:send
NR1L-PowerManagement-179	NR1L-PowerManagement-179	243	12,13	P-v3→v4:recv;P-v3→v4:send
NR1L-PowerManagement-202	NR1L-PowerManagement-202	273	13	P-v3→v4:recv
