swe_requirement_id	outline_number	chapter	chapter_title	section_title	requirement_title	requirement_description	frop	pdf_page	excluded_by
SWE1-HMI-PM-001-01	7.1	7	Startup	SU1.) When the vehicle’s driver door is closed a startup animation will be presented (3 sec), If ignition remains off af	Startup Animation on Driver Door Close	When driver door is closed, the system plays a 3-second startup animation. If ignition remains OFF after animation, the system turns the screen black.	Customizable Splash Screen / Animations	8	
SWE1-HMI-PM-001-02	7.1	7	Startup	SU1.) When the vehicle’s driver door is closed a startup animation will be presented (3 sec), If ignition remains off af	Splash Screen Interruption upon Ignition On	If ignition is turned ON during the startup animation, the system interrupts the animation and plays splash screens (1.5 sec each), then proceeds to Disclaimer.	Customizable Splash Screen / Animations	8	
SWE1-HMI-PM-001-03	7.1	7	Startup	SU1.) When the vehicle’s driver door is closed a startup animation will be presented (3 sec), If ignition remains off af	Disclaimer and Loading Screen Display	During the Disclaimer screen (content per CFTS009/legal), if the system is not ready, it displays "Loading…". When the system is ready, it removes "Loading…" and shows the Accept button.	Disclaimer screen	8	
SWE1-HMI-PM-001-04	7.1	7	Startup	SU1.) When the vehicle’s driver door is closed a startup animation will be presented (3 sec), If ignition remains off af	Accept Button Display upon System Readiness	The system allows the user to either press Accept to go directly to last mode screen, or wait for timeout (which automatically equals Accept).	Disclaimer screen	8	
SWE1-HMI-PM-001-05	7.1	7	Startup	SU1.) When the vehicle’s driver door is closed a startup animation will be presented (3 sec), If ignition remains off af	Maserati Disclaimer Timeout Exception	Exception: For Maserati applications, the system provides no timeout (per CFTS009); the user must manually press Accept.	Disclaimer screen	8	
SWE1-HMI-PM-002	7.1.1	7	Startup	SU1.1) While ignition is off, transitions related to the power button to display splash, disclaimers, or radio last mode	Power Button Transitions during Ignition Off	SU1.1) While ignition is off, transitions related to the power button to display splash, disclaimers, or radio last mode are based on vehicle architecture. See CFTS009 for clarification.	Power Management	8	EXCLUDED-BY-R-PMH117
SWE1-HMI-PM-003	7.2	7	Startup	SU2.) For Maserati vehicles, while on the disclaimer screen the user will have access to their comfort controls. No time	Maserati Comfort Controls on Disclaimer Screen	SU2.) For Maserati vehicles, while on the disclaimer screen the user will have access to their comfort controls. No timeout is provided for Maserati applications, see CFTS009.	Disclaimer screen	8	
SWE1-HMI-PM-004	7.3	7	Startup	SU2.1) Do not display comfort controls on Maserati disclaimer screen when vehicle is equipped with lower comfort screen.	Lower Comfort Screen Exception for Maserati	SU2.1) Do not display comfort controls on Maserati disclaimer screen when vehicle is equipped with lower comfort screen.	Disclaimer screen	8	
SWE1-HMI-PM-005	7.4	7	Startup	SU3.) No pop-ups will appear until the disclaimer screen has been removed. If an item like a traffic announcement is rec	Pop-up Suppression during Disclaimer Screen	SU3.) No pop-ups will appear until the disclaimer screen has been removed. If an item like a traffic announcement is received like on this screen the user will begin hearing the announcement in the background but will not see the pop-up until the disclaimer screen is removed.	Disclaimer screen	8	
SWE1-HMI-PM-006-01	7.5	7	Startup	SU4.) If start-up animation is supported, it shall start upon driver door close, and conclude by 3 seconds. If shut-down	Start-up Animation Duration and Trigger	If start-up animation is supported, the system shall start it upon driver door close and conclude it within 3 seconds.	Customizable Splash Screen / Animations	8	
SWE1-HMI-PM-006-02	7.5	7	Startup	SU4.) If start-up animation is supported, it shall start upon driver door close, and conclude by 3 seconds. If shut-down	Shut-down Animation Duration	If shut-down animation is supported, the system shall begin playing it and conclude it within 10 seconds.	Customizable Splash Screen / Animations	8	
SWE1-HMI-PM-006-03	7.5	7	Startup	SU4.) If start-up animation is supported, it shall start upon driver door close, and conclude by 3 seconds. If shut-down	Shut-down Animation Trigger Conditions	The system shall begin shut-down animation only when both KEY OFF and radio UI shut down are present (not necessarily simultaneously), e.g., KEY OFF first, then radio UI shut down later in delayed mode.	Customizable Splash Screen / Animations	8	
SWE1-HMI-PM-007	7.5.1	7	Startup	DS4.1) If doors are removed/not present and ignition is turned to ACC, RUN, or START, do not show Start Up Animation and	Start-up Animation Skip on Door Removal	DS4.1) If doors are removed/not present and ignition is turned to ACC, RUN, or START, do not show Start Up Animation and jump directly to Splash screen.	Customizable Splash Screen / Animations	8	
SWE1-HMI-PM-008-01	7.6	7	Startup	SU5.) If ignition cycle has not changed the animation should only be played once. - Animation should only play once per 	Single Animation per CAN BUS Wake Up	If the ignition cycle has not changed, the system shall play the animation only once per CAN BUS wake-up upon closing the driver door.	Customizable Splash Screen / Animations	8	
SWE1-HMI-PM-008-02	7.6	7	Startup	SU5.) If ignition cycle has not changed the animation should only be played once. - Animation should only play once per 	Animation Skip on Open Door Ignition	If the vehicle ignition is turned to ACC, RUN, or START ON while the driver door is open, the system shall skip the animation screen and start from the applicable splash screen.	Customizable Splash Screen / Animations	8	
SWE1-HMI-PM-009-01	7.7	7	Startup	SU6.) If last state is Radio OFF, play startup animation and show applicable splash screens when driver door closed then	Screen Behavior on Door Close (Radio OFF)	If the last state is Radio OFF, the system shall play startup animation and show applicable splash screens when the driver door is closed, then the system shall keep the screen black.	Customizable Splash Screen / Animations	8	
SWE1-HMI-PM-009-02	7.7	7	Startup	SU6.) If last state is Radio OFF, play startup animation and show applicable splash screens when driver door closed then	Animation Skip on Power Button Press	When the Power Button is pressed On, the system shall not show the Start Up Animation.	Customizable Splash Screen / Animations	8	
SWE1-HMI-PM-010	7.8	7	Startup	SU7.) Start up animation should sync on start up with all capable screen’s start up animation. Animations on all screens	Multi-Screen Animation Synchronization	SU7.) Start up animation should sync on start up with all capable screen’s start up animation. Animations on all screens should stop (refer to logic for specific behavior) during any interruptions of animation (timeout, ignition button press).	Customizable Splash Screen / Animations	8	
SWE1-HMI-PM-011	7.9	7	Startup	SU8.) Show the splash screen and disclaimer screen once per CAN BUS cycle	Single Splash/Disclaimer per CAN BUS Cycle	SU8.) Show the splash screen and disclaimer screen once per CAN BUS cycle	Customizable Splash Screen / Animations	8	
SWE1-HMI-PM-012	8.1	8	Starup R1Low Only	SSND 1) If start-up sounds are supported, it will start upon driver door close and sync with the start-up animation. If 	Start-up and Goodbye Sound Synchronization	SSND 1) If start-up sounds are supported, it will start upon driver door close and sync with the start-up animation. If goodbye sounds are supported, it shall sync on start with the shut-down animation. Sounds will sync amongst all supported vehicle displays.	Audio Management	8	
SWE1-HMI-PM-013	8.2	8	Starup R1Low Only	SSND 2) Start-up and goodbye sounds shall have a setting with Always/Once a Day/Never options.	Start-up/Goodbye Sound Settings Options	SSND 2) Start-up and goodbye sounds shall have a setting with Always/Once a Day/Never options.	Audio Management	8	
SWE1-HMI-PM-014	8.2.1	8	Starup R1Low Only	SSND 2.1) If the setting is Always, start-up and goodbye sounds should be played everytime the startup animation is play	Sound Setting: Always Play	SSND 2.1) If the setting is Always, start-up and goodbye sounds should be played everytime the startup animation is played.	Audio Management	8	
SWE1-HMI-PM-015	8.2.2	8	Starup R1Low Only	SSND 2.2) If the setting is Once a Day, start-up and goodbye sounds should be played only once per day (i.e other valid 	Sound Setting: Play Once a Day	SSND 2.2) If the setting is Once a Day, start-up and goodbye sounds should be played only once per day (i.e other valid triggers will not trigger any sound).	Audio Management	8	
SWE1-HMI-PM-016	8.2.3	8	Starup R1Low Only	SSND 2.3) If the setting is Never, start-up and goodbye sounds should not be played on any situation.	Sound Setting: Never Play	SSND 2.3) If the setting is Never, start-up and goodbye sounds should not be played on any situation.	Audio Management	8	
SWE1-HMI-PM-017	8.3	8	Starup R1Low Only	SSND 3) Sound volume level shall match current entertainment sounds volume. [DCR19385]	Sound Volume Matching with Entertainment	SSND 3) Sound volume level shall match current entertainment sounds volume. [DCR19385]_x000D_ _x000D_	Audio Management	8	
SWE1-HMI-PM-018-01	9.1	9	Power Moding	PM1) In the event that there are popups to show at IGN OFF but the user has set Power Accessory Delay to 0 seconds, the 	Head Unit Awake Time for Ignition Off Pop-ups	If there are popups to show at IGN OFF and the user has set Power Accessory Delay to 0 seconds, the system shall stay awake for up to 2.5 minutes to display the popup(s). If the user does not interact with the popup within the 60-second timeout defined in the pop-up list, the system shall close the popup. If no other popups remain, the system shall shut off the radio.	Power Management	9	
SWE1-HMI-PM-018-02	9.1	9	Power Moding	PM1) In the event that there are popups to show at IGN OFF but the user has set Power Accessory Delay to 0 seconds, the 	Awake Time Extension on FOTA Pop-up Interaction	If the user interacts with the FOTA popup, the system shall stay awake until the user has not interacted with the popup for 60 seconds. The maximum time the system can stay awake due to these popups is 10 minutes.	FOTA Via Wi-fi	9	
SWE1-HMI-PM-018-03	9.1	9	Power Moding	PM1) In the event that there are popups to show at IGN OFF but the user has set Power Accessory Delay to 0 seconds, the 	Pop-up Priority 1: FOTA Update Available	For Priority 1 (FOTA update available): If the user accepts the FOTA popup, the system shall start the update and dismiss FOTA via Wi-Fi / Charge Now (if applicable). If the user schedules an update time or dismisses the update, the system shall display FOTA via Wi-Fi / Charge Now (if applicable).	FOTA Via Wi-fi	9	
SWE1-HMI-PM-018-04	9.1	9	Power Moding	PM1) In the event that there are popups to show at IGN OFF but the user has set Power Accessory Delay to 0 seconds, the 	Pop-up Priority 2: FOTA Wi-Fi Configuration	For Priority 2 (FOTA via Wi-Fi configuration): If the user chooses to configure Wi-Fi, the system shall display Charge Now (if applicable) when Wi-Fi configuration is complete. If the user chooses to dismiss the Wi-Fi configuration popup, the system shall display Charge Now (if applicable).	WiFi	9	
SWE1-HMI-PM-018-05	9.1	9	Power Moding	PM1) In the event that there are popups to show at IGN OFF but the user has set Power Accessory Delay to 0 seconds, the 	Pop-up Priority 3: XEV Key Off Pop-ups	For Priority 3 (XEV key off popups: Charge Now/Summary, Preconditioning): If the user dismisses any XEV key off popup, the system shall shut down the radio.	EV/PHEV Pages	9	
SWE1-HMI-PM-019	10.1	10	Additional Power Moding Behavior Notes:	PITA4: Screen Off and HU Power button selections shall be ignored while backup cam is being shown.	Ignore Power/Screen Off Inputs during Backup Camera	PITA4: Screen Off and HU Power button selections shall be ignored while backup cam is being shown.	Rear View Camera	10	
SWE1-HMI-PM-020	10.2	10	Additional Power Moding Behavior Notes:	PITA5: If backup cam needs to be shown during Power Button OFF state, then it shall be shown. This shall not cancel Powe	Backup Camera Display in Power Off State	PITA5: If backup cam needs to be shown during Power Button OFF state, then it shall be shown. This shall not cancel Power Button Off state. Once the backup cam is dismissed, the Power Button Off state shall be reinstated.	Rear View Camera	10	
SWE1-HMI-PM-021	10.3	10	Additional Power Moding Behavior Notes:	PITA6: HVAC pop-ups shall be temporarily displayed during Power Button Off state. Any interactions with the popups shall	HVAC Pop-ups Display in Power Off State	PITA6: HVAC pop-ups shall be temporarily displayed during Power Button Off state. Any interactions with the popups shall not cancel Power Button Off state.	Climate Control	10	
SWE1-HMI-PM-022-01	10.4	10	Additional Power Moding Behavior Notes:	PITA6.1: If radio is in Power Button Off state upon going from ignition in OFF position to ignition in ACC or RUN, HVAC 	HVAC Pop-up on Ignition State Change	When the ignition changes from OFF to ACC or RUN and the radio is in Power Button Off state, the system shall display HVAC popups on the screen.	Climate Control	10	
SWE1-HMI-PM-022-02	10.4	10	Additional Power Moding Behavior Notes:	PITA6.1: If radio is in Power Button Off state upon going from ignition in OFF position to ignition in ACC or RUN, HVAC 	Disclaimer Screen Display on Power On	When the user presses the power button to change to On state, the system shall display the disclaimer screen (see SU6.) unless certain phone call scenarios have occurred.	Disclaimer screen	10	
SWE1-HMI-PM-023	10.5	10	Additional Power Moding Behavior Notes:	PITA8: During Key OFF (with no ACC position available), HU power ON, all headunit functionality is expected to have the 	Headunit Functionality during Key OFF Power ON	PITA8: During Key OFF (with no ACC position available), HU power ON, all headunit functionality is expected to have the same functionality as key on, except for controls that communicate with modules external to the headunit which are not functional during Key OFF.	Power Management	10	
SWE1-HMI-PM-024-01	10.6	10	Additional Power Moding Behavior Notes:	PITA9: Phone call popups can be displayed over Power Button Off state. Ignoring a Phone call popup returns to the Power 	Display Phone Call Popups over Power Off State	The system may display phone call popups while the system is in Power Button Off state.	Bluetooth	10	
SWE1-HMI-PM-024-02	10.6	10	Additional Power Moding Behavior Notes:	PITA9: Phone call popups can be displayed over Power Button Off state. Ignoring a Phone call popup returns to the Power 	Return to Power Off State on Call Ignore	If the user ignores a phone call popup, the system returns to Power Button Off state.	Bluetooth	10	
SWE1-HMI-PM-024-03	10.6	10	Additional Power Moding Behavior Notes:	PITA9: Phone call popups can be displayed over Power Button Off state. Ignoring a Phone call popup returns to the Power 	Return to Power Off State Post-Call	If the user answers a call (via soft control or hard control) and does not change screens during the phone call, the system shall return to Power Button Off state when the call ends.	Bluetooth	10	
SWE1-HMI-PM-025	10.7	10	Additional Power Moding Behavior Notes:	PITA10: SOS and ASSIST can turn head unit power back on.	SOS and ASSIST Power On Trigger	PITA10: SOS and ASSIST can turn head unit power back on.	e-call (private)	10	
SWE1-HMI-PM-026-01	11.1	11	VR HARD KEY FOR SIRI/NON-NATIVE VOICE ASSISTANTS	VRLP1: VR hard key to activate SIRI/non-native Voice Assistants (eg. Long press of VR HK) shall be functional when radio	VR Hard Key Availability in Radio Off	The system shall support the VR hard key (long press) to activate SIRI or non-native Voice Assistants when the radio is OFF and ignition is KEY ON or ACC.	Steering Wheel Controls	10	
SWE1-HMI-PM-026-02	11.1	11	VR HARD KEY FOR SIRI/NON-NATIVE VOICE ASSISTANTS	VRLP1: VR hard key to activate SIRI/non-native Voice Assistants (eg. Long press of VR HK) shall be functional when radio	VR Interaction Outcome: Screen Off, Audio Off	After interaction with SIRI, the system may result in the following status: Screen OFF and Audio OFF (i.e., radio returns to OFF state).	Steering Wheel Controls	10	
SWE1-HMI-PM-026-03	11.1	11	VR HARD KEY FOR SIRI/NON-NATIVE VOICE ASSISTANTS	VRLP1: VR hard key to activate SIRI/non-native Voice Assistants (eg. Long press of VR HK) shall be functional when radio	VR Interaction Outcome: Screen On, Audio Off	After interaction with SIRI, the system may result in the following status: Screen ON and Audio OFF.	Steering Wheel Controls	10	
SWE1-HMI-PM-026-04	11.1	11	VR HARD KEY FOR SIRI/NON-NATIVE VOICE ASSISTANTS	VRLP1: VR hard key to activate SIRI/non-native Voice Assistants (eg. Long press of VR HK) shall be functional when radio	VR Interaction Outcome: Screen Off, Audio On	After interaction with SIRI, the system may result in the following status: Screen OFF and Audio ON.	Steering Wheel Controls	10	
SWE1-HMI-PM-026-05	11.1	11	VR HARD KEY FOR SIRI/NON-NATIVE VOICE ASSISTANTS	VRLP1: VR hard key to activate SIRI/non-native Voice Assistants (eg. Long press of VR HK) shall be functional when radio	VR Interaction Outcome: Screen On, Audio On	After interaction with SIRI, the system may result in the following status: Screen ON and Audio ON.	Steering Wheel Controls	10	
SWE1-HMI-PM-027	12.1	12	Power Moding – Off Road+	OFF1.) If vehicle is in Off Road state prior to pressing Off Road+ hard control head unit will not initiate wake up (Pow	Wake Up Prevention in Off Road State	OFF1.) If vehicle is in Off Road state prior to pressing Off Road+ hard control head unit will not initiate wake up (Power Button On).	Power Management	11	
SWE1-HMI-PM-028	12.2	12	Power Moding – Off Road+	OFF2.)Please refer to CFTS009 for complete behavior.	CFTS009 Behavior Reference	OFF2.)Please refer to CFTS009 for complete behavior.	Power Management	11	EXCLUDED-BY-R-PMH72
SWE1-HMI-PM-029	12.3	12	Power Moding – Off Road+	OFF3.)Head unit is muted when launching app from Power Off State.	Head Unit Muted on App Launch from Power Off	OFF3.)Head unit is muted when launching app from Power Off State.	Audio Management	11	
