req_id	outline	polarion_id	spec_reference	title
SWE1-HMI-PM-001-01	7.1	NRL-115711	Power Moding HMI Logic and Flow R1 SR24 2A_7.1	SU1.) When the vehicle’s driver door is closed a startup animation will be prese
SWE1-HMI-PM-001-02	7.1	NRL-115711	Power Moding HMI Logic and Flow R1 SR24 2A_7.1	SU1.) When the vehicle’s driver door is closed a startup animation will be prese
SWE1-HMI-PM-001-03	7.1	NRL-115711	Power Moding HMI Logic and Flow R1 SR24 2A_7.1	SU1.) When the vehicle’s driver door is closed a startup animation will be prese
SWE1-HMI-PM-001-04	7.1	NRL-115711	Power Moding HMI Logic and Flow R1 SR24 2A_7.1	SU1.) When the vehicle’s driver door is closed a startup animation will be prese
SWE1-HMI-PM-001-05	7.1	NRL-115711	Power Moding HMI Logic and Flow R1 SR24 2A_7.1	SU1.) When the vehicle’s driver door is closed a startup animation will be prese
SWE1-HMI-PM-002	7.1.1	NRL-115712	Power Moding HMI Logic and Flow R1 SR24 2A_7.1.1	SU1.1) While ignition is off, transitions related to the power button to display
SWE1-HMI-PM-003	7.2	NRL-115713	Power Moding HMI Logic and Flow R1 SR24 2A_7.2	SU2.) For Maserati vehicles, while on the disclaimer screen the user will have a
SWE1-HMI-PM-004	7.3	NRL-115714	Power Moding HMI Logic and Flow R1 SR24 2A_7.3	SU2.1) Do not display comfort controls on Maserati disclaimer screen when vehicl
SWE1-HMI-PM-005	7.4	NRL-115715	Power Moding HMI Logic and Flow R1 SR24 2A_7.4	SU3.) No pop-ups will appear until the disclaimer screen has been removed. If an
SWE1-HMI-PM-006-01	7.5	NRL-115716	Power Moding HMI Logic and Flow R1 SR24 2A_7.5	SU4.) If start-up animation is supported, it shall start upon driver door close,
SWE1-HMI-PM-006-02	7.5	NRL-115716	Power Moding HMI Logic and Flow R1 SR24 2A_7.5	SU4.) If start-up animation is supported, it shall start upon driver door close,
SWE1-HMI-PM-006-03	7.5	NRL-115716	Power Moding HMI Logic and Flow R1 SR24 2A_7.5	SU4.) If start-up animation is supported, it shall start upon driver door close,
SWE1-HMI-PM-007	7.5.1	NRL-115717	Power Moding HMI Logic and Flow R1 SR24 2A_7.5.1	DS4.1) If doors are removed/not present and ignition is turned to ACC, RUN, or S
SWE1-HMI-PM-008-01	7.6	NRL-115718	Power Moding HMI Logic and Flow R1 SR24 2A_7.6	SU5.) If ignition cycle has not changed the animation should only be played once
SWE1-HMI-PM-008-02	7.6	NRL-115718	Power Moding HMI Logic and Flow R1 SR24 2A_7.6	SU5.) If ignition cycle has not changed the animation should only be played once
SWE1-HMI-PM-009-01	7.7	NRL-115719	Power Moding HMI Logic and Flow R1 SR24 2A_7.7	SU6.) If last state is Radio OFF, play startup animation and show applicable spl
SWE1-HMI-PM-009-02	7.7	NRL-115719	Power Moding HMI Logic and Flow R1 SR24 2A_7.7	SU6.) If last state is Radio OFF, play startup animation and show applicable spl
SWE1-HMI-PM-010	7.8	NRL-115720	Power Moding HMI Logic and Flow R1 SR24 2A_7.8	SU7.) Start up animation should sync on start up with all capable screen’s start
SWE1-HMI-PM-011	7.9	NRL-115721	Power Moding HMI Logic and Flow R1 SR24 2A_7.9	SU8.) Show the splash screen and disclaimer screen once per CAN BUS cycle
SWE1-HMI-PM-012	8.1	NRL-115723	Power Moding HMI Logic and Flow R1 SR24 2A_8.1	SSND 1) If start-up sounds are supported, it will start upon driver door close a
