provisional_tc_id	final_tc_id	leaf_id	test_set	batch
NR1L-DisclaimerScreen-025	NR1L-DisclaimerScreen-001	SWE1-HMI-PM-001-01	Splash Screen	batch04
NR1L-DisclaimerScreen-026	NR1L-DisclaimerScreen-002	SWE1-HMI-PM-001-02	Splash Screen	batch04
NR1L-DisclaimerScreen-027	NR1L-DisclaimerScreen-003	SWE1-HMI-PM-011	Splash Screen	batch04
NR1L-DisclaimerScreen-001	NR1L-DisclaimerScreen-004	SWE1-HMI-PM-001-03	Disclaimer Screen	batch01
NR1L-DisclaimerScreen-002	NR1L-DisclaimerScreen-005	SWE1-HMI-PM-001-04	Disclaimer Screen	batch01
NR1L-DisclaimerScreen-003	NR1L-DisclaimerScreen-006	SWE1-HMI-PM-001-04	Disclaimer Screen	batch01
NR1L-DisclaimerScreen-004	NR1L-DisclaimerScreen-007	SWE1-HMI-PM-001-05	Disclaimer Screen	batch01
NR1L-DisclaimerScreen-005	NR1L-DisclaimerScreen-008	SWE1-HMI-PM-003	Disclaimer Screen	batch01
NR1L-DisclaimerScreen-006	NR1L-DisclaimerScreen-009	SWE1-HMI-PM-004	Disclaimer Screen	batch01
NR1L-DisclaimerScreen-007	NR1L-DisclaimerScreen-010	SWE1-HMI-PM-005	Disclaimer Screen	batch01
NR1L-DisclaimerScreen-008	NR1L-DisclaimerScreen-011	SWE1-HMI-PM-022-02	Disclaimer Screen	batch01
NR1L-DisclaimerScreen-028	NR1L-DisclaimerScreen-012	SWE1-HMI-PM-006-01	Startup Animation	batch04
NR1L-DisclaimerScreen-029	NR1L-DisclaimerScreen-013	SWE1-HMI-PM-006-02	Startup Animation	batch04
NR1L-DisclaimerScreen-030	NR1L-DisclaimerScreen-014	SWE1-HMI-PM-006-03	Startup Animation	batch04
NR1L-DisclaimerScreen-031	NR1L-DisclaimerScreen-015	SWE1-HMI-PM-007	Startup Animation	batch04
NR1L-DisclaimerScreen-032	NR1L-DisclaimerScreen-016	SWE1-HMI-PM-008-01	Startup Animation	batch04
NR1L-DisclaimerScreen-033	NR1L-DisclaimerScreen-017	SWE1-HMI-PM-008-02	Startup Animation	batch04
NR1L-DisclaimerScreen-034	NR1L-DisclaimerScreen-018	SWE1-HMI-PM-009-01	Startup Animation	batch04
NR1L-DisclaimerScreen-035	NR1L-DisclaimerScreen-019	SWE1-HMI-PM-009-02	Startup Animation	batch04
NR1L-DisclaimerScreen-036	NR1L-DisclaimerScreen-020	SWE1-HMI-PM-010	Startup Animation	batch04
NR1L-DisclaimerScreen-037	NR1L-DisclaimerScreen-021	SWE1-HMI-PM-010	Startup Animation	batch04
NR1L-DisclaimerScreen-009	NR1L-DisclaimerScreen-022	SWE1-HMI-PM-012	Startup Sounds	batch02
NR1L-DisclaimerScreen-010	NR1L-DisclaimerScreen-023	SWE1-HMI-PM-012	Startup Sounds	batch02
