new_id	title	sys2	swe1_ids	class	covering_tc_ids	gap_axis	swe1_via_sys2_only	required_axes	covered_axes	disposition
NEW-CERT-01	Verify as-built CA inventory and role separation	SYS-RA-SEC-223;SYS-RA-SEC-377;SYS-RA-SEC-381;SYS-RA-SEC-516;SYS-RA-SEC-517;SYS-RA-SEC-518;SYS-RA-SEC-519;SYS-RA-SEC-520;SYS-RA-SEC-523;SYS-RA-SEC-524;SYS-RA-SEC-525;SYS-RA-SEC-526	SWE1-CertProvider-001;SWE1-CertProvider-002;SWE1-CertProvider-003;SWE1-CertProvider-004;SWE1-CertProvider-005;SWE1-CertProvider-006;SWE1-CertProvider-007;SWE1-CertProvider-008;SWE1-CertProvider-009;SWE1-CertProvider-010;SWE1-CertProvider-011;SWE1-SRA-SECURITY-SWDL-001;SWE1-SRA-SECURITY-SWDL-002;SWE1-SRA-SECURITY-SWDL-003;SWE1-SRA-SECURITY-SWDL-004;SWE1-SRA-SECURITY-SWDL-005	COVERED	NR1L-CP-001;NR1L-CP-002;NR1L-CP-003;NR1L-CP-004;NR1L-CP-005;NR1L-CP-006;NR1L-CP-007;NR1L-CP-008;NR1L-CP-009;NR1L-CP-010;NR1L-CP-011;NR1L-CP-012;NR1L-CP-013;NR1L-CP-014;NR1L-CP-015;NR1L-CP-016;NR1L-CP-017;NR1L-CP-018;NR1L-CP-019;NR1L-CP-020;NR1L-CP-021;NR1L-CP-022;NR1L-CP-023;NR1L-SWDL-001;NR1L-SWDL-002;NR1L-SWDL-003;NR1L-SWDL-004;NR1L-SWDL-005;NR1L-SWDL-006;NR1L-SWDL-007;NR1L-SWDL-008;NR1L-SWDL-009;NR1L-SWDL-010;NR1L-SWDL-011			environment;variant	boundary;environment;negative;variant	
NEW-CERT-02	Audit minimal TLS CA list	SYS-RA-SEC-224	SWE1-CertProvider-001;SWE1-CertProvider-007;SWE1-CertProvider-009	ACCEPTED_GAP	NR1L-CP-001;NR1L-CP-002;NR1L-CP-015;NR1L-CP-016;NR1L-CP-019;NR1L-CP-020	boundary		boundary	environment;negative;variant	A-SEC-8 (037 無到期／稽核語意，不拆)
NEW-CERT-03	Detect TLS CA-list tampering during update and runtime	SYS-RA-SEC-225	SWE1-CertProvider-001;SWE1-CertProvider-007;SWE1-CertProvider-009	COVERED	NR1L-CP-001;NR1L-CP-002;NR1L-CP-015;NR1L-CP-016;NR1L-CP-019;NR1L-CP-020			negative	environment;negative;variant	
NEW-CERT-04	Update TLS CA list through the field package path	SYS-RA-SEC-226;SYS-RA-SEC-341;SYS-RA-SEC-342	SWE1-CertProvider-001;SWE1-CertProvider-007;SWE1-CertProvider-009;SWE1-SRA-SECURITY-SWDL-001	COVERED	NR1L-CP-001;NR1L-CP-002;NR1L-CP-015;NR1L-CP-016;NR1L-CP-019;NR1L-CP-020;NR1L-SWDL-007;NR1L-SWDL-008			environment;negative	environment;negative;variant	
NEW-CERT-05	Authenticate TLS servers through each configured root	SYS-RA-SEC-228;SYS-RA-SEC-522;SYS-RA-SEC-527;SYS-RA-SEC-550	SWE1-CertProvider-001;SWE1-CertProvider-007;SWE1-CertProvider-009	COVERED	NR1L-CP-001;NR1L-CP-002;NR1L-CP-015;NR1L-CP-016;NR1L-CP-019;NR1L-CP-020			negative;variant	environment;negative;variant	
NEW-CERT-06	Enforce TLS server identity pinning	SYS-RA-SEC-221;SYS-RA-SEC-549;SYS-RA-SEC-568	SWE1-CertProvider-001;SWE1-CertProvider-007;SWE1-CertProvider-009;SYSAD_SEC_ECUCERT_ECUCERT_API;SYSAD_SEC_ECUCERT_ECUCERT_SERVICE;SYSAD_SEC_ECUCERT_ECUONLINE;SYSAD_SEC_ECUCERT_ECUONLINE_DOWNLOADCERT_INTF	COVERED	NR1L-CP-001;NR1L-CP-002;NR1L-CP-015;NR1L-CP-016;NR1L-CP-019;NR1L-CP-020;NR1L-ECUC-001;NR1L-ECUC-002;NR1L-ECUC-003;NR1L-ECUC-004;NR1L-ECUC-013;NR1L-ECUC-014;NR1L-ECUC-019;NR1L-ECUC-020				environment;negative;variant	
NEW-CERT-07	Support X.509 v3 signing certificates	SYS-RA-SEC-380;SYS-RA-SEC-382;SYS-RA-SEC-386;SYS-RA-SEC-388	SWE1-CertProvider-001;SWE1-CertProvider-002;SWE1-CertProvider-003;SWE1-CertProvider-004;SWE1-CertProvider-005;SWE1-CertProvider-006;SWE1-CertProvider-008;SWE1-CertProvider-010;SWE1-CertProvider-011;SWE1-SRA-SECURITY-SWDL-001;SWE1-SRA-SECURITY-SWDL-002;SWE1-SRA-SECURITY-SWDL-003;SWE1-SRA-SECURITY-SWDL-004;SWE1-SRA-SECURITY-SWDL-005	COVERED	NR1L-CP-001;NR1L-CP-002;NR1L-CP-003;NR1L-CP-004;NR1L-CP-005;NR1L-CP-006;NR1L-CP-007;NR1L-CP-008;NR1L-CP-009;NR1L-CP-010;NR1L-CP-011;NR1L-CP-012;NR1L-CP-013;NR1L-CP-014;NR1L-CP-017;NR1L-CP-018;NR1L-CP-021;NR1L-CP-022;NR1L-CP-023;NR1L-SWDL-001;NR1L-SWDL-002;NR1L-SWDL-003;NR1L-SWDL-004;NR1L-SWDL-005;NR1L-SWDL-006;NR1L-SWDL-007;NR1L-SWDL-008;NR1L-SWDL-009;NR1L-SWDL-010;NR1L-SWDL-011				boundary;environment;negative;variant	
NEW-CERT-08	Reject non-FCA issuer in update signer	SYS-RA-SEC-384;SYS-RA-SEC-387	SWE1-CertProvider-001;SWE1-CertProvider-002;SWE1-CertProvider-003;SWE1-CertProvider-004;SWE1-CertProvider-005;SWE1-CertProvider-006;SWE1-CertProvider-010;SWE1-CertProvider-011	COVERED	NR1L-CP-001;NR1L-CP-002;NR1L-CP-003;NR1L-CP-004;NR1L-CP-005;NR1L-CP-006;NR1L-CP-007;NR1L-CP-008;NR1L-CP-009;NR1L-CP-010;NR1L-CP-011;NR1L-CP-012;NR1L-CP-013;NR1L-CP-014;NR1L-CP-021;NR1L-CP-022;NR1L-CP-023			negative	boundary;environment;negative;variant	
NEW-CERT-09	Reject wrong signer purpose and market	SYS-RA-SEC-385;SYS-RA-SEC-387;SYS-RA-SEC-463	SWE1-CertProvider-001;SWE1-CertProvider-002;SWE1-CertProvider-003;SWE1-CertProvider-004;SWE1-CertProvider-005;SWE1-CertProvider-006;SWE1-CertProvider-010;SWE1-CertProvider-011	COVERED	NR1L-CP-001;NR1L-CP-002;NR1L-CP-003;NR1L-CP-004;NR1L-CP-005;NR1L-CP-006;NR1L-CP-007;NR1L-CP-008;NR1L-CP-009;NR1L-CP-010;NR1L-CP-011;NR1L-CP-012;NR1L-CP-013;NR1L-CP-014;NR1L-CP-021;NR1L-CP-022;NR1L-CP-023			negative;variant	boundary;environment;negative;variant	
NEW-CERT-10	Enforce Apps signer certificate validity period	SYS-RA-SEC-463		NO_SWE1				boundary;negative;variant		
