swe1_id	ccvr_batch	ccvr_items	reason
SWE1-CertProvider-001	1	Auth-Boot CS.93、Cert Val CS.98	Mapping detail 落點：Auth-Boot CS.93、Cert Val CS.98
SWE1-CertProvider-002	1	Cert Val CS.98	Mapping detail 落點：Cert Val CS.98
SWE1-CertProvider-003	1	Cert Val CS.98	Mapping detail 落點：Cert Val CS.98
SWE1-CertProvider-004	1	Cert Val CS.98	Mapping detail 落點：Cert Val CS.98
SWE1-CertProvider-005	1	Cert Val CS.98、Secure Log CS.212	Mapping detail 落點：Cert Val CS.98；SWE1-direct（037 log 斷言，R-SEC5(a)）
SWE1-CertProvider-006	1	Cert Val CS.98、Secure Log CS.212	Mapping detail 落點：Cert Val CS.98；SWE1-direct（037 log 斷言，R-SEC5(a)）
SWE1-CertProvider-007	1	Auth-Boot CS.93、Cert Val CS.98	Mapping detail 落點：Auth-Boot CS.93、Cert Val CS.98
SWE1-CertProvider-008	1	Cert Val CS.98、Secure Log CS.212	Mapping detail 落點：Cert Val CS.98；SWE1-direct（037 log 斷言，R-SEC5(a)）
SWE1-CertProvider-009	1	Auth-Boot CS.93、Cert Val CS.98	Mapping detail 落點：Auth-Boot CS.93、Cert Val CS.98
SWE1-CertProvider-010	1	Cert Val CS.98	Mapping detail 落點：Cert Val CS.98
SWE1-CertProvider-011	1	Cert Val CS.98	Mapping detail 落點：Cert Val CS.98
SWE1-KeyInsyall-001	1	Cert Val CS.98	Mapping detail 落點：Cert Val CS.98
SWE1-KeyInsyall-002	1	Cert Val CS.98	Mapping detail 落點：Cert Val CS.98
SWE1-KeyInsyall-003	1	Cert Val CS.98	Mapping detail 落點：Cert Val CS.98
SWE1-KeyInsyall-004	1	Cert Val CS.98	Mapping detail 落點：Cert Val CS.98
SWE1-KeyInsyall-005	1	Cert Val CS.98	Mapping detail 落點：Cert Val CS.98
SWE1-KeyInsyall-006	1	Cert Val CS.98	Mapping detail 落點：Cert Val CS.98
SWE1-KeyInsyall-007	1	Auth-Boot CS.93、Cert Val CS.98	Mapping detail 落點：Auth-Boot CS.93、Cert Val CS.98
SWE1-KeyInsyall-008	1	Cert Val CS.98	Mapping detail 落點：Cert Val CS.98
SWE1-KeyInsyall-009	1	Cert Val CS.98	Mapping detail 落點：Cert Val CS.98
SWE1-KeyInsyall-010	1	Cert Val CS.98、Secure Log CS.212	Mapping detail 落點：Cert Val CS.98；SWE1-direct（037 log 斷言，R-SEC5(a)）
SWE1-KeyInsyall-011	1	Cert Val CS.98	Mapping detail 落點：Cert Val CS.98
SWE1-KeyInsyall-012	1	Cert Val CS.98、Secure Log CS.212	Mapping detail 落點：Cert Val CS.98；SWE1-direct（037 log 斷言，R-SEC5(a)）
SWE1-KeyInsyall-013	1	Cert Val CS.98	Mapping detail 落點：Cert Val CS.98
SWE1-SAM-0001	1	Auth-Prog CS.93	Mapping detail 落點：Auth-Prog CS.93
SWE1-SAM-0002	1	Auth-Prog CS.93	Mapping detail 落點：Auth-Prog CS.93
SWE1-SAM-0003	2	-	未落 CCVR 五 test item；Mapping detail 無對應
