sheet	cell	swc_value	home_value	security_value(proposed)
Cover 封面	C12	STLA 測試用例規範和結果_SWQT ⏎ STLA Test Case Specification & Result_SWQT	FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_BT	
Cover 封面	C4	文件名 Document name: STLA 測試用例規範和結果_SWQT ⏎ STLA Test Case Specification & Result_SWQT	文件名 Document name: STLA 測試用例規範和結果_SWQT ⏎ STLA Test Case Specification & Result_SWQT	
Cover 封面	C6	版本 Version	版本 Version	
Cover 封面	C7	核准者 Approver	核准者 Approver	
Cover 封面	C8	審查者 Reviewer	審查者 Reviewer	
Cover 封面	C9	作者 Author	作者 Author	
Cover 封面	D6	C	B	
Cover 封面	D7	劉安哲 AllenACLiu	劉安哲 AllenACLiu	
Cover 封面	D8	張愷霏 ErinKFChang	陳禹伸 YuShenChen	
Cover 封面	D9		張愷霏 ErinKFChang	
Cover 封面	G6	修訂日期 Revision Date	修訂日期 Revision Date	
Cover 封面	G7	2025-10-27 00:00:00	2025-12-11 00:00:00	
Cover 封面	G8		2025-12-09 00:00:00	
Cover 封面	G9		2025-12-08 00:00:00	
Cover 封面	H30	FM-WI-FSM-036-A01	FM-WI-FSM-036-A01	
ChangeHistory 修訂履歷	A1	修訂履歷  Revision History	修訂履歷  Revision History	
ChangeHistory 修訂履歷	A4	版本 Ver.	版本 Ver.	
ChangeHistory 修訂履歷	A5	A	A	
ChangeHistory 修訂履歷	A6	B	B	
ChangeHistory 修訂履歷	A7	C	C	
ChangeHistory 修訂履歷	B4	修訂内容 Revision Content	修訂内容 Revision Content	
