swe1_id	workbook	disposition	ccvr_batch	tc_count	tc_ids
SWE1-CertProvider-001	CertProvider	PRODUCED	1	2	NR1L-CP-001;NR1L-CP-002
SWE1-CertProvider-002	CertProvider	PRODUCED	1	2	NR1L-CP-003;NR1L-CP-004
SWE1-CertProvider-003	CertProvider	PRODUCED	1	2	NR1L-CP-005;NR1L-CP-006
SWE1-CertProvider-004	CertProvider	PRODUCED	1	2	NR1L-CP-007;NR1L-CP-008
SWE1-CertProvider-005	CertProvider	PRODUCED	1	2	NR1L-CP-009;NR1L-CP-010
SWE1-CertProvider-006	CertProvider	PRODUCED	1	4	NR1L-CP-011;NR1L-CP-012;NR1L-CP-013;NR1L-CP-014
SWE1-CertProvider-007	CertProvider	PRODUCED	1	2	NR1L-CP-015;NR1L-CP-016
SWE1-CertProvider-008	CertProvider	PRODUCED	1	2	NR1L-CP-017;NR1L-CP-018
SWE1-CertProvider-009	CertProvider	PRODUCED	1	2	NR1L-CP-019;NR1L-CP-020
SWE1-CertProvider-010	CertProvider	PRODUCED	1	1	NR1L-CP-021
SWE1-CertProvider-011	CertProvider	PRODUCED	1	2	NR1L-CP-022;NR1L-CP-023
SWE1-KeyInsyall-001	KeyInstall	PRODUCED	1	2	NR1L-KI-001;NR1L-KI-002
SWE1-KeyInsyall-002	KeyInstall	PRODUCED	1	1	NR1L-KI-003
SWE1-KeyInsyall-003	KeyInstall	PRODUCED	1	2	NR1L-KI-004;NR1L-KI-005
SWE1-KeyInsyall-004	KeyInstall	PRODUCED	1	1	NR1L-KI-006
SWE1-KeyInsyall-005	KeyInstall	PRODUCED	1	1	NR1L-KI-007
SWE1-KeyInsyall-006	KeyInstall	PRODUCED	1	4	NR1L-KI-008;NR1L-KI-009;NR1L-KI-010;NR1L-KI-011
SWE1-KeyInsyall-007	KeyInstall	PRODUCED	1	2	NR1L-KI-012;NR1L-KI-013
SWE1-KeyInsyall-008	KeyInstall	PRODUCED	1	2	NR1L-KI-014;NR1L-KI-015
SWE1-KeyInsyall-009	KeyInstall	PRODUCED	1	2	NR1L-KI-016;NR1L-KI-017
SWE1-KeyInsyall-010	KeyInstall	PRODUCED	1	2	NR1L-KI-018;NR1L-KI-019
SWE1-KeyInsyall-011	KeyInstall	PRODUCED	1	2	NR1L-KI-020;NR1L-KI-021
SWE1-KeyInsyall-012	KeyInstall	PRODUCED	1	3	NR1L-KI-022;NR1L-KI-023;NR1L-KI-024
SWE1-KeyInsyall-013	KeyInstall	PRODUCED	1	1	NR1L-KI-025
SWE1-SAM-0001	SAM	PRODUCED	1	1	NR1L-SAM-001
SWE1-SAM-0002	SAM	PRODUCED	1	1	NR1L-SAM-002
SWE1-SAM-0003	SAM	PRODUCED	2	2	NR1L-SAM-003;NR1L-SAM-004
