old_id_v13	new_id_v14	swe1_id	note
NR1L-CP-001	NR1L-CP-001	SWE1-CertProvider-001	unchanged
NR1L-CP-002	NR1L-CP-002	SWE1-CertProvider-001	unchanged
NR1L-CP-003	NR1L-CP-004	SWE1-CertProvider-002	renumbered
NR1L-CP-004	NR1L-CP-005	SWE1-CertProvider-002	renumbered
NR1L-CP-005	NR1L-CP-006	SWE1-CertProvider-003	renumbered
NR1L-CP-006	NR1L-CP-007	SWE1-CertProvider-003	renumbered
NR1L-CP-007	NR1L-CP-008	SWE1-CertProvider-004	renumbered
NR1L-CP-008	NR1L-CP-009	SWE1-CertProvider-004	renumbered
NR1L-CP-009	NR1L-CP-014	SWE1-CertProvider-005	renumbered
NR1L-CP-010	NR1L-CP-015	SWE1-CertProvider-005	renumbered
NR1L-CP-011	NR1L-CP-016	SWE1-CertProvider-006	renumbered
NR1L-CP-012	NR1L-CP-017	SWE1-CertProvider-006	renumbered
NR1L-CP-013	NR1L-CP-018	SWE1-CertProvider-006	renumbered
NR1L-CP-014	NR1L-CP-019	SWE1-CertProvider-006	renumbered
NR1L-CP-015	NR1L-CP-020	SWE1-CertProvider-007	renumbered
NR1L-CP-016	NR1L-CP-021	SWE1-CertProvider-007	renumbered
NR1L-CP-017	NR1L-CP-022	SWE1-CertProvider-008	renumbered
NR1L-CP-018	NR1L-CP-023	SWE1-CertProvider-008	renumbered
NR1L-CP-019	NR1L-CP-024	SWE1-CertProvider-009	renumbered
NR1L-CP-020	NR1L-CP-025	SWE1-CertProvider-009	renumbered
NR1L-CP-021	NR1L-CP-026	SWE1-CertProvider-010	renumbered
NR1L-CP-022	NR1L-CP-027	SWE1-CertProvider-011	renumbered
NR1L-CP-023	NR1L-CP-028	SWE1-CertProvider-011	renumbered
NR1L-KI-001	NR1L-KI-001	SWE1-KeyInsyall-001	unchanged
NR1L-KI-002	NR1L-KI-002	SWE1-KeyInsyall-001	unchanged
NR1L-KI-003	NR1L-KI-003	SWE1-KeyInsyall-002	unchanged
NR1L-KI-004	NR1L-KI-004	SWE1-KeyInsyall-003	unchanged
NR1L-KI-005	NR1L-KI-005	SWE1-KeyInsyall-003	unchanged
NR1L-KI-006	NR1L-KI-006	SWE1-KeyInsyall-004	unchanged
NR1L-KI-007	NR1L-KI-007	SWE1-KeyInsyall-005	unchanged
NR1L-KI-008	NR1L-KI-008	SWE1-KeyInsyall-006	unchanged
NR1L-KI-009	NR1L-KI-009	SWE1-KeyInsyall-006	unchanged
NR1L-KI-010	NR1L-KI-010	SWE1-KeyInsyall-006	unchanged
NR1L-KI-011	NR1L-KI-011	SWE1-KeyInsyall-006	unchanged
NR1L-KI-012	NR1L-KI-012	SWE1-KeyInsyall-007	unchanged
NR1L-KI-013	NR1L-KI-013	SWE1-KeyInsyall-007	unchanged
NR1L-KI-014	NR1L-KI-014	SWE1-KeyInsyall-008	unchanged
NR1L-KI-015	NR1L-KI-015	SWE1-KeyInsyall-008	unchanged
NR1L-KI-016	NR1L-KI-016	SWE1-KeyInsyall-009	unchanged
NR1L-KI-017	NR1L-KI-017	SWE1-KeyInsyall-009	unchanged
NR1L-KI-018	NR1L-KI-018	SWE1-KeyInsyall-010	unchanged
NR1L-KI-019	NR1L-KI-019	SWE1-KeyInsyall-010	unchanged
NR1L-KI-020	NR1L-KI-020	SWE1-KeyInsyall-011	unchanged
NR1L-KI-021	NR1L-KI-021	SWE1-KeyInsyall-011	unchanged
NR1L-KI-022	NR1L-KI-022	SWE1-KeyInsyall-012	unchanged
NR1L-KI-023	NR1L-KI-023	SWE1-KeyInsyall-012	unchanged
NR1L-KI-024	NR1L-KI-024	SWE1-KeyInsyall-012	unchanged
NR1L-KI-025	NR1L-KI-025	SWE1-KeyInsyall-013	unchanged
NR1L-SAM-001	NR1L-SAM-001	SWE1-SAM-0001	unchanged
NR1L-SAM-002	NR1L-SAM-002	SWE1-SAM-0002	unchanged
NR1L-SAM-003	NR1L-SAM-003	SWE1-SAM-0003	unchanged
NR1L-SAM-004	NR1L-SAM-004	SWE1-SAM-0003	unchanged
NR1L-SAM-005	NR1L-SAM-005	SWE1-SAM-0004	unchanged
NR1L-SAM-006	NR1L-SAM-006	SWE1-SAM-0005	unchanged
NR1L-SAM-007	NR1L-SAM-007	SWE1-SAM-0005	unchanged
NR1L-SAM-008	NR1L-SAM-008	SWE1-SAM-0006	unchanged
NR1L-SAM-009	NR1L-SAM-009	SWE1-SAM-0006	unchanged
NR1L-SAM-010	NR1L-SAM-010	SWE1-SAM-0007	unchanged
NR1L-SAM-011	NR1L-SAM-011	SWE1-SAM-0007	unchanged
NR1L-SAM-012	NR1L-SAM-012	SWE1-SAM-0008	unchanged
NR1L-SAM-013	NR1L-SAM-013	SWE1-SAM-0008	unchanged
NR1L-SAM-014	NR1L-SAM-014	SWE1-SAM-0009	unchanged
NR1L-SAM-015	NR1L-SAM-015	SWE1-SAM-0009	unchanged
NR1L-SAM-016	NR1L-SAM-016	SWE1-SAM-0010	unchanged
NR1L-SAM-017	NR1L-SAM-017	SWE1-SAM-0010	unchanged
NR1L-SAM-018	NR1L-SAM-018	SWE1-SAM-0011	unchanged
NR1L-SAM-019	NR1L-SAM-019	SWE1-SAM-0012	unchanged
NR1L-SAM-020	NR1L-SAM-020	SWE1-SAM-0012	unchanged
NR1L-SAM-021	NR1L-SAM-021	SWE1-SAM-0012	unchanged
NR1L-SAM-022	NR1L-SAM-022	SWE1-SAM-0013	unchanged
NR1L-SAM-023	NR1L-SAM-023	SWE1-SAM-0013	unchanged
NR1L-SAM-024	NR1L-SAM-024	SWE1-SAM-0013	unchanged
NR1L-SAM-025	NR1L-SAM-025	SWE1-SAM-0013	unchanged
NR1L-SAM-026	NR1L-SAM-026	SWE1-SAM-0014	unchanged
NR1L-SAM-027	NR1L-SAM-027	SWE1-SAM-0015	unchanged
NR1L-SAM-028	NR1L-SAM-028	SWE1-SAM-0016	unchanged
NR1L-SAM-029	NR1L-SAM-029	SWE1-SAM-0016	unchanged
NR1L-SAM-030	NR1L-SAM-030	SWE1-SAM-0017	unchanged
NR1L-SAM-031	NR1L-SAM-031	SWE1-SAM-0017	unchanged
NR1L-SAM-032	NR1L-SAM-032	SWE1-SAM-0018	unchanged
NR1L-SAM-033	NR1L-SAM-033	SWE1-SAM-0019	unchanged
NR1L-ECUC-001	NR1L-ECUC-001	SYSAD_SEC_ECUCERT_ECUCERT_API	unchanged
NR1L-ECUC-002	NR1L-ECUC-002	SYSAD_SEC_ECUCERT_ECUCERT_API	unchanged
NR1L-ECUC-003	NR1L-ECUC-007	SYSAD_SEC_ECUCERT_ECUCERT_SERVICE	renumbered
NR1L-ECUC-004	NR1L-ECUC-008	SYSAD_SEC_ECUCERT_ECUCERT_SERVICE	renumbered
NR1L-ECUC-005	NR1L-ECUC-009	SYSAD_SEC_ECUCERT_ECUONLINE	renumbered
NR1L-ECUC-006	NR1L-ECUC-010	SYSAD_SEC_ECUCERT_ECUONLINE	renumbered
NR1L-ECUC-007	NR1L-ECUC-011	SYSAD_SEC_ECUCERT_DIAG	renumbered
NR1L-ECUC-008	NR1L-ECUC-012	SYSAD_SEC_ECUCERT_DIAG	renumbered
NR1L-ECUC-009	NR1L-ECUC-013	SYSAD_SEC_ECUCERT_DIAG	renumbered
NR1L-ECUC-010	NR1L-ECUC-014	SYSAD_SEC_ECUCERT_DEALER	renumbered
NR1L-ECUC-011	NR1L-ECUC-015	SYSAD_SEC_ECUCERT_DEALER	renumbered
NR1L-ECUC-012	NR1L-ECUC-016	SYSAD_SEC_ECUCERT_ECUCERT_SERVICE_BINDER	renumbered
NR1L-ECUC-013	NR1L-ECUC-017	SYSAD_SEC_ECUCERT_ECUONLINE_BINDER	renumbered
NR1L-ECUC-014	NR1L-ECUC-018	SYSAD_SEC_ECUCERT_ECUCERT_STORAGE_IO	renumbered
NR1L-ECUC-015	NR1L-ECUC-019	SYSAD_SEC_ECUCERT_ECUCERT_JNI	renumbered
NR1L-ECUC-016	NR1L-ECUC-020	SYSAD_SEC_ECUCERT_ECUCERT_SRV_EXPORTCSR_INTF	renumbered
NR1L-ECUC-017	NR1L-ECUC-022	SYSAD_SEC_ECUCERT_ECUCERT_SRV_EXPORTCERT_INTF	renumbered
NR1L-ECUC-018	NR1L-ECUC-023	SYSAD_SEC_ECUCERT_ECUCERT_SRV_IMPORTCERT_INTF	renumbered
NR1L-ECUC-019	NR1L-ECUC-024	SYSAD_SEC_ECUCERT_ECUONLINE_DOWNLOADCERT_INTF	renumbered
NR1L-ECUC-020	NR1L-ECUC-025	SYSAD_SEC_ECUCERT_ECUONLINE_DOWNLOADCERT_INTF	renumbered
NR1L-SWDL-001	NR1L-SWDL-001	SWE1-SRA-SECURITY-SWDL-001	unchanged
NR1L-SWDL-002	NR1L-SWDL-002	SWE1-SRA-SECURITY-SWDL-001	unchanged
NR1L-SWDL-003	NR1L-SWDL-003	SWE1-SRA-SECURITY-SWDL-002	unchanged
NR1L-SWDL-004	NR1L-SWDL-004	SWE1-SRA-SECURITY-SWDL-003	unchanged
NR1L-SWDL-005	NR1L-SWDL-005	SWE1-SRA-SECURITY-SWDL-003	unchanged
NR1L-SWDL-006	NR1L-SWDL-006	SWE1-SRA-SECURITY-SWDL-003	unchanged
NR1L-SWDL-007	NR1L-SWDL-007	SWE1-SRA-SECURITY-SWDL-004	unchanged
NR1L-SWDL-008	NR1L-SWDL-008	SWE1-SRA-SECURITY-SWDL-004	unchanged
NR1L-SWDL-009	NR1L-SWDL-009	SWE1-SRA-SECURITY-SWDL-004	unchanged
NR1L-SWDL-010	NR1L-SWDL-010	SWE1-SRA-SECURITY-SWDL-005	unchanged
NR1L-SWDL-011	NR1L-SWDL-011	SWE1-SRA-SECURITY-SWDL-005	unchanged
NR1L-LOGENC-001	NR1L-LOGENC-001	SWE1-LOGENC-001	unchanged
NR1L-LOGENC-002	NR1L-LOGENC-002	SWE1-LOGENC-002	unchanged
NR1L-LOGENC-003	NR1L-LOGENC-003	SWE1-LOGENC-003	unchanged
NR1L-LOGENC-004	NR1L-LOGENC-004	SWE1-LOGENC-004	unchanged
NR1L-LOGENC-005	NR1L-LOGENC-005	SWE1-LOGENC-004	unchanged
