swe1_id	candidates_all	lines	status	category_excluded_if_filtered	preview
SWE1-CertProvider-001	41	41	OK	0	CFTS084-4949379 ⏎ CFTS084-4949380 ⏎ CFTS084-4949381 ⏎ CFTS084-4949382 ⏎ CFTS084-4949384 …
SWE1-CertProvider-002	12	12	OK	0	CFTS084-4949587 ⏎ CFTS084-4949588 ⏎ CFTS084-4949594 ⏎ CFTS084-4949595 ⏎ CFTS084-4949596 …
SWE1-CertProvider-003	12	12	OK	0	CFTS084-4949587 ⏎ CFTS084-4949588 ⏎ CFTS084-4949594 ⏎ CFTS084-4949595 ⏎ CFTS084-4949596 …
SWE1-CertProvider-004	12	12	OK	0	CFTS084-4949587 ⏎ CFTS084-4949588 ⏎ CFTS084-4949594 ⏎ CFTS084-4949595 ⏎ CFTS084-4949596 …
SWE1-CertProvider-005	12	12	OK	0	CFTS084-4949587 ⏎ CFTS084-4949588 ⏎ CFTS084-4949594 ⏎ CFTS084-4949595 ⏎ CFTS084-4949596 …
SWE1-CertProvider-006	12	12	OK	0	CFTS084-4949587 ⏎ CFTS084-4949588 ⏎ CFTS084-4949594 ⏎ CFTS084-4949595 ⏎ CFTS084-4949596 …
SWE1-CertProvider-007	33	33	OK	0	CFTS084-4949379 ⏎ CFTS084-4949380 ⏎ CFTS084-4949381 ⏎ CFTS084-4949382 ⏎ CFTS084-4949384 …
SWE1-CertProvider-008	6	6	OK	0	CFTS084-4949587 ⏎ CFTS084-4949588 ⏎ CFTS084-4949594 ⏎ CFTS084-4949680 ⏎ CFTS084-4949681 …
SWE1-CertProvider-009	33	33	OK	0	CFTS084-4949379 ⏎ CFTS084-4949380 ⏎ CFTS084-4949381 ⏎ CFTS084-4949382 ⏎ CFTS084-4949384 …
SWE1-CertProvider-010	12	12	OK	0	CFTS084-4949587 ⏎ CFTS084-4949588 ⏎ CFTS084-4949594 ⏎ CFTS084-4949595 ⏎ CFTS084-4949596 …
SWE1-CertProvider-011	12	12	OK	0	CFTS084-4949587 ⏎ CFTS084-4949588 ⏎ CFTS084-4949594 ⏎ CFTS084-4949595 ⏎ CFTS084-4949596 …
SWE1-KeyInsyall-001	13	13	OK	0	CFTS084-4949528 ⏎ CFTS084-4949736 ⏎ CFTS084-4949737 ⏎ CFTS084-4949738 ⏎ CFTS084-4949739 …
SWE1-KeyInsyall-002	13	13	OK	0	CFTS084-4949528 ⏎ CFTS084-4949736 ⏎ CFTS084-4949737 ⏎ CFTS084-4949738 ⏎ CFTS084-4949739 …
