zip	source_file	asset	matches_037
Z1	IntegrationTests/PythonTests/KeysInstallationTests/test_can_injection.py	installstate.bin	N
Z1	IntegrationTests/PythonTests/KeysInstallationTests/test_can_injection.py	rawkey.p8	Y
Z1	IntegrationTests/PythonTests/common/keys_install_helper.py	/rawkey.p8	Y
Z1	IntegrationTests/PythonTests/common/keys_install_helper.py	_rawkey.bin	Y
Z1	IntegrationTests/PythonTests/common/keys_install_helper.py	installstate.bin	N
Z1	IntegrationTests/PythonTests/common/keys_install_helper.py	rawkey.p8	Y
Z1	IntegrationTests/PythonTests/common/keys_install_helper.py	tmp.bin	N
Z1	IntegrationTests/TestKeyMaterial/rawkeys/AndroidAuto/rawkey.p8	rawkey.p8	Y
Z1	IntegrationTests/TestKeyMaterial/rawkeys/Logdog/rawkey.p8	rawkey.p8	Y
Z1	IntegrationTests/TestKeyMaterial/rawkeys/SWDL/rawkey.p8	rawkey.p8	Y
