filename	sha256	source_path	delivered_round	note	status
FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_Security_CertProvider_20260917.xlsx	b24b0114813e5db550247faa2a52cb8baf07a2d2c001889273fabc29e3bbce57	features/security/sandbox/delivery/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_Security_CertProvider_20260917.xlsx	SEC-17（R-SEC25 六本形制 ＋ 佔位列標色）	交付本；整檔複製，逐位元組一致（filecmp 實測）	
FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_Security_ECUCert_20260917.xlsx	1be52f93752545d7e17a780e737d5421fc6f6b291361369a27d0f239461a7c30	features/security/sandbox/delivery/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_Security_ECUCert_20260917.xlsx	SEC-17（R-SEC25 六本形制 ＋ 佔位列標色）	交付本；整檔複製，逐位元組一致（filecmp 實測）	
FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_Security_KeyInstall_20260917.xlsx	755ea97408285b3eea738698cae750240d5001a71fe18439a54c83266c9fb26b	features/security/sandbox/delivery/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_Security_KeyInstall_20260917.xlsx	SEC-17（R-SEC25 六本形制 ＋ 佔位列標色）	交付本；整檔複製，逐位元組一致（filecmp 實測）	
FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_Security_SAM_20260917.xlsx	c5e66abba5ecb97edbb12a1201e72e691031a558bdc23fc7246b06096c4d6490	features/security/sandbox/delivery/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_Security_SAM_20260917.xlsx	SEC-17（R-SEC25 六本形制 ＋ 佔位列標色）	交付本；整檔複製，逐位元組一致（filecmp 實測）	
FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_Security_SwdlSecureLib_20260917.xlsx	744289bbe946620048ebc47c1ef91dc9a5949b59a90e1a535e6e74590b34a27c	features/security/sandbox/delivery/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_Security_SwdlSecureLib_20260917.xlsx	SEC-17（R-SEC25 六本形制 ＋ 佔位列標色）	交付本；整檔複製，逐位元組一致（filecmp 實測）	
FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_Security_libLogEncrypt_20260917.xlsx	407fee56031ac82330bc304443d339cae3d84f6ce0e6bf1f18390a692168d10f	features/security/sandbox/delivery/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_Security_libLogEncrypt_20260917.xlsx	SEC-17（R-SEC25 六本形制 ＋ 佔位列標色）	交付本；整檔複製，逐位元組一致（filecmp 實測）	
EXEC_GUIDE.md	3faa77c28c001633e81d56287d67fac99dc9acccb997b934ecfc126a6fa75ca8	features/security/sandbox/delivery/EXEC_GUIDE.md	SEC-17（R-SEC25 六本形制 ＋ 佔位列標色）	共用件；整檔複製，逐位元組一致（filecmp 實測）	
asset_request.md	86b62bad8c8e9ab2304ed215588551640f0fc2ce6cbb82fd6f0752fb1cf75bc4	features/security/sandbox/delivery/asset_request.md	SEC-17（R-SEC25 六本形制 ＋ 佔位列標色）	共用件；整檔複製，逐位元組一致（filecmp 實測）	
coverage.tsv	3e928aaae6eafde421b38a464c90210c6864e69dd197e2a00a86d83c761618c1	features/security/sandbox/delivery/coverage.tsv	SEC-17（R-SEC25 六本形制 ＋ 佔位列標色）	共用件；整檔複製，逐位元組一致（filecmp 實測）	
placeholder_summary.tsv	c5af568f7f0b22d00d0a3884524c6c4bf02005b5c704f73cd156afce0225d729	features/security/sandbox/delivery/placeholder_summary.tsv	SEC-17（R-SEC25 六本形制 ＋ 佔位列標色）	共用件；整檔複製，逐位元組一致（filecmp 實測）	
placeholder_by_token.tsv	13422df50ec7bc59bfe877a4452999b6daf62d29aadef714a9879470a7c4f325	features/security/sandbox/delivery/placeholder_by_token.tsv	SEC-17（R-SEC25 六本形制 ＋ 佔位列標色）	共用件；整檔複製，逐位元組一致（filecmp 實測）	
placeholder_rows.tsv	df39c38f62b553f8d18c2e4aed70035aa4adbee3c821d66e8ebf4fb59730a711	features/security/sandbox/delivery/placeholder_rows.tsv	SEC-17（R-SEC25 六本形制 ＋ 佔位列標色）	共用件；整檔複製，逐位元組一致（filecmp 實測）	
