token	count	tc_ids	fields
X-c	1	NR1L-CP-020	proc=1
X-d	7	NR1L-ECUC-001;NR1L-ECUC-002;NR1L-ECUC-004;NR1L-ECUC-007;NR1L-ECUC-012	er=5 proc=2
X-e	7	NR1L-CP-004;NR1L-CP-006;NR1L-CP-007;NR1L-CP-009;NR1L-CP-016;NR1L-CP-022;NR1L-CP-023	proc=7
X-f-2	6	NR1L-KI-018;NR1L-KI-019;NR1L-KI-022	er=3 proc=3
X-g	36	NR1L-SAM-004;NR1L-SAM-005;NR1L-SAM-007;NR1L-SAM-008;NR1L-SAM-009;NR1L-SAM-010;NR1L-SAM-011;NR1L-SAM-012;NR1L-SAM-014;NR1L-SAM-015;NR1L-SAM-016;NR1L-SAM-017;NR1L-SAM-018;NR1L-SAM-019;NR1L-SAM-020;NR1L-SAM-021;NR1L-SAM-027;NR1L-SAM-028;NR1L-SAM-029	er=18 proc=18
X-h	19	NR1L-CP-002;NR1L-CP-004;NR1L-CP-006;NR1L-CP-007;NR1L-CP-009;NR1L-CP-016;NR1L-CP-017;NR1L-CP-018;NR1L-CP-020;NR1L-CP-022;NR1L-CP-023;NR1L-KI-019;NR1L-SAM-002;NR1L-SAM-004;NR1L-SAM-010;NR1L-SAM-012;NR1L-SAM-014;NR1L-SAM-022	er=19
X-j	2	NR1L-KI-015	er=1 proc=1
X-k	4	NR1L-ECUC-008;NR1L-ECUC-009	er=2 proc=2
X-l	8	NR1L-SWDL-001;NR1L-SWDL-002;NR1L-SWDL-003;NR1L-SWDL-004	er=4 proc=4
X-m	2	NR1L-LOGENC-003	er=1 proc=1
X-n	4	NR1L-SAM-025;NR1L-SAM-026	er=2 proc=2
