workbook	tc_id	row	tokens
CertProvider	NR1L-CP-002	11	X-h
CertProvider	NR1L-CP-004	13	X-e;X-h
CertProvider	NR1L-CP-006	15	X-e;X-h
CertProvider	NR1L-CP-007	16	X-e;X-h
CertProvider	NR1L-CP-009	18	X-e;X-h
CertProvider	NR1L-CP-016	25	X-e;X-h
CertProvider	NR1L-CP-017	26	X-h
CertProvider	NR1L-CP-018	27	X-h
CertProvider	NR1L-CP-020	29	X-c;X-h
CertProvider	NR1L-CP-022	31	X-e;X-h
CertProvider	NR1L-CP-023	32	X-e;X-h
ECUCert	NR1L-ECUC-001	10	X-d
ECUCert	NR1L-ECUC-002	11	X-d
ECUCert	NR1L-ECUC-004	13	X-d
ECUCert	NR1L-ECUC-009	18	X-d
ECUCert	NR1L-ECUC-010	19	X-k
ECUCert	NR1L-ECUC-011	20	X-k
ECUCert	NR1L-ECUC-018	27	X-d
KeyInstall	NR1L-KI-015	24	X-j
KeyInstall	NR1L-KI-018	27	X-f-2
KeyInstall	NR1L-KI-019	28	X-f-2;X-h
KeyInstall	NR1L-KI-022	31	X-f-2
SAM	NR1L-SAM-003	12	X-g
SAM	NR1L-SAM-004	13	X-g
SAM	NR1L-SAM-005	14	X-h
SAM	NR1L-SAM-006	15	X-g
SAM	NR1L-SAM-007	16	X-g;X-h
SAM	NR1L-SAM-008	17	X-g
SAM	NR1L-SAM-009	18	X-g;X-h
SAM	NR1L-SAM-011	20	X-g;X-h
SAM	NR1L-SAM-013	22	X-g;X-h
SAM	NR1L-SAM-014	23	X-g
SAM	NR1L-SAM-015	24	X-g
SAM	NR1L-SAM-016	25	X-g
SAM	NR1L-SAM-017	26	X-g
SAM	NR1L-SAM-018	27	X-g
SAM	NR1L-SAM-019	28	X-g
SAM	NR1L-SAM-020	29	X-g
SAM	NR1L-SAM-021	30	X-h
SAM	NR1L-SAM-024	33	X-n
SAM	NR1L-SAM-025	34	X-n
SAM	NR1L-SAM-026	35	X-g
SAM	NR1L-SAM-027	36	X-g
SAM	NR1L-SAM-028	37	X-g
SAM	NR1L-SAM-029	38	X-g
SwdlSecureLib	NR1L-SWDL-004	13	X-l
SwdlSecureLib	NR1L-SWDL-005	14	X-l
SwdlSecureLib	NR1L-SWDL-006	15	X-l
SwdlSecureLib	NR1L-SWDL-007	16	X-l
libLogEncrypt	NR1L-LOGENC-009	18	X-m
