workbook	tc_id	field	line	x_token	original_pending	placeholder	kind	converted_to
CertProvider	NR1L-CP-002	er	3	X-h	3. PENDING: X-h log keyword	3. <log keyword provided by RD (X-h)>	value	3. <log keyword provided by RD (X-h)>
CertProvider	NR1L-CP-005	proc	5	X-e	3. PENDING: X-e wrong-subject certificate + trigger	3. <DUT-side trigger for wrong-subject certificate provided by RD (X-e)>	trigger	3. <DUT-side trigger for wrong-subject certificate provided by RD (X-e)> ⏎ $ <command provided by RD (X-e)>
CertProvider	NR1L-CP-005	er	3	X-h	3. PENDING: X-h log keyword	3. <log keyword provided by RD (X-h)>	value	3. <log keyword provided by RD (X-h)>
CertProvider	NR1L-CP-007	proc	5	X-e	3. PENDING: X-e wrong-issuer certificate + trigger	3. <DUT-side trigger for wrong-issuer certificate provided by RD (X-e)>	trigger	3. <DUT-side trigger for wrong-issuer certificate provided by RD (X-e)> ⏎ $ <command provided by RD (X-e)>
CertProvider	NR1L-CP-007	er	3	X-h	3. PENDING: X-h log keyword	3. <log keyword provided by RD (X-h)>	value	3. <log keyword provided by RD (X-h)>
CertProvider	NR1L-CP-027	proc	5	X-e	3. PENDING: X-e OID certificate + trigger	3. <DUT-side trigger for OID certificate provided by RD (X-e)>	trigger	3. <DUT-side trigger for OID certificate provided by RD (X-e)> ⏎ $ <command provided by RD (X-e)>
CertProvider	NR1L-CP-027	er	3	X-h	3. PENDING: X-h log keyword	3. <log keyword provided by RD (X-h)>	value	3. <log keyword provided by RD (X-h)>
CertProvider	NR1L-CP-028	proc	3	X-e	2. PENDING: X-e OID certificate + trigger	2. <DUT-side trigger for OID certificate provided by RD (X-e)>	trigger	2. <DUT-side trigger for OID certificate provided by RD (X-e)> ⏎ $ <command provided by RD (X-e)>
CertProvider	NR1L-CP-028	er	2	X-h	2. PENDING: X-h log keyword	2. <log keyword provided by RD (X-h)>	value	2. <log keyword provided by RD (X-h)>
CertProvider	NR1L-CP-014	proc	1	X-e	1. PENDING: X-e revoked certificate at the distribution point + trigger	1. <DUT-side trigger for revoked certificate at the distribution point provided by RD (X-e)>	trigger	1. <DUT-side trigger for revoked certificate at the distribution point provided by RD (X-e)> ⏎ $ <command provided by RD (X-e)>
CertProvider	NR1L-CP-014	er	1	X-h	1. PENDING: X-h log keyword	1. <log keyword provided by RD (X-h)>	value	1. <log keyword provided by RD (X-h)>
CertProvider	NR1L-CP-021	proc	9	X-e	5. PENDING: X-e valid leaf certificate + trigger	5. <DUT-side trigger for valid leaf certificate provided by RD (X-e)>	trigger	5. <DUT-side trigger for valid leaf certificate provided by RD (X-e)> ⏎ $ <command provided by RD (X-e)>
CertProvider	NR1L-CP-021	er	5	X-h	5. PENDING: X-h log keyword	5. <log keyword provided by RD (X-h)>	value	5. <log keyword provided by RD (X-h)>
CertProvider	NR1L-CP-025	proc	7	X-c	4. PENDING: X-c NR1L production certificate + trigger	4. <DUT-side trigger for NR1L production certificate provided by STLA (X-c)>	trigger	4. <DUT-side trigger for NR1L production certificate provided by STLA (X-c)> ⏎ $ <command provided by STLA (X-c)>
CertProvider	NR1L-CP-025	er	4	X-h	4. PENDING: X-h log keyword	4. <log keyword provided by RD (X-h)>	value	4. <log keyword provided by RD (X-h)>
CertProvider	NR1L-CP-022	er	3	X-h	3. PENDING: X-h log keyword	3. <log keyword provided by RD (X-h)>	value	3. <log keyword provided by RD (X-h)>
CertProvider	NR1L-CP-023	er	3	X-h	3. PENDING: X-h log keyword	3. <log keyword provided by RD (X-h)>	value	3. <log keyword provided by RD (X-h)>
KeyInstall	NR1L-KI-015	proc	1	X-j	1. PENDING: X-j OTA or HAL upgrade image + trigger	1. <DUT-side trigger for OTA or HAL upgrade image provided by RD (X-j)>	trigger	1. <DUT-side trigger for OTA or HAL upgrade image provided by RD (X-j)> ⏎ $ <command provided by RD (X-j)>
KeyInstall	NR1L-KI-015	er	1	X-j	1. PENDING: X-j OTA or HAL upgrade image + trigger	1. <observable outcome provided by RD (X-j)>	outcome	1. <observable outcome provided by RD (X-j)>
KeyInstall	NR1L-KI-018	proc	1	X-f-2	1. PENDING: X-f-2 KeyInstall status test runner	1. <KeyInstall status test runner provided by RD (X-f-2)> is executed	exec	1. <KeyInstall status test runner provided by RD (X-f-2)> is executed ⏎ $ <command provided by RD (X-f-2)>
KeyInstall	NR1L-KI-018	er	1	X-f-2	1. PENDING: X-f-2 KeyInstall status test runner	1. <KeyInstall status test runner provided by RD (X-f-2)>	value	1. <KeyInstall status test runner provided by RD (X-f-2)>
KeyInstall	NR1L-KI-019	proc	1	X-f-2	1. PENDING: X-f-2 KeyInstall status test runner	1. <KeyInstall status test runner provided by RD (X-f-2)> is executed	exec	1. <KeyInstall status test runner provided by RD (X-f-2)> is executed ⏎ $ <command provided by RD (X-f-2)>
KeyInstall	NR1L-KI-019	er	1	X-f-2	1. PENDING: X-f-2 KeyInstall status test runner	1. <KeyInstall status test runner provided by RD (X-f-2)>	value	1. <KeyInstall status test runner provided by RD (X-f-2)>
KeyInstall	NR1L-KI-019	er	2	X-h	2. PENDING: X-h log keyword	2. <log keyword provided by RD (X-h)>	value	2. <log keyword provided by RD (X-h)>
KeyInstall	NR1L-KI-022	proc	1	X-f-2	1. PENDING: X-f-2 KeyInstall designated task execution + trigger	1. <DUT-side trigger for KeyInstall designated task execution provided by RD (X-f-2)>	trigger	1. <DUT-side trigger for KeyInstall designated task execution provided by RD (X-f-2)> ⏎ $ <command provided by RD (X-f-2)>
KeyInstall	NR1L-KI-022	er	1	X-f-2	1. PENDING: X-f-2 KeyInstall designated task execution + trigger	1. <observable outcome provided by RD (X-f-2)>	outcome	1. <observable outcome provided by RD (X-f-2)>
SAM	NR1L-SAM-003	er	1	X-g	1. PENDING: X-g SAM AuthData reception evidence	1. <SAM AuthData reception evidence provided by RD (X-g)>	value	1. <SAM AuthData reception evidence provided by RD (X-g)>
SAM	NR1L-SAM-004	proc	1	X-g	1. PENDING: X-g SAM AuthData package outside the USB root + trigger	1. <DUT-side trigger for SAM AuthData package outside the USB root provided by RD (X-g)>	trigger	1. <DUT-side trigger for SAM AuthData package outside the USB root provided by RD (X-g)> ⏎ $ <command provided by RD (X-g)>
SAM	NR1L-SAM-004	er	1	X-g	1. PENDING: X-g SAM AuthData package outside the USB root + trigger	1. <observable outcome provided by RD (X-g)>	outcome	1. <observable outcome provided by RD (X-g)>
SAM	NR1L-SAM-005	er	3	X-h	3. PENDING: X-h log keyword	3. <log keyword provided by RD (X-h)>	value	3. <log keyword provided by RD (X-h)>
SAM	NR1L-SAM-005	er	4	X-h	4. PENDING: X-h log keyword	4. <log keyword provided by RD (X-h)>	value	4. <log keyword provided by RD (X-h)>
SAM	NR1L-SAM-006	proc	5	X-g	3. PENDING: X-g SAM AuthData package that passes verification + trigger	3. <DUT-side trigger for SAM AuthData package that passes verification provided by RD (X-g)>	trigger	3. <DUT-side trigger for SAM AuthData package that passes verification provided by RD (X-g)> ⏎ $ <command provided by RD (X-g)>
SAM	NR1L-SAM-006	er	3	X-g	3. PENDING: X-g SAM AuthData package that passes verification + trigger	3. <observable outcome provided by RD (X-g)>	outcome	3. <observable outcome provided by RD (X-g)>
SAM	NR1L-SAM-007	proc	1	X-g	1. PENDING: X-g SAM AuthData package with an invalid manifest signature + trigger	1. <DUT-side trigger for SAM AuthData package with an invalid manifest signature provided by RD (X-g)>	trigger	1. <DUT-side trigger for SAM AuthData package with an invalid manifest signature provided by RD (X-g)> ⏎ $ <command provided by RD (X-g)>
SAM	NR1L-SAM-007	er	1	X-g	1. PENDING: X-g SAM AuthData package with an invalid manifest signature + trigger	1. <observable outcome provided by RD (X-g)>	outcome	1. <observable outcome provided by RD (X-g)>
SAM	NR1L-SAM-007	er	2	X-h	2. PENDING: X-h log keyword	2. <log keyword provided by RD (X-h)>	value	2. <log keyword provided by RD (X-h)>
SAM	NR1L-SAM-008	proc	3	X-g	2. PENDING: X-g SAM AuthData package issued for this serial number + trigger	2. <DUT-side trigger for SAM AuthData package issued for this serial number provided by RD (X-g)>	trigger	2. <DUT-side trigger for SAM AuthData package issued for this serial number provided by RD (X-g)> ⏎ $ <command provided by RD (X-g)>
SAM	NR1L-SAM-008	er	2	X-g	2. PENDING: X-g SAM AuthData package issued for this serial number + trigger	2. <observable outcome provided by RD (X-g)>	outcome	2. <observable outcome provided by RD (X-g)>
SAM	NR1L-SAM-009	proc	1	X-g	1. PENDING: X-g SAM AuthData package issued for another serial number + trigger	1. <DUT-side trigger for SAM AuthData package issued for another serial number provided by RD (X-g)>	trigger	1. <DUT-side trigger for SAM AuthData package issued for another serial number provided by RD (X-g)> ⏎ $ <command provided by RD (X-g)>
SAM	NR1L-SAM-009	er	1	X-g	1. PENDING: X-g SAM AuthData package issued for another serial number + trigger	1. <observable outcome provided by RD (X-g)>	outcome	1. <observable outcome provided by RD (X-g)>
SAM	NR1L-SAM-009	er	2	X-h	2. PENDING: X-h log keyword	2. <log keyword provided by RD (X-h)>	value	2. <log keyword provided by RD (X-h)>
SAM	NR1L-SAM-011	proc	5	X-g	3. PENDING: X-g SAM AuthData with a non-anchoring certificate + trigger	3. <DUT-side trigger for SAM AuthData with a non-anchoring certificate provided by RD (X-g)>	trigger	3. <DUT-side trigger for SAM AuthData with a non-anchoring certificate provided by RD (X-g)> ⏎ $ <command provided by RD (X-g)>
SAM	NR1L-SAM-011	er	3	X-h	3. PENDING: X-h log keyword	3. <log keyword provided by RD (X-h)>	value	3. <log keyword provided by RD (X-h)>
SAM	NR1L-SAM-013	proc	1	X-g	1. PENDING: X-g SAM AuthData package with a malformed manifest + trigger	1. <DUT-side trigger for SAM AuthData package with a malformed manifest provided by RD (X-g)>	trigger	1. <DUT-side trigger for SAM AuthData package with a malformed manifest provided by RD (X-g)> ⏎ $ <command provided by RD (X-g)>
SAM	NR1L-SAM-013	er	1	X-g	1. PENDING: X-g SAM AuthData package with a malformed manifest + trigger	1. <observable outcome provided by RD (X-g)>	outcome	1. <observable outcome provided by RD (X-g)>
SAM	NR1L-SAM-013	er	2	X-h	2. PENDING: X-h log keyword	2. <log keyword provided by RD (X-h)>	value	2. <log keyword provided by RD (X-h)>
SAM	NR1L-SAM-016	proc	3	X-g	2. PENDING: X-g SAM AuthData package with a newer TimeStamp + trigger	2. <DUT-side trigger for SAM AuthData package with a newer TimeStamp provided by RD (X-g)>	trigger	2. <DUT-side trigger for SAM AuthData package with a newer TimeStamp provided by RD (X-g)> ⏎ $ <command provided by RD (X-g)>
SAM	NR1L-SAM-016	er	2	X-g	2. PENDING: X-g SAM AuthData package with a newer TimeStamp + trigger	2. <observable outcome provided by RD (X-g)>	outcome	2. <observable outcome provided by RD (X-g)>
SAM	NR1L-SAM-017	proc	3	X-g	2. PENDING: X-g SAM AuthData package with an older TimeStamp + trigger	2. <DUT-side trigger for SAM AuthData package with an older TimeStamp provided by RD (X-g)>	trigger	2. <DUT-side trigger for SAM AuthData package with an older TimeStamp provided by RD (X-g)> ⏎ $ <command provided by RD (X-g)>
SAM	NR1L-SAM-017	er	2	X-g	2. PENDING: X-g SAM AuthData package with an older TimeStamp + trigger	2. <observable outcome provided by RD (X-g)>	outcome	2. <observable outcome provided by RD (X-g)>
SAM	NR1L-SAM-019	proc	3	X-g	2. PENDING: X-g SAM AuthData ignition cycle within the ValidityCounter + trigger	2. <DUT-side trigger for SAM AuthData ignition cycle within the ValidityCounter provided by RD (X-g)>	trigger	2. <DUT-side trigger for SAM AuthData ignition cycle within the ValidityCounter provided by RD (X-g)> ⏎ $ <command provided by RD (X-g)>
SAM	NR1L-SAM-019	er	2	X-g	2. PENDING: X-g SAM AuthData ignition cycle within the ValidityCounter + trigger	2. <observable outcome provided by RD (X-g)>	outcome	2. <observable outcome provided by RD (X-g)>
SAM	NR1L-SAM-020	proc	3	X-g	2. PENDING: X-g SAM AuthData ignition cycle within the ValidityCounter + trigger	2. <DUT-side trigger for SAM AuthData ignition cycle within the ValidityCounter provided by RD (X-g)>	trigger	2. <DUT-side trigger for SAM AuthData ignition cycle within the ValidityCounter provided by RD (X-g)> ⏎ $ <command provided by RD (X-g)>
SAM	NR1L-SAM-020	er	2	X-g	2. PENDING: X-g SAM AuthData ignition cycle within the ValidityCounter + trigger	2. <observable outcome provided by RD (X-g)>	outcome	2. <observable outcome provided by RD (X-g)>
SAM	NR1L-SAM-021	er	2	X-h	2. PENDING: X-h log keyword	2. <log keyword provided by RD (X-h)>	value	2. <log keyword provided by RD (X-h)>
SAM	NR1L-SAM-014	proc	1	X-g	1. PENDING: X-g SAM AuthData package with Install true and a non-Logging SAMType + trigger	1. <DUT-side trigger for SAM AuthData package with Install true and a non-Logging SAMType provided by RD (X-g)>	trigger	1. <DUT-side trigger for SAM AuthData package with Install true and a non-Logging SAMType provided by RD (X-g)> ⏎ $ <command provided by RD (X-g)>
SAM	NR1L-SAM-014	er	1	X-g	1. PENDING: X-g SAM AuthData package with Install true and a non-Logging SAMType + trigger	1. <observable outcome provided by RD (X-g)>	outcome	1. <observable outcome provided by RD (X-g)>
SAM	NR1L-SAM-015	proc	1	X-g	1. PENDING: X-g SAM AuthData package with a Logging SAMType + trigger	1. <DUT-side trigger for SAM AuthData package with a Logging SAMType provided by RD (X-g)>	trigger	1. <DUT-side trigger for SAM AuthData package with a Logging SAMType provided by RD (X-g)> ⏎ $ <command provided by RD (X-g)>
SAM	NR1L-SAM-015	er	1	X-g	1. PENDING: X-g SAM AuthData package with a Logging SAMType + trigger	1. <observable outcome provided by RD (X-g)>	outcome	1. <observable outcome provided by RD (X-g)>
SAM	NR1L-SAM-018	proc	3	X-g	2. PENDING: X-g SAM AuthData stored package that fails verification + trigger	2. <DUT-side trigger for SAM AuthData stored package that fails verification provided by RD (X-g)>	trigger	2. <DUT-side trigger for SAM AuthData stored package that fails verification provided by RD (X-g)> ⏎ $ <command provided by RD (X-g)>
SAM	NR1L-SAM-018	er	2	X-g	2. PENDING: X-g SAM AuthData stored package that fails verification + trigger	2. <observable outcome provided by RD (X-g)>	outcome	2. <observable outcome provided by RD (X-g)>
SAM	NR1L-SAM-024	proc	1	X-n	1. PENDING: X-n suspend/resume trigger method	1. <suspend/resume trigger method provided by RD (X-n)> is executed	exec	1. <suspend/resume trigger method provided by RD (X-n)> is executed ⏎ $ <command provided by RD (X-n)>
SAM	NR1L-SAM-024	er	1	X-n	1. PENDING: X-n suspend/resume trigger method	1. <suspend/resume trigger method provided by RD (X-n)>	value	1. <suspend/resume trigger method provided by RD (X-n)>
SAM	NR1L-SAM-025	proc	1	X-n	1. PENDING: X-n suspend/resume trigger method	1. <suspend/resume trigger method provided by RD (X-n)> is executed	exec	1. <suspend/resume trigger method provided by RD (X-n)> is executed ⏎ $ <command provided by RD (X-n)>
SAM	NR1L-SAM-025	er	1	X-n	1. PENDING: X-n suspend/resume trigger method	1. <suspend/resume trigger method provided by RD (X-n)>	value	1. <suspend/resume trigger method provided by RD (X-n)>
SAM	NR1L-SAM-026	proc	1	X-g	1. PENDING: X-g SAM AuthData package that passes verification + trigger	1. <DUT-side trigger for SAM AuthData package that passes verification provided by RD (X-g)>	trigger	1. <DUT-side trigger for SAM AuthData package that passes verification provided by RD (X-g)> ⏎ $ <command provided by RD (X-g)>
SAM	NR1L-SAM-026	er	1	X-g	1. PENDING: X-g SAM AuthData package that passes verification + trigger	1. <observable outcome provided by RD (X-g)>	outcome	1. <observable outcome provided by RD (X-g)>
SAM	NR1L-SAM-027	proc	5	X-g	3. PENDING: X-g SAM AuthData status change + trigger	3. <DUT-side trigger for SAM AuthData status change provided by RD (X-g)>	trigger	3. <DUT-side trigger for SAM AuthData status change provided by RD (X-g)> ⏎ $ <command provided by RD (X-g)>
SAM	NR1L-SAM-027	er	3	X-g	3. PENDING: X-g SAM AuthData status change + trigger	3. <observable outcome provided by RD (X-g)>	outcome	3. <observable outcome provided by RD (X-g)>
SAM	NR1L-SAM-028	proc	1	X-g	1. PENDING: X-g SAM AuthData target function connection + trigger	1. <DUT-side trigger for SAM AuthData target function connection provided by RD (X-g)>	trigger	1. <DUT-side trigger for SAM AuthData target function connection provided by RD (X-g)> ⏎ $ <command provided by RD (X-g)>
SAM	NR1L-SAM-028	er	1	X-g	1. PENDING: X-g SAM AuthData target function connection + trigger	1. <observable outcome provided by RD (X-g)>	outcome	1. <observable outcome provided by RD (X-g)>
SAM	NR1L-SAM-029	proc	1	X-g	1. PENDING: X-g SAM AuthData target function connection + trigger	1. <DUT-side trigger for SAM AuthData target function connection provided by RD (X-g)>	trigger	1. <DUT-side trigger for SAM AuthData target function connection provided by RD (X-g)> ⏎ $ <command provided by RD (X-g)>
SAM	NR1L-SAM-029	er	1	X-g	1. PENDING: X-g SAM AuthData target function connection + trigger	1. <observable outcome provided by RD (X-g)>	outcome	1. <observable outcome provided by RD (X-g)>
ECUCert	NR1L-ECUC-001	proc	3	X-d	2. PENDING: X-d ECU certificate chain for the DUT serial number + trigger	2. <DUT-side trigger for ECU certificate chain for the DUT serial number provided by STLA (X-d)>	trigger	2. <DUT-side trigger for ECU certificate chain for the DUT serial number provided by STLA (X-d)> ⏎ $ <command provided by STLA (X-d)>
ECUCert	NR1L-ECUC-001	er	2	X-d	2. PENDING: X-d ECU certificate chain for the DUT serial number + trigger	2. <observable outcome provided by STLA (X-d)>	outcome	2. <observable outcome provided by STLA (X-d)>
ECUCert	NR1L-ECUC-013	proc	3	X-d	2. PENDING: X-d ECU certificate chain for the DUT serial number + trigger	2. <DUT-side trigger for ECU certificate chain for the DUT serial number provided by STLA (X-d)>	trigger	2. <DUT-side trigger for ECU certificate chain for the DUT serial number provided by STLA (X-d)> ⏎ $ <command provided by STLA (X-d)>
ECUCert	NR1L-ECUC-013	er	2	X-d	2. PENDING: X-d ECU certificate chain for the DUT serial number + trigger	2. <observable outcome provided by STLA (X-d)>	outcome	2. <observable outcome provided by STLA (X-d)>
ECUCert	NR1L-ECUC-014	proc	1	X-k	1. PENDING: X-k Dealer App access to the DUT	1. <Dealer App access to the DUT provided by RD (X-k)> is executed	exec	1. <Dealer App access to the DUT provided by RD (X-k)> is executed ⏎ $ <command provided by RD (X-k)>
ECUCert	NR1L-ECUC-014	er	1	X-k	1. PENDING: X-k Dealer App access to the DUT	1. <Dealer App access to the DUT provided by RD (X-k)>	value	1. <Dealer App access to the DUT provided by RD (X-k)>
ECUCert	NR1L-ECUC-015	proc	1	X-k	1. PENDING: X-k Dealer App access to the DUT	1. <Dealer App access to the DUT provided by RD (X-k)> is executed	exec	1. <Dealer App access to the DUT provided by RD (X-k)> is executed ⏎ $ <command provided by RD (X-k)>
ECUCert	NR1L-ECUC-015	er	1	X-k	1. PENDING: X-k Dealer App access to the DUT	1. <Dealer App access to the DUT provided by RD (X-k)>	value	1. <Dealer App access to the DUT provided by RD (X-k)>
ECUCert	NR1L-ECUC-021	proc	1	X-k	1. PENDING: X-k Dealer App access to the DUT	1. <Dealer App access to the DUT provided by RD (X-k)> is executed	exec	1. <Dealer App access to the DUT provided by RD (X-k)> is executed ⏎ $ <command provided by RD (X-k)>
ECUCert	NR1L-ECUC-021	er	1	X-k	1. PENDING: X-k Dealer App access to the DUT	1. <Dealer App access to the DUT provided by RD (X-k)>	value	1. <Dealer App access to the DUT provided by RD (X-k)>
ECUCert	NR1L-ECUC-023	er	1	X-d	1. PENDING: X-d ECU certificate chain for the DUT serial number + trigger	1. <observable outcome provided by STLA (X-d)>	outcome	1. <observable outcome provided by STLA (X-d)>
SwdlSecureLib	NR1L-SWDL-004	proc	1	X-l	1. PENDING: X-l SWDL decryption test entry point	1. <SWDL decryption test entry point provided by RD (X-l)> is executed	exec	1. <SWDL decryption test entry point provided by RD (X-l)> is executed ⏎ $ <command provided by RD (X-l)>
SwdlSecureLib	NR1L-SWDL-004	er	1	X-l	1. PENDING: X-l SWDL decryption test entry point	1. <SWDL decryption test entry point provided by RD (X-l)>	value	1. <SWDL decryption test entry point provided by RD (X-l)>
SwdlSecureLib	NR1L-SWDL-005	proc	1	X-l	1. PENDING: X-l SWDL decryption test entry point	1. <SWDL decryption test entry point provided by RD (X-l)> is executed	exec	1. <SWDL decryption test entry point provided by RD (X-l)> is executed ⏎ $ <command provided by RD (X-l)>
SwdlSecureLib	NR1L-SWDL-005	er	1	X-l	1. PENDING: X-l SWDL decryption test entry point	1. <SWDL decryption test entry point provided by RD (X-l)>	value	1. <SWDL decryption test entry point provided by RD (X-l)>
SwdlSecureLib	NR1L-SWDL-006	proc	1	X-l	1. PENDING: X-l SWDL decryption test entry point	1. <SWDL decryption test entry point provided by RD (X-l)> is executed	exec	1. <SWDL decryption test entry point provided by RD (X-l)> is executed ⏎ $ <command provided by RD (X-l)>
SwdlSecureLib	NR1L-SWDL-006	er	1	X-l	1. PENDING: X-l SWDL decryption test entry point	1. <SWDL decryption test entry point provided by RD (X-l)>	value	1. <SWDL decryption test entry point provided by RD (X-l)>
SwdlSecureLib	NR1L-SWDL-007	proc	1	X-l	1. PENDING: X-l SWDL verification test entry point	1. <SWDL verification test entry point provided by RD (X-l)> is executed	exec	1. <SWDL verification test entry point provided by RD (X-l)> is executed ⏎ $ <command provided by RD (X-l)>
SwdlSecureLib	NR1L-SWDL-007	er	1	X-l	1. PENDING: X-l SWDL verification test entry point	1. <SWDL verification test entry point provided by RD (X-l)>	value	1. <SWDL verification test entry point provided by RD (X-l)>
libLogEncrypt	NR1L-LOGENC-009	proc	5	X-m	3. PENDING: X-m two log snapshots taken in separate iterations + comparison	3. <two log snapshots taken in separate iterations + comparison provided by RD (X-m)> is executed	exec	3. <two log snapshots taken in separate iterations + comparison provided by RD (X-m)> is executed ⏎ $ <command provided by RD (X-m)>
