old_tc_id	new_tc_id	changed_cols	reason
newR1L-SU-005		nav	X-nav
newR1L-SU-008		nav	X-nav
newR1L-SU-010		nav	X-nav
newR1L-SU-013		nav	X-nav
newR1L-SU-014		nav	X-nav
newR1L-SU-016		nav	X-nav
newR1L-SU-018		nav	X-nav
newR1L-SU-019		nav	X-nav
newR1L-SU-021		nav	X-nav
newR1L-SU-022		nav	X-nav
newR1L-SU-023		nav	X-nav
newR1L-SU-024		nav	X-nav
newR1L-SU-025		nav	X-nav
newR1L-SU-026		nav	X-nav
newR1L-SU-027		nav	X-nav
newR1L-SU-028		nav	X-nav
newR1L-SU-029		nav	X-nav
newR1L-SU-030		nav	X-nav
newR1L-SU-031		nav	X-nav
newR1L-SU-032		nav	X-nav
newR1L-SU-033		nav	X-nav
newR1L-SU-034		nav	X-nav
newR1L-SU-035		nav	X-nav
newR1L-SU-036		nav	X-nav
newR1L-SU-037		nav	X-nav
newR1L-SU-038		nav	X-nav
newR1L-SU-039		nav	X-nav
newR1L-SU-040		nav	X-nav
newR1L-SU-042		nav	X-nav
newR1L-SU-043		nav	X-nav
newR1L-SU-044		nav	X-nav
newR1L-SU-045		nav	X-nav
newR1L-SU-047		nav	X-nav
newR1L-SU-048		nav	X-nav
newR1L-SU-049		nav	X-nav
newR1L-SU-051		nav	X-nav
newR1L-SU-052		nav	X-nav
newR1L-SU-053		nav	X-nav
newR1L-SU-056		nav	X-nav
newR1L-SU-062		nav	X-nav
newR1L-SU-067		nav	X-nav
newR1L-SU-068		nav	X-nav
newR1L-SU-069		nav	X-nav
newR1L-SU-070		nav	X-nav
newR1L-SU-071		nav	X-nav
newR1L-SU-073		nav	X-nav
newR1L-SU-077		nav	X-nav
newR1L-SU-079		nav	X-nav
newR1L-SU-081		nav	X-nav
newR1L-SU-082		nav	X-nav
newR1L-SU-083		nav	X-nav
newR1L-SU-084		nav	X-nav
newR1L-SU-085		nav	X-nav
newR1L-SU-086		nav	X-nav
newR1L-SU-087		nav	X-nav
newR1L-SU-088		nav	X-nav
newR1L-SU-090		nav	X-nav
newR1L-SU-092		nav	X-nav
newR1L-SU-094		nav	X-nav
newR1L-SU-098		nav	X-nav
newR1L-SU-099		nav	X-nav
newR1L-SU-100		nav	X-nav
newR1L-SU-101		nav	X-nav
newR1L-SU-102		nav	X-nav
newR1L-SU-103		nav	X-nav
newR1L-SU-104		nav	X-nav
newR1L-SU-105		nav	X-nav
newR1L-SU-106		nav	X-nav
newR1L-SU-107		nav	X-nav
newR1L-SU-110		nav	X-nav
newR1L-SU-111		nav	X-nav
newR1L-SU-112		nav	X-nav
newR1L-SU-115		nav	X-nav
newR1L-SU-116		nav	X-nav
newR1L-SU-117		nav	X-nav
newR1L-SU-118		nav	X-nav
newR1L-SU-119		nav	X-nav
newR1L-SU-120		nav	X-nav
newR1L-SU-121		nav	X-nav
newR1L-SU-122		nav	X-nav
newR1L-SU-123		nav	X-nav
newR1L-SU-125		nav	X-nav
newR1L-SU-129		nav	X-nav
newR1L-SU-139		nav	X-nav
newR1L-SU-140		nav	X-nav
newR1L-SU-141		nav	X-nav
newR1L-SU-142		nav	X-nav
newR1L-SU-144		nav	X-nav
newR1L-SU-145		nav	X-nav
newR1L-SU-146		nav	X-nav
newR1L-SU-148		nav	X-nav
newR1L-SU-150		nav	X-nav
newR1L-SU-151		nav	X-nav
newR1L-SU-157		nav	X-nav
newR1L-SU-166		nav	X-nav
newR1L-SU-170		nav	X-nav
newR1L-SU-171		nav	X-nav
newR1L-SU-172		nav	X-nav
newR1L-SU-175		nav	X-nav
newR1L-SU-176		nav	X-nav
newR1L-SU-177		nav	X-nav
newR1L-SU-178		nav	X-nav
newR1L-SU-179		nav	X-nav
newR1L-SU-180		10,12,13	P-v3→v4:bare
newR1L-SU-182		nav	X-nav
newR1L-SU-183		nav	X-nav
newR1L-SU-188		nav	X-nav
newR1L-SU-191		nav	X-nav
newR1L-SU-194		nav	X-nav
newR1L-SU-195		nav	X-nav
newR1L-SU-198		nav	X-nav
newR1L-SU-256		nav	X-nav
newR1L-SU-258		nav	X-nav
newR1L-SU-259		nav	X-nav
newR1L-SU-261		nav	X-nav
newR1L-SU-267		nav	X-nav
newR1L-SU-274		nav	X-nav
newR1L-SU-275		nav	X-nav
newR1L-SU-282		nav	X-nav
newR1L-SU-291		nav	X-nav
newR1L-SU-296		nav	X-nav
newR1L-SU-298		nav	X-nav
