row	tc_id_master	D_master	D_delivered	tier	similarity
10	NR1L-SWUpdate-001	SWE1-FOTA-065	SWE1-FOTA-003	sim<0.6	0.559
11	NR1L-SWUpdate-002	SWE1-FOTA-066	SWE1-FOTA-004	sim<0.6	0.465
12	NR1L-SWUpdate-003	SWE1-FOTA-067	SWE1-FOTA-005	sim<0.6	0.497
13	NR1L-SWUpdate-004	SWE1-FOTA-068	SWE1-FOTA-006	sim>=0.6	0.657
14	NR1L-SWUpdate-005	SWE1-FOTA-069	SWE1-FOTA-007	sim<0.6	0.574
15	NR1L-SWUpdate-006	SWE1-FOTA-070	SWE1-FOTA-008	sim<0.6	0.421
16	NR1L-SWUpdate-007	SWE1-FOTA-071	SWE1-FOTA-010	sim<0.6	0.466
17	NR1L-SWUpdate-008	SWE1-FOTA-072	SWE1-FOTA-011	prefix80	0.515
18	NR1L-SWUpdate-009	SWE1-FOTA-073	SWE1-FOTA-012	sim<0.6	0.332
19	NR1L-SWUpdate-010	SWE1-FOTA-074	SWE1-FOTA-013	sim<0.6	0.372
20	NR1L-SWUpdate-011	SWE1-FOTA-075	SWE1-FOTA-014	sim<0.6	0.43
21	NR1L-SWUpdate-012	SWE1-FOTA-076	SWE1-FOTA-015	sim<0.6	0.328
22	NR1L-SWUpdate-013	SWE1-FOTA-077	SWE1-FOTA-019	sim<0.6	0.338
23	NR1L-SWUpdate-014	SWE1-FOTA-078	SWE1-FOTA-025	sim<0.6	0.543
24	NR1L-SWUpdate-015	SWE1-FOTA-079	SWE1-FOTA-026	sim>=0.6	0.603
25	NR1L-SWUpdate-016	SWE1-FOTA-080	SWE1-FOTA-027	prefix80	0.441
26	NR1L-SWUpdate-017	SWE1-FOTA-081	SWE1-FOTA-028	sim<0.6	0.407
27	NR1L-SWUpdate-018	SWE1-FOTA-082	SWE1-FOTA-030	sim<0.6	0.372
28	NR1L-SWUpdate-019	SWE1-FOTA-083	SWE1-FOTA-031	sim<0.6	0.481
29	NR1L-SWUpdate-020	SWE1-FOTA-084	SWE1-FOTA-033	prefix80	0.648
30	NR1L-SWUpdate-021	SWE1-FOTA-085	SWE1-FOTA-034	sim<0.6	0.091
31	NR1L-SWUpdate-022	SWE1-FOTA-086	SWE1-FOTA-035	sim<0.6	0.571
32	NR1L-SWUpdate-023	SWE1-FOTA-087	SWE1-FOTA-036	sim<0.6	0.373
33	NR1L-SWUpdate-024	SWE1-FOTA-088	SWE1-FOTA-037	sim<0.6	0.422
34	NR1L-SWUpdate-025	SWE1-FOTA-089	SWE1-FOTA-039	prefix80	0.682
35	NR1L-SWUpdate-026	SWE1-FOTA-090	SWE1-FOTA-040	sim<0.6	0.533
36	NR1L-SWUpdate-027	SWE1-FOTA-091	SWE1-FOTA-041	sim<0.6	0.192
37	NR1L-SWUpdate-028	SWE1-FOTA-092	SWE1-FOTA-042	sim>=0.6	0.652
38	NR1L-SWUpdate-029	SWE1-FOTA-093	SWE1-FOTA-043	sim<0.6	0.321
39	NR1L-SWUpdate-030	SWE1-FOTA-094	SWE1-FOTA-044	sim<0.6	0.031
40	NR1L-SWUpdate-031	SWE1-FOTA-095	SWE1-FOTA-045	prefix80	0.439
41	NR1L-SWUpdate-032	SWE1-FOTA-096	SWE1-FOTA-047	sim<0.6	0.451
42	NR1L-SWUpdate-033	SWE1-FOTA-097	SWE1-FOTA-048	sim<0.6	0.308
43	NR1L-SWUpdate-034	SWE1-FOTA-098	SWE1-FOTA-049	sim<0.6	0.456
44	NR1L-SWUpdate-035	SWE1-FOTA-099	SWE1-FOTA-050	sim>=0.6	0.675
45	NR1L-SWUpdate-036	SWE1-FOTA-100	SWE1-FOTA-051	sim<0.6	0.296
46	NR1L-SWUpdate-037	SWE1-FOTA-101	SWE1-FOTA-052	sim>=0.6	0.732
47	NR1L-SWUpdate-038	SWE1-FOTA-102	SWE1-FOTA-053	prefix80	0.494
48	NR1L-SWUpdate-039	SWE1-FOTA-103	SWE1-FOTA-054	sim<0.6	0.381
49	NR1L-SWUpdate-040	SWE1-FOTA-104	SWE1-FOTA-056	sim<0.6	0.588
50	NR1L-SWUpdate-041	SWE1-FOTA-105	SWE1-FOTA-057	sim<0.6	0.598
51	NR1L-SWUpdate-042	SWE1-FOTA-106	SWE1-FOTA-059	sim>=0.6	0.697
52	NR1L-SWUpdate-043	SWE1-FOTA-107	SWE1-FOTA-060	sim<0.6	0.449
53	NR1L-SWUpdate-044	SWE1-FOTA-108	SWE1-FOTA-061	sim<0.6	0.491
54	NR1L-SWUpdate-045	SWE1-FOTA-109	SWE1-FOTA-062	sim<0.6	0.372
