leaf	sys_ra	object_id	ee_architecture	is_atl_hi	section
001	SYS-RA-TIME&DATE-021	4813919	Atlantis High	True	1.3.1.1.2 Vehicle Time Master Requirements
001	SYS-RA-TIME&DATE-022	4813920	Atlantis High	True	1.3.1.1.2 Vehicle Time Master Requirements
001	SYS-RA-TIME&DATE-063	4813984	Atlantis High, PowerNet, CUSW	True	1.3.1.1.5.2 Changing Time
001	SYS-RA-TIME&DATE-121	4814069	Atlantis Mid	False	1.5.2.3 Time function setting
002	SYS-RA-TIME&DATE-024	4813922	Atlantis High	True	1.3.1.1.2 Vehicle Time Master Requirements
002	SYS-RA-TIME&DATE-039	4813939	PowerNet, CUSW, Atlantis High	True	1.3.1.1.3 GPS TIME
002	SYS-RA-TIME&DATE-127	4814075	Atlantis Mid	False	1.5.2.3 Time function setting
002	SYS-RA-TIME&DATE-137	4814085	Atlantis Mid	False	1.5.2.4 Automatic Time Adjustment via GPS
002	SYS-RA-TIME&DATE-138	4814087	Atlantis Mid	False	1.5.2.4 Automatic Time Adjustment via GPS
002	SYS-RA-TIME&DATE-224	6151331	(不在 docx —— A-TM13)	False	
003	SYS-RA-TIME&DATE-025	4813923	Atlantis High	True	1.3.1.1.2 Vehicle Time Master Requirements
003	SYS-RA-TIME&DATE-139	4814088	Atlantis Mid	False	1.5.2.4 Automatic Time Adjustment via GPS
003	SYS-RA-TIME&DATE-139	4814089	Atlantis Mid	False	1.5.2.4 Automatic Time Adjustment via GPS
003	SYS-RA-TIME&DATE-145	4814096	Atlantis Mid	False	1.5.2.5 GPS Time and Date
003	SYS-RA-TIME&DATE-145	4814097	Atlantis Mid	False	1.5.2.5 GPS Time and Date
003	SYS-RA-TIME&DATE-145	4814099	Atlantis Mid	False	1.5.2.5 GPS Time and Date
004	SYS-RA-TIME&DATE-042	4813950	Atlantis High, PowerNet, CUSW	True	1.3.1.1.3 GPS TIME
004	SYS-RA-TIME&DATE-048	4813959	Atlantis High, CUSW, PowerNet	True	1.3.1.1.4 Time Information Transmission
004	SYS-RA-TIME&DATE-136	4814084	Atlantis Mid	False	1.5.2.4 Automatic Time Adjustment via GPS
004	SYS-RA-TIME&DATE-147	4814100	Atlantis Mid	False	1.5.2.5 GPS Time and Date
004	SYS-RA-TIME&DATE-147	4814101	Atlantis Mid	False	1.5.2.5 GPS Time and Date
004	SYS-RA-TIME&DATE-147	4814102	Atlantis Mid	False	1.5.2.5 GPS Time and Date
