leaf                       sections                                 #SYS-RA
SWE-RA-TIME&DATE-001       1.3.1.1.2,1.3.1.1.5.2,1.5.2.3                  4
SWE-RA-TIME&DATE-002       1.3.1.1.2,1.3.1.1.3,1.5.2.3,1.5.2.4            6
SWE-RA-TIME&DATE-003       1.3.1.1.2,1.5.2.4,1.5.2.5                      3
SWE-RA-TIME&DATE-004       1.3.1.1.3,1.3.1.1.4,1.5.2.4,1.5.2.5            4
SWE-RA-TIME&DATE-005       1.3.1.1.3                                      2
SWE-RA-TIME&DATE-006       1.3.1,1.3.1.1.2                                3
SWE-RA-TIME&DATE-007       1.3.1.1.2,1.3.1.1.5,1.3.1.1.6.3                4
SWE-RA-TIME&DATE-008       1.3.1.1.2,1.3.1.1.4,1.5.2.1,1.5.2.4            7
SWE-RA-TIME&DATE-009       1.3.1.1.2,1.3.1.1.4,1.3.1.1.6.2                9
SWE-RA-TIME&DATE-010       1.3.1.1.5                                      2
SWE-RA-TIME&DATE-011       1.3.1.1.5.1                                    3
SWE-RA-TIME&DATE-012       1.3.1.1.5.3                                    2
SWE-RA-TIME&DATE-013       1.3.1.1.5.4                                    1
SWE-RA-TIME&DATE-014       1.3.1.1.6.1,1.5.2.5                            3
SWE-RA-TIME&DATE-015       1.3.1.1.6.1,1.3.1.1.6.2,1.5.2.6                6
SWE-RA-TIME&DATE-016       1.3.1.1.6.2                                    2
SWE-RA-TIME&DATE-017       1.3.1.1.6.2,1.5.2,1.5.2.3,1.5.2.4              4
SWE-RA-TIME&DATE-018       1.3.1.1.6.2,1.5.2.6,1.5.2.7                    3
SWE-RA-TIME&DATE-019       1.3.1.1.1,1.5.2.6                              3
SWE-RA-TIME&DATE-020       1.5.2.2,1.5.2.3,1.5.2.4                        4
SWE-RA-TIME&DATE-021       1.5.2.2                                        1
SWE-RA-TIME&DATE-022       1.3.1,1.5.2.1                                  2

sections by leaf-count: {'1.3.1.1.2': 7, '1.5.2.4': 6, '1.3.1.1.6.2': 5, '1.5.2.3': 4, '1.3.1.1.3': 3, '1.5.2.5': 3, '1.3.1.1.4': 3, '1.5.2.6': 3, '1.3.1': 2, '1.3.1.1.5': 2, '1.5.2.1': 2, '1.3.1.1.6.1': 2, '1.5.2.2': 2, '1.3.1.1.5.2': 1, '1.3.1.1.6.3': 1, '1.3.1.1.5.1': 1, '1.3.1.1.5.3': 1, '1.3.1.1.5.4': 1, '1.5.2': 1, '1.5.2.7': 1, '1.3.1.1.1': 1}
