# pending_judgements.tsv — 待判之判定登記（G-A，42 包 §二）
#
# **這張表不是豁免名單。** 每一列都帶 `digest`（該 TC 之 pre_conditions／
# test_procedure／expected_result／remarks／specification_reference／
# design_method 之 sha1 前 12 碼）。**該 TC 一被改動，digest 即不符，
# 它自動回到待判清單**（`audit_pending.py` 之 PJ-2）。
#
# 欄：
#   scan          掃描代號
#   tc_id         條號
#   verdict       成立 / 不成立
#   disposition   judged-closed（已判定並登記）；空白且逾三輪 → G-A 逾期（PJ-3）
#   digest        受檢欄位之摘要，由程式產生**不得手填**
#   carried_at_42 立案於 42 輪時已帶之輪數（記錄用，非判準）
#   reason        **逐條之理由，不得以「同上」帶過**
#
# 42 輪之全量判定：43 條全部判為「不成立」。
# 其意義**不是**「這五支掃描沒有用」，而是「它們縮小之範圍已被讀完一次」——
# 其後之價值全在 digest：**改動即回列**。
# 45 輪：AB-1（ER 與前步紀錄之比對，兩端並排）16 條入表。
# 其中 `148`／`154` 為本輪修正後之形 —— 修正前之判定不適用（digest 已變）。
scan	tc_id	verdict	disposition	digest	carried_at_42	reason
Y-1	NR1L-UserProfiles-121	不成立	judged-closed	af9b72bc9497	7	跨節委派而**已具名被指者之 ER 序號**（`SWE1-HMI-PROF-022` 之 ER3 後半）並附其逐字句 —— 36 輪已據此修正 TC-117，此為修正後之形
W-1	NR1L-UserProfiles-005	不成立	judged-closed	d908427fdf17	10	`No default Profile has been customized or deleted` 是**起始狀態之否定陳述**，本條 ER 斷言的是 6.2.1 之「不必先客製化」，兩者不同
W-1	NR1L-UserProfiles-093	不成立	judged-closed	a976c4e0d4bc	10	`has been customized` 為佈署 —— 使刪除後之重建有意義；本條 ER 斷言的是重建後之 profile 身分，非「被客製化過」
W-1	NR1L-UserProfiles-094	不成立	judged-closed	b4ed6558e8a4	10	同 `093`。**33 輪 W-1 已把刪除動作移入 procedure**，留在 pre-condition 的是客製化，而 ER 斷言的是重建後只有一個
W-1	NR1L-UserProfiles-104	不成立	judged-closed	8e026a5b756a	10	`The Profile button has been removed` 為 4.6.3 之**適用條件本身**（按鈕已被移除時之行為），非 ER 所斷言者
V-1	NR1L-UserProfiles-003	不成立	judged-closed	a21c4b59d2a5	11	`before creating a new one` 在 **PU0584 之 popup 文字**內，是給使用者看的句子，不約束測試步驟之順序
V-1	NR1L-UserProfiles-005	不成立	judged-closed	d908427fdf17	11	`before creating a different new Profile` 陳述的是**不必要性**（不需先客製化），非時序要求
V-1	NR1L-UserProfiles-015	不成立	judged-closed	70bfb0570d8a	11	`before system cancels` 為**次數用盡之後果**（10 次），本條之 procedure 依次數而非時刻推進，順序一致
V-1	NR1L-UserProfiles-035	不成立	judged-closed	b56481157c21	11	`prior to the deleted one` 是**清單位置**（前一個 profile），不是時間 —— 同一個詞之另一種身分
V-1	NR1L-UserProfiles-051	不成立	judged-closed	1bb0093cb72d	11	`at the next key on` 為載入之時點，本條之 procedure 確於下一次 key on 讀取，順序一致
