section_id	outline_number	polarion_id	phys_row	chars
1	1	NRL-145430	2	11
1.1	1.1	NRL-145431	3	125
1.2	1.2	NRL-145432	4	283
1.3	1.3	NRL-145433	5	51
1.4	1.4	NRL-145434	6	49
1.5	1.5	NRL-145435	7	98
1.6	1.6	NRL-145436	8	92
1.7	1.7	NRL-145437	9	95
1.8	1.8	NRL-145438	10	223
1.9	1.9	NRL-145439	11	95
1.10	1.10	NRL-145440	12	89
1.11	1.11	NRL-399545	13	124
2	2	NRL-145441	14	23
2.1	2.1	NRL-145442	15	1568
3	3	NRL-145443	16	26
3.1	3.1	NRL-145444	17	86
3.2	3.2	NRL-145445	18	70
3.3	3.3	NRL-145446	19	81
3.4	3.4	NRL-145447	20	71
3.5	3.5	NRL-145448	21	73
4	4	NRL-145449	22	16
4.1	4.1	NRL-145450	23	190
4.1.1	4.1.1	NRL-145451	24	518
4.2	4.2	NRL-145452	25	191
4.3	4.3	NRL-145453	26	261
4.3.1	4.3.1	NRL-145454	27	126
4.4	4.4	NRL-145455	28	179
4.5	4.5	NRL-145456	29	464
4.5.1	4.5.1	NRL-145457	30	329
4.5.2	4.5.2	NRL-145458	31	147
4.5.3	4.5.3	NRL-145459	32	515
4.5.3.1	4.5.3.1	NRL-145460	33	163
4.5.4	4.5.4	NRL-145461	34	161
4.6	4.6	NRL-145462	35	294
4.6.1	4.6.1	NRL-145463	36	263
4.6.2	4.6.2	NRL-145464	37	97
4.6.3	4.6.3	NRL-145465	38	206
4.7	4.7	NRL-145466	39	182
5	5	NRL-145467	40	16
5.1	5.1	NRL-145468	41	489
5.1.1	5.1.1	NRL-145469	42	231
5.1.2	5.1.2	NRL-145470	43	399
5.2	5.2	NRL-145471	44	499
5.3	5.3	NRL-145472	45	188
5.3.1	5.3.1	NRL-145473	46	249
5.3.2	5.3.2	NRL-145474	47	192
5.3.3	5.3.3	NRL-145475	48	89
5.4	5.4	NRL-145476	49	275
5.5	5.5	NRL-145477	50	583
5.6	5.6	NRL-145478	51	304
5.6.1	5.6.1	NRL-145479	52	209
5.7	5.7	NRL-145480	53	213
5.8	5.8	NRL-145481	54	207
5.9	5.9	NRL-145482	55	217
5.10	5.10	NRL-145483	56	197
5.10.1	5.10.1	NRL-145484	57	728
5.11	5.11	NRL-145485	58	353
5.12	5.12	NRL-145486	59	151
5.12.1	5.12.1	NRL-145487	60	129
5.12.2	5.12.2	NRL-145488	61	89
5.13	5.13	NRL-145489	62	109
5.13.1	5.13.1	NRL-145490	63	100
5.13.2	5.13.2	NRL-145491	64	596
5.14	5.14	NRL-145492	65	162
5.15	5.15	NRL-145493	66	145
5.15.1	5.15.1	NRL-145494	67	146
5.16	5.16	NRL-145495	68	195
6	6	NRL-145496	69	37
6.1	6.1	NRL-145497	70	281
6.2	6.2	NRL-145498	71	264
6.2.1	6.2.1	NRL-145499	72	214
6.3	6.3	NRL-145500	73	242
6.3.1	6.3.1	NRL-145501	74	351
6.3.2	6.3.2	NRL-145502	75	159
6.4	6.4	NRL-145503	76	165
6.4.1	6.4.1	NRL-145504	77	153
6.5	6.5	NRL-145505	78	100
6.6	6.6	NRL-145506	79	121
7	7	NRL-145507	80	31
7.1	7.1	NRL-145508	81	158
7.1.1	7.1.1	NRL-145509	82	223
7.2	7.2	NRL-145510	83	195
7.2.1	7.2.1	NRL-145511	84	411
7.2.2	7.2.2	NRL-145512	85	210
7.3	7.3	NRL-145513	86	242
7.4	7.4	NRL-145514	87	225
7.4.1	7.4.1	NRL-145515	88	80
7.5	7.5	NRL-145516	89	209
8	8	NRL-145517	90	17
8.1	8.1	NRL-145518	91	280
8.2	8.2	NRL-145519	92	194
8.3	8.3	NRL-145520	93	112
8.3.1	8.3.1	NRL-145521	94	240
8.4	8.4	NRL-145522	95	352
8.4.1	8.4.1	NRL-145523	96	88
8.5	8.5	NRL-145524	97	68
8.6	8.6	NRL-145525	98	90
8.7	8.7	NRL-145526	99	343
8.7.1	8.7.1	NRL-145527	100	227
8.7.2	8.7.2	NRL-145528	101	82
8.8	8.8	NRL-145529	102	360
8.8.1	8.8.1	NRL-145530	103	138
8.8.2	8.8.2	NRL-145531	104	255
8.9	8.9	NRL-145532	105	271
8.10	8.10	NRL-145533	106	138
8.10.1	8.10.1	NRL-145534	107	160
8.10.2	8.10.2	NRL-145535	108	95
8.11	8.11	NRL-145536	109	245
8.12	8.12	NRL-145537	110	192
9	9	NRL-145538	111	17
9.1	9.1	NRL-145539	112	419
9.1.1	9.1.1	NRL-145540	113	193
9.1.2	9.1.2	NRL-145541	114	90
9.2	9.2	NRL-145542	115	252
9.3	9.3	NRL-145543	116	230
9.3.1	9.3.1	NRL-145544	117	172
9.3.2	9.3.2	NRL-145545	118	186
9.4	9.4	NRL-145546	119	189
9.4.1	9.4.1	NRL-145547	120	137
9.4.2	9.4.2	NRL-145548	121	67
9.5	9.5	NRL-145549	122	145
