req_id	section	test_set
SWE1-HMI-VC-001-01	2.2	Category Structure
SWE1-HMI-VC-001-02	2.2	Category Structure
SWE1-HMI-VC-001-03	2.2	Category Structure
SWE1-HMI-VC-002	2.3	Category Structure
SWE1-HMI-VC-003	2.3.1	Category Structure
SWE1-HMI-VC-004	2.3.2	Category Structure
SWE1-HMI-VC-005	2.3.3	Category Structure
SWE1-HMI-VC-006	2.3.4	Category Structure
SWE1-HMI-VC-007-01	2.4	Category Structure
SWE1-HMI-VC-007-02	2.4	Category Structure
SWE1-HMI-VC-007-03	2.4	Category Structure
SWE1-HMI-VC-007-04	2.4	Category Structure
SWE1-HMI-VC-007-05	2.4	Category Structure
SWE1-HMI-VC-008	2.5	Category Structure
SWE1-HMI-VC-009	2.5.1	Category Structure
SWE1-HMI-VC-010	2.6	Category Structure
SWE1-HMI-VC-011	2.6.1	Category Structure
SWE1-HMI-VC-012-01	2.6.2	Category Structure
SWE1-HMI-VC-012-02	2.6.2	Category Structure
SWE1-HMI-VC-012-03	2.6.2	Category Structure
SWE1-HMI-VC-013-01	2.6.3	Category Structure
SWE1-HMI-VC-013-02	2.6.3	Category Structure
SWE1-HMI-VC-013-03	2.6.3	Category Structure
SWE1-HMI-VC-013-04	2.6.3	Category Structure
SWE1-HMI-VC-014	3.1	Controls
SWE1-HMI-VC-015	3.1.1	Controls
SWE1-HMI-VC-016	3.1.2	Controls
SWE1-HMI-VC-017	3.2	Controls
SWE1-HMI-VC-018	3.3	Controls
SWE1-HMI-VC-019-01	3.4	Controls
SWE1-HMI-VC-019-02	3.4	Controls
SWE1-HMI-VC-020	3.5	Controls
SWE1-HMI-VC-021	3.6	Controls
SWE1-HMI-VC-022	3.7	Controls
SWE1-HMI-VC-023	3.8	Controls
SWE1-HMI-VC-024	3.8.1	Controls
SWE1-HMI-VC-025-01	3.9	Controls
SWE1-HMI-VC-025-02	3.9	Controls
SWE1-HMI-VC-025-03	3.9	Controls
SWE1-HMI-VC-025-04	3.9	Controls
SWE1-HMI-VC-025-05	3.9	Controls
SWE1-HMI-VC-026-01	4.1	Glove Box
SWE1-HMI-VC-026-02	4.1	Glove Box
SWE1-HMI-VC-026-03	4.1	Glove Box
SWE1-HMI-VC-027	4.2	Glove Box
SWE1-HMI-VC-028-01	5.1	Glove Box
SWE1-HMI-VC-028-02	5.1	Glove Box
SWE1-HMI-VC-029	5.2	Glove Box
SWE1-HMI-VC-030	6.1	Glove Box
SWE1-HMI-VC-031	6.2	Glove Box
SWE1-HMI-VC-032	6.3	Glove Box
SWE1-HMI-VC-033-01	7.1	Glove Box
SWE1-HMI-VC-033-02	7.1	Glove Box
SWE1-HMI-VC-034-01	11.1	Settings Behavior
SWE1-HMI-VC-034-02	11.1	Settings Behavior
SWE1-HMI-VC-035-01	11.2	Settings Behavior
SWE1-HMI-VC-035-02	11.2	Settings Behavior
SWE1-HMI-VC-035-03	11.2	Settings Behavior
SWE1-HMI-VC-036-01	11.3	Settings Behavior
SWE1-HMI-VC-036-02	11.3	Settings Behavior
SWE1-HMI-VC-037-01	11.4	Settings Behavior
SWE1-HMI-VC-037-02	11.4	Settings Behavior
SWE1-HMI-VC-038-01	11.5	Settings Behavior
SWE1-HMI-VC-038-02	11.5	Settings Behavior
SWE1-HMI-VC-038-03	11.5	Settings Behavior
SWE1-HMI-VC-038-04	11.5	Settings Behavior
SWE1-HMI-VC-038-05	11.5	Settings Behavior
SWE1-HMI-VC-039	11.6	Settings Behavior
SWE1-HMI-VC-040	11.7	Settings List
SWE1-HMI-VC-041	11.7.1	Settings List
SWE1-HMI-VC-042-01	11.8	Settings List
SWE1-HMI-VC-042-02	11.8	Settings List
SWE1-HMI-VC-043	11.8.1	Settings List
SWE1-HMI-VC-044	12.1	Settings List
SWE1-HMI-VC-045	12.2	Settings List
SWE1-HMI-VC-046-01	12.3	Settings List
SWE1-HMI-VC-046-02	12.3	Settings List
SWE1-HMI-VC-046-03	12.3	Settings List
SWE1-HMI-VC-046-04	12.3	Settings List
SWE1-HMI-VC-046-05	12.3	Settings List
SWE1-HMI-VC-047-01	12.3.1	Settings List
SWE1-HMI-VC-047-02	12.3.1	Settings List
SWE1-HMI-VC-047-03	12.3.1	Settings List
SWE1-HMI-VC-047-04	12.3.1	Settings List
SWE1-HMI-VC-048-01	12.3.2	Settings List
SWE1-HMI-VC-048-02	12.3.2	Settings List
SWE1-HMI-VC-049	12.3.3	Settings List
SWE1-HMI-VC-050	12.4	Settings List
SWE1-HMI-VC-051-01	12.5	Settings List
SWE1-HMI-VC-051-02	12.5	Settings List
SWE1-HMI-VC-051-03	12.5	Settings List
SWE1-HMI-VC-052-01	12.6	Settings List
SWE1-HMI-VC-052-02	12.6	Settings List
SWE1-HMI-VC-053	12.7	Settings List
SWE1-HMI-VC-054	12.7.1	Settings List
SWE1-HMI-VC-055	12.7.2	Settings List
SWE1-HMI-VC-056-01	12.8	Settings List
SWE1-HMI-VC-056-02	12.8	Settings List
SWE1-HMI-VC-057	13.1	Ignition Availability
SWE1-HMI-VC-058-01	13.1.1	Ignition Availability
SWE1-HMI-VC-058-02	13.1.1	Ignition Availability
SWE1-HMI-VC-058-03	13.1.1	Ignition Availability
SWE1-HMI-VC-059-01	13.2	Ignition Availability
SWE1-HMI-VC-059-02	13.2	Ignition Availability
SWE1-HMI-VC-060-01	13.3	Ignition Availability
SWE1-HMI-VC-060-02	13.3	Ignition Availability
SWE1-HMI-VC-061	13.4	Ignition Availability
SWE1-HMI-VC-062-01	13.4.1	Ignition Availability
SWE1-HMI-VC-062-02	13.4.1	Ignition Availability
SWE1-HMI-VC-063-01	13.4.2	Ignition Availability
SWE1-HMI-VC-063-02	13.4.2	Ignition Availability
SWE1-HMI-VC-064-01	13.5	Ignition Availability
SWE1-HMI-VC-064-02	13.5	Ignition Availability
