kind	target	bare_section	n_files	n_mentions	files
ruling	R-VC3	yes	9	26	ANOMALIES.md; DATA_REQUESTS.md; DECISIONS.md; RULINGS.md; data/tableB_draft.md; docs/REVISIONS.md; docs/TABLE_A_frop_crossdomain.md; docs/runtime/profiles/FW036_R1L_VehicleCategory_Profile.md; framework.md
dr	DR-VC3	yes	7	38	ANOMALIES.md; DATA_REQUESTS.md; DECISIONS.md; RULINGS.md; data/tableB_draft.md; docs/TABLE_A_frop_crossdomain.md; framework.md
ruling	R-VC12	yes	7	35	ANOMALIES.md; DATA_REQUESTS.md; RULINGS.md; data/tableB_draft.md; docs/REVISIONS.md; docs/runtime/profiles/FW036_R1L_VehicleCategory_Profile.md; framework.md
ruling	R-VC16	yes	7	21	DECISIONS.md; RULINGS.md; data/tableB_draft.md; docs/REVISIONS.md; docs/TABLE_A_frop_crossdomain.md; docs/runtime/profiles/FW036_R1L_VehicleCategory_Profile.md; framework.md
dr	DR-VC6	yes	6	10	ANOMALIES.md; DATA_REQUESTS.md; RULINGS.md; data/tableB_draft.md; docs/REVISIONS.md; docs/runtime/profiles/FW036_R1L_VehicleCategory_Profile.md
ruling	R-VC11	yes	6	21	ANOMALIES.md; DATA_REQUESTS.md; DECISIONS.md; RULINGS.md; docs/REVISIONS.md; docs/runtime/profiles/FW036_R1L_VehicleCategory_Profile.md
ruling	R-VC15	yes	6	21	ANOMALIES.md; RULINGS.md; docs/REVISIONS.md; docs/TABLE_A_frop_crossdomain.md; docs/runtime/profiles/FW036_R1L_VehicleCategory_Profile.md; framework.md
section	15	yes	6	22	ANOMALIES.md; DATA_REQUESTS.md; RULINGS.md; data/tableB_draft.md; docs/REVISIONS.md; framework.md
anomaly	A-VC9	yes	5	9	ANOMALIES.md; DATA_REQUESTS.md; DECISIONS.md; RULINGS.md; docs/REVISIONS.md
dr	DR-VC8	yes	5	15	ANOMALIES.md; DATA_REQUESTS.md; DECISIONS.md; RULINGS.md; docs/REVISIONS.md
dr	DR-VC9	yes	5	16	ANOMALIES.md; DATA_REQUESTS.md; DECISIONS.md; RULINGS.md; docs/runtime/profiles/FW036_R1L_VehicleCategory_Profile.md
revision	REV-11	yes	5	13	DECISIONS.md; RULINGS.md; docs/REVISIONS.md; docs/TABLE_A_frop_crossdomain.md; framework.md
