kind	target	owner	file	line	text
anomaly	A-VC1		RULINGS.md	157	R-VC6（037 分析九欄為有效上游輸入；A-VC1 撤銷）
anomaly	A-VC1		RULINGS.md	169	未經全表掃描之全稱斷言，**作廢**。據其所立之 A-VC1 一併**撤銷**，
anomaly	A-VC1		RULINGS.md	181	(d) 「讀取時 strip 含 `\xa0`」之技術手段**保留**（A-VC1 之正確部分）。
anomaly	A-VC1		ANOMALIES.md	10	| A-VC1 | 037 第 10–18 欄全為 `\xa0` | **撤銷（R-VC6）** | — |
anomaly	A-VC1		ANOMALIES.md	14	| A-VC5 | 下放包 01 §3.3 與 repo 037 複本不一致（A-VC1 之成因）| **RESOLVED（包 02 §一）** | — |
anomaly	A-VC1		ANOMALIES.md	30	## A-VC1 —— 037 第 10–18 欄之 `\xa0` —— **撤銷（R-VC6，Pei 2026-08-25）**
anomaly	A-VC1		ANOMALIES.md	35	> 全稱斷言**，作廢；據其所立之 A-VC1 一併撤銷。
anomaly	A-VC1		ANOMALIES.md	73	(a) A-VC1 之條文以其前提為據（「無內容」），該前提在 repo 複本上不成立，
anomaly	A-VC1		ANOMALIES.md	81	(a) 採：A-VC1 撤銷，不得沿用或引述。
anomaly	A-VC1		ANOMALIES.md	165	repo 內複本之同九欄於 117 個 leaf 皆有實質內容（見 A-VC1 之重測表）。
anomaly	A-VC1		ANOMALIES.md	184	實測結果為準，A-VC1 條文重裁（見該項 (a)）。
anomaly	A-VC1		ANOMALIES.md	215	且據該漏記立 A-VC1 指示「不視為已填」。若未經 T4 攔下，後果為 Phase 6 之
anomaly	A-VC1		docs/REVISIONS.md	18	- **連帶**：A-VC1 撤銷。九欄改為**有效上游輸入**，並生 R-VC6(a)–(d) 四項拘束。
anomaly	A-VC10		RULINGS.md	881	而為本 TC 驗證標的之條件，A-VC10 第一面）；
anomaly	A-VC10		RULINGS.md	893	本條不改 A-VC10 之「二欄皆為正式欄位」 —— Title 仍為合法來源，
anomaly	A-VC10		ANOMALIES.md	19	| A-VC10 | 037 Title 之資訊量大於 Description | PENDING | 併 DR-VC7（同批 A）|
