req_id	outline	polarion_id	spec_reference	title
SWE1-HMI-VC-001	2.2	NRL-171043	SYS1_HMI_Vehicle_Category_HMI_Logic_and_Flow_R1_SR24_Post_2A_(December_27_2023)_2.2	VC1.) The Vehicle Category will contain the Controls and Settings tabs. On first
SWE1-HMI-VC-001-01	2.2	NRL-171043	SYS1_HMI_Vehicle_Category_HMI_Logic_and_Flow_R1_SR24_Post_2A_(December_27_2023)_2.2	VC1.) The Vehicle Category will contain the Controls and Settings tabs. On first
SWE1-HMI-VC-001-02	2.2	NRL-171043	SYS1_HMI_Vehicle_Category_HMI_Logic_and_Flow_R1_SR24_Post_2A_(December_27_2023)_2.2	VC1.) The Vehicle Category will contain the Controls and Settings tabs. On first
SWE1-HMI-VC-001-03	2.2	NRL-171043	SYS1_HMI_Vehicle_Category_HMI_Logic_and_Flow_R1_SR24_Post_2A_(December_27_2023)_2.2	VC1.) The Vehicle Category will contain the Controls and Settings tabs. On first
SWE1-HMI-VC-002	2.3	NRL-171044	SYS1_HMI_Vehicle_Category_HMI_Logic_and_Flow_R1_SR24_Post_2A_(December_27_2023)_2.3	VC2.) If the vehicle is equipped with Specialty features, they will appear as ta
SWE1-HMI-VC-003	2.3.1	NRL-171045	SYS1_HMI_Vehicle_Category_HMI_Logic_and_Flow_R1_SR24_Post_2A_(December_27_2023)_2.3.1	VC2.0.1.) The priority order for the tabs will be: 1) My Car, 2) Cameras, 3) Oth
SWE1-HMI-VC-004	2.3.2	NRL-171046	SYS1_HMI_Vehicle_Category_HMI_Logic_and_Flow_R1_SR24_Post_2A_(December_27_2023)_2.3.2	VC2.0.2.) The tab name for the Controls tab is Controls.
SWE1-HMI-VC-005	2.3.3	NRL-171047	SYS1_HMI_Vehicle_Category_HMI_Logic_and_Flow_R1_SR24_Post_2A_(December_27_2023)_2.3.3	VC2.0.3.) The tab name for the Vehicle Settings is Settings.
SWE1-HMI-VC-006	2.3.4	NRL-171048	SYS1_HMI_Vehicle_Category_HMI_Logic_and_Flow_R1_SR24_Post_2A_(December_27_2023)_2.3.4	VC2.1.) The specialty features include, but are not limited to: Off Road, PHEV, 
SWE1-HMI-VC-007	2.4	NRL-171049	SYS1_HMI_Vehicle_Category_HMI_Logic_and_Flow_R1_SR24_Post_2A_(December_27_2023)_2.4	VC2.2.) Vehicle Tab Labels and Order Note | Specialty Feature | Tab Name | Order
SWE1-HMI-VC-007-01	2.4	NRL-171049	SYS1_HMI_Vehicle_Category_HMI_Logic_and_Flow_R1_SR24_Post_2A_(December_27_2023)_2.4	VC2.2.) Vehicle Tab Labels and Order Note | Specialty Feature | Tab Name | Order
SWE1-HMI-VC-007-02	2.4	NRL-171049	SYS1_HMI_Vehicle_Category_HMI_Logic_and_Flow_R1_SR24_Post_2A_(December_27_2023)_2.4	VC2.2.) Vehicle Tab Labels and Order Note | Specialty Feature | Tab Name | Order
SWE1-HMI-VC-007-03	2.4	NRL-171049	SYS1_HMI_Vehicle_Category_HMI_Logic_and_Flow_R1_SR24_Post_2A_(December_27_2023)_2.4	VC2.2.) Vehicle Tab Labels and Order Note | Specialty Feature | Tab Name | Order
SWE1-HMI-VC-007-04	2.4	NRL-171049	SYS1_HMI_Vehicle_Category_HMI_Logic_and_Flow_R1_SR24_Post_2A_(December_27_2023)_2.4	VC2.2.) Vehicle Tab Labels and Order Note | Specialty Feature | Tab Name | Order
SWE1-HMI-VC-007-05	2.4	NRL-171049	SYS1_HMI_Vehicle_Category_HMI_Logic_and_Flow_R1_SR24_Post_2A_(December_27_2023)_2.4	VC2.2.) Vehicle Tab Labels and Order Note | Specialty Feature | Tab Name | Order
SWE1-HMI-VC-008	2.5	NRL-393807	SYS1_HMI_Vehicle_Category_HMI_Logic_and_Flow_R1_SR24_Post_2A_(December_27_2023)_2.5	VC3.) If the vehicle has the Camera App (see Camera HMI Logic and Flow), Cameras
SWE1-HMI-VC-009	2.5.1	NRL-393808	SYS1_HMI_Vehicle_Category_HMI_Logic_and_Flow_R1_SR24_Post_2A_(December_27_2023)_2.5.1	VC3.1.) If the Camera tab is present, remove Cameras from the Controls tab.
SWE1-HMI-VC-010	2.6	NRL-393809	SYS1_HMI_Vehicle_Category_HMI_Logic_and_Flow_R1_SR24_Post_2A_(December_27_2023)_2.6	VC4.) Only show apps under the Dashboard tab that the vehicle is equipped with.
SWE1-HMI-VC-011	2.6.1	NRL-393810	SYS1_HMI_Vehicle_Category_HMI_Logic_and_Flow_R1_SR24_Post_2A_(December_27_2023)_2.6.1	VC4.1) Within the Dashboard tab, display the applicable content in order of the 
SWE1-HMI-VC-012	2.6.2	NRL-393811	SYS1_HMI_Vehicle_Category_HMI_Logic_and_Flow_R1_SR24_Post_2A_(December_27_2023)_2.6.2	VC4.2)For landscape displays: If there is only one feature, display it in the si
SWE1-HMI-VC-012-01	2.6.2	NRL-393811	SYS1_HMI_Vehicle_Category_HMI_Logic_and_Flow_R1_SR24_Post_2A_(December_27_2023)_2.6.2	VC4.2)For landscape displays: If there is only one feature, display it in the si
SWE1-HMI-VC-012-02	2.6.2	NRL-393811	SYS1_HMI_Vehicle_Category_HMI_Logic_and_Flow_R1_SR24_Post_2A_(December_27_2023)_2.6.2	VC4.2)For landscape displays: If there is only one feature, display it in the si
SWE1-HMI-VC-012-03	2.6.2	NRL-393811	SYS1_HMI_Vehicle_Category_HMI_Logic_and_Flow_R1_SR24_Post_2A_(December_27_2023)_2.6.2	VC4.2)For landscape displays: If there is only one feature, display it in the si
SWE1-HMI-VC-013	2.6.3	NRL-393812	SYS1_HMI_Vehicle_Category_HMI_Logic_and_Flow_R1_SR24_Post_2A_(December_27_2023)_2.6.3	VC4.3) For portrait displays: for up to three features, display each in a single
SWE1-HMI-VC-013-01	2.6.3	NRL-393812	SYS1_HMI_Vehicle_Category_HMI_Logic_and_Flow_R1_SR24_Post_2A_(December_27_2023)_2.6.3	VC4.3) For portrait displays: for up to three features, display each in a single
SWE1-HMI-VC-013-02	2.6.3	NRL-393812	SYS1_HMI_Vehicle_Category_HMI_Logic_and_Flow_R1_SR24_Post_2A_(December_27_2023)_2.6.3	VC4.3) For portrait displays: for up to three features, display each in a single
SWE1-HMI-VC-013-03	2.6.3	NRL-393812	SYS1_HMI_Vehicle_Category_HMI_Logic_and_Flow_R1_SR24_Post_2A_(December_27_2023)_2.6.3	VC4.3) For portrait displays: for up to three features, display each in a single
SWE1-HMI-VC-013-04	2.6.3	NRL-393812	SYS1_HMI_Vehicle_Category_HMI_Logic_and_Flow_R1_SR24_Post_2A_(December_27_2023)_2.6.3	VC4.3) For portrait displays: for up to three features, display each in a single
SWE1-HMI-VC-014	3.1	NRL-171051	SYS1_HMI_Vehicle_Category_HMI_Logic_and_Flow_R1_SR24_Post_2A_(December_27_2023)_3.1	CO2.) Possible items to be placed in the Controls tab include, but are not limit
