kind	target	file	line	text
anomaly	A-VC1	RULINGS.md	169	未經全表掃描之全稱斷言，**作廢**。據其所立之 A-VC1 一併**撤銷**，
anomaly	A-VC1	RULINGS.md	181	(d) 「讀取時 strip 含 `\xa0`」之技術手段**保留**（A-VC1 之正確部分）。
anomaly	A-VC1	ANOMALIES.md	10	| A-VC1 | 037 第 10–18 欄全為 `\xa0` | **撤銷（R-VC6）** | — |
anomaly	A-VC1	ANOMALIES.md	73	(a) A-VC1 之條文以其前提為據（「無內容」），該前提在 repo 複本上不成立，
anomaly	A-VC1	ANOMALIES.md	165	repo 內複本之同九欄於 117 個 leaf 皆有實質內容（見 A-VC1 之重測表）。
anomaly	A-VC1	ANOMALIES.md	184	實測結果為準，A-VC1 條文重裁（見該項 (a)）。
anomaly	A-VC1	ANOMALIES.md	215	且據該漏記立 A-VC1 指示「不視為已填」。若未經 T4 攔下，後果為 Phase 6 之
anomaly	A-VC10	ANOMALIES.md	19	| A-VC10 | 037 Title 之資訊量大於 Description | PENDING | 併 DR-VC7（同批 A）|
anomaly	A-VC10	ANOMALIES.md	435	## A-VC10 —— 037 Requirement Title 之資訊量大於 Requirement Description（新立，下放包 04 §四）
anomaly	A-VC10	ANOMALIES.md	440	A-VC10（037 Requirement Title 之資訊量大於 Requirement Description）
anomaly	A-VC10	ANOMALIES.md	724	與 A-VC10 之區別：A-VC10 為「Title 多載 Description 未載之條件」，
anomaly	A-VC10	ANOMALIES.md	895	> A-VC10（Title 資訊量大於 Description）在此顯出其**另一面**：
anomaly	A-VC10	DECISIONS.md	120	- **A 七筆未結**：A-VC2、A-VC3、A-VC4、A-VC8、A-VC9、A-VC10、A-VC11。
anomaly	A-VC14	RULINGS.md	655	鎖定期滿）**本輪不做** —— 其門檻因 A-VC14 而未定，拆分點無從定值。
anomaly	A-VC14	ANOMALIES.md	23	| A-VC14 | 037 Title 與 Description 之數值矛盾（`VC-033-01`）| PENDING | 待 DR-VC8 |
anomaly	A-VC14	ANOMALIES.md	708	## A-VC14 —— 037 Title 與 Description 之數值矛盾（新立，下放包 09 §三）
anomaly	A-VC14	ANOMALIES.md	713	A-VC14（037 Title 與 Description 之數值矛盾）
anomaly	A-VC14	DATA_REQUESTS.md	195	不得留空、不得填 NA、**不得自行取 3 或 4**（A-VC14(a)）。
anomaly	A-VC2	ANOMALIES.md	11	| A-VC2 | 037 封面 `Reviewer：` 空、`Date：` 為 2020/09/05 | PENDING | 附於 DR-VC2（包 02 §四）|
anomaly	A-VC2	ANOMALIES.md	94	## A-VC2 —— 037 封面之 Reviewer 空白與日期矛盾（下放包 §七原文）
anomaly	A-VC2	DATA_REQUESTS.md	55	- **附帶一問（A-VC2，下放包 02 §四裁定）**：037 封面 `Reviewer：` 為空、
anomaly	A-VC2	DECISIONS.md	120	- **A 七筆未結**：A-VC2、A-VC3、A-VC4、A-VC8、A-VC9、A-VC10、A-VC11。
anomaly	A-VC20	ANOMALIES.md	1030	## A-VC20 —— 「§10.1／§10.2／§15 之內容僅存於圖，SYS1 匯出未帶文字」不成立（新立，下放包 27 T143）
anomaly	A-VC20	DATA_REQUESTS.md	103	僅存於圖，請提供文字版本」——**其前提於 §10.1／§10.2 不成立**（A-VC20）。
anomaly	A-VC20	DATA_REQUESTS.md	134	（下放包 28 §一／A-VC20）。**同一 repo 內，正解與錯解並存了 24 個包** ——
anomaly	A-VC20	DATA_REQUESTS.md	141	A-VC20 原記其成因為「R-VC12 二(a) 是用它自己所禁之方法立的」；
anomaly	A-VC20	data/tableB_draft.md	63	（A-VC20）—— 該二節之文字含實質需求敘述
anomaly	A-VC21	RULINGS.md	1015	全域三種前綴並存之登記見 A-VC21（PENDING，全域排程）。
anomaly	A-VC21	ANOMALIES.md	1112	## A-VC21 —— TC ID 之 `{project}` 前綴，全域三種並存（新立，下放包 29 §3.3）
anomaly	A-VC21	ANOMALIES.md	1117	A-VC21（TC ID 之 {project} 前綴，全域三種並存）
anomaly	A-VC3	ANOMALIES.md	12	| A-VC3 | §16.2 之 `SWE1-HMI-VC-066` 僅涵蓋標題一句 | PENDING | 併入 DR-VC3 |
anomaly	A-VC3	ANOMALIES.md	112	## A-VC3 —— §16.2 之需求涵蓋不足（下放包 §七原文）
