row	req_id	old_E	old_F	new_F	status	note
10	SWE1-HMI-VC-001-01		newR1L-VC-001	newR1L-VC-001	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
11	SWE1-HMI-VC-001-02		newR1L-VC-002	newR1L-VC-002	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
12	SWE1-HMI-VC-001-03		newR1L-VC-003	newR1L-VC-003	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
13	SWE1-HMI-VC-002		newR1L-VC-004	newR1L-VC-004	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
14	SWE1-HMI-VC-003		newR1L-VC-005	newR1L-VC-005	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
15	SWE1-HMI-VC-004		newR1L-VC-006	newR1L-VC-006	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
16	SWE1-HMI-VC-005		newR1L-VC-007	newR1L-VC-007	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
17	SWE1-HMI-VC-006		newR1L-VC-008	newR1L-VC-008	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
18	SWE1-HMI-VC-007-01		newR1L-VC-009	newR1L-VC-009	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
19	SWE1-HMI-VC-007-02		newR1L-VC-010	newR1L-VC-010	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
