row	tc_id	setting	alias_status	path_now	path_proposed	control_proposed	proxi_now	proxi_proposed	flags
10	newR1L-VC-001	Category Structure	n/a（不走 Settings List）		（本 feature 不套 path 段）		（無 PROXI）	PENDING: DR-49	NO_MAPPING;PROSE_PRECOND
11	newR1L-VC-002	Category Structure	n/a（不走 Settings List）		（本 feature 不套 path 段）		（無 PROXI）	PENDING: DR-49	NO_MAPPING;PROSE_PRECOND
12	newR1L-VC-003	Category Structure	n/a（不走 Settings List）		（本 feature 不套 path 段）		（無 PROXI）	PENDING: DR-49	NO_MAPPING;PROSE_PRECOND
13	newR1L-VC-004	Category Structure	n/a（不走 Settings List）		（本 feature 不套 path 段）		（無 PROXI）	NO_MAPPING: The vehicle is equipped with at least one Specialty feature	NO_MAPPING;PROSE_PRECOND
14	newR1L-VC-005	Category Structure	n/a（不走 Settings List）		（本 feature 不套 path 段）		（無 PROXI）	NO_MAPPING: The vehicle is equipped with My Car, Cameras and at least one other Specialty feature	NO_MAPPING;PROSE_PRECOND
15	newR1L-VC-006	Category Structure	n/a（不走 Settings List）		（本 feature 不套 path 段）		（無 PROXI）	PENDING: DR-49	NO_MAPPING;PROSE_PRECOND
16	newR1L-VC-007	Category Structure	n/a（不走 Settings List）		（本 feature 不套 path 段）		（無 PROXI）	PENDING: DR-49	NO_MAPPING;PROSE_PRECOND
17	newR1L-VC-008	Category Structure	n/a（不走 Settings List）		（本 feature 不套 path 段）		（無 PROXI）	NO_MAPPING: The vehicle is equipped with the Off Road, PHEV and SRT features	NO_MAPPING;PROSE_PRECOND
18	newR1L-VC-009	Category Structure	n/a（不走 Settings List）		（本 feature 不套 path 段）		（無 PROXI）	保留散文：The vehicle under test is equipped with the Specialty features listed in the mapping table	PROSE_KEPT;PROSE_PRECOND
19	newR1L-VC-010	Category Structure	n/a（不走 Settings List）		（本 feature 不套 path 段）		（無 PROXI）	保留散文：The vehicle is equipped with the Specialty features listed in the mapping rows under test	PROSE_KEPT;PROSE_PRECOND
20	newR1L-VC-011	Category Structure	n/a（不走 Settings List）		（本 feature 不套 path 段）		（無 PROXI）	保留散文：The vehicle is equipped with the Specialty features listed in the mapping rows under test	PROSE_KEPT;PROSE_PRECOND
21	newR1L-VC-012	Category Structure	n/a（不走 Settings List）		（本 feature 不套 path 段）		（無 PROXI）	保留散文：The vehicle is equipped with the Specialty features listed in the mapping rows under test	PROSE_KEPT;PROSE_PRECOND
22	newR1L-VC-013	Category Structure	n/a（不走 Settings List）		（本 feature 不套 path 段）		（無 PROXI）	保留散文：The vehicle is equipped with the Specialty features listed in the mapping rows under test	PROSE_KEPT;PROSE_PRECOND
23	newR1L-VC-014	Category Structure	n/a（不走 Settings List）		（本 feature 不套 path 段）		（無 PROXI）	PENDING: DR-49	ALWAYS_FALSE;PROSE_PRECOND
24	newR1L-VC-015	Category Structure	n/a（不走 Settings List）		（本 feature 不套 path 段）		（無 PROXI）	PENDING: DR-49	ALWAYS_FALSE;PROSE_PRECOND
25	newR1L-VC-016	Category Structure	n/a（不走 Settings List）		（本 feature 不套 path 段）		（無 PROXI）	NO_MAPPING: The vehicle is equipped with a subset of the Dashboard apps	NO_MAPPING;PROSE_PRECOND
26	newR1L-VC-017	Category Structure	n/a（不走 Settings List）		（本 feature 不套 path 段）		（無 PROXI）	NO_MAPPING: The vehicle is equipped with two or more Dashboard apps	NO_MAPPING;PROSE_PRECOND
27	newR1L-VC-018	Category Structure	n/a（不走 Settings List）		（本 feature 不套 path 段）		（無 PROXI）	保留散文：The vehicle is equipped with a landscape display ; NO_MAPPING: The vehicle is equipped with exactly one Dashboard feature	NO_MAPPING;PROSE_KEPT;PROSE_PRECOND
28	newR1L-VC-019	Category Structure	n/a（不走 Settings List）		（本 feature 不套 path 段）		（無 PROXI）	保留散文：The vehicle is equipped with a landscape display ; NO_MAPPING: The vehicle is equipped with exactly two Dashboard features	NO_MAPPING;PROSE_KEPT;PROSE_PRECOND
29	newR1L-VC-020	Category Structure	n/a（不走 Settings List）		（本 feature 不套 path 段）		（無 PROXI）	保留散文：The vehicle is equipped with a landscape display ; NO_MAPPING: The vehicle is equipped with three or more Dashboard features	NO_MAPPING;PROSE_KEPT;PROSE_PRECOND
