token	lid_scope	lid_message	lid_signal	lid_can	dbc	dbc_message	dbc_id	start	length	factor	offset	verdict	detail
$DSP_SK_PRSNT$	Atlantis(&High)		Display_OFF_SoftKey_Prsnt									NOT_IN_DBC	LID 之 signal 名於兩份 DBC 皆不存在
$DSP_SK_PRSNT$	Atlantis(&High)		Display_OFF_SoftKey	PROXI								NOT_IN_DBC	LID 之 signal 名於兩份 DBC 皆不存在
$DriverSide$	Atlantis(&High)	Car_Configuration_1	Driver_Side	PROXI								NOT_IN_DBC	LID 之 signal 名於兩份 DBC 皆不存在
$ESS_ENG_ST$	Atlantis High	STATUS_CCAN3	ESS_ENG_ST	CAN-B FD	PDT27_E2A_R4_BHCAN.dbc	STATUS_CCAN3	994	37	4	1	0	ALL_ATTR_MATCH	
$ESS_ENG_ST$	Atlantis High	ENGINE_FD_2	ESS_ENG_ST	CAN-B FD	PDT27_E2A_R4_BHCAN.dbc	STATUS_CCAN3						MISMATCH	LID 之 message `ENGINE_FD_2` 於 DBC 中不存在；該 signal 實際位於 ['STATUS_CCAN3']
$ESS_ENG_ST$	Atlantis(&High)	STATUS_CCAN3	ESS_ENG_ST		PDT27_E2A_R4_BHCAN.dbc	STATUS_CCAN3	994	37	4	1	0	ALL_ATTR_MATCH	
$EngRun_Stat$	Atlantis High	STATUS_CCAN3	EngineSts	CAN-B FD	PDT27_E2A_R4_BHCAN.dbc	STATUS_CCAN3	994	49	2	1	0	ALL_ATTR_MATCH	
$EngRun_Stat$	Atlantis High	ENGINE_FD_2	EngineSts_W	CAN-B FD	PDT27_E2A_R5_FDCAN8.dbc	ENGINE_FD_2	262	87	2	1	0	ALL_ATTR_MATCH	
$FL_HS_RQ$	Atlantis High	TELEMATIC_VEHICLE_SETUP3	FL_HS_Tlm	BH-CAN	PDT27_E2A_R4_BHCAN.dbc	TELEMATIC_VEHICLE_SETUP3	1291	61	1	1	0	ALL_ATTR_MATCH	
$FL_HS_RQ$	Atlantis(&High)	TGW_HVAC_CTRL_M	HeatLeftSeatTgl	CAN-B								NOT_IN_DBC	LID 之 signal 名於兩份 DBC 皆不存在
