swe_id	reqid_list	polarion_ids	section	note
SWE1-VC-Stop-StartSystem-002	CFTS044-4858549	NRL-61369	1.3.2.1.3.12.1	交叉驗證章節一致
SWE1-VC-Stop-StartSystem-003	CFTS044-4858550	NRL-61370	1.3.2.1.3.12.1	交叉驗證章節一致
SWE1-VC-Stop-StartSystem-004	CFTS044-4858551	NRL-61371	1.3.2.1.3.12.1	交叉驗證章節一致
SWE1-VC-Stop-StartSystem-005	CFTS044-4858553	NRL-61372	1.3.2.1.3.12.1	交叉驗證章節一致
SWE1-VC-Stop-StartSystem-006	CFTS044-4858555	NRL-61373	1.3.2.1.3.12.1	交叉驗證章節一致
SWE1-VC-Stop-StartSystem-007	CFTS044-4858557	NRL-61374	1.3.2.1.3.12.1	交叉驗證章節一致
SWE1-VC-SwitchLHD/RHDConfiguration-009	CFTS044-4858559	NRL-61376	1.3.2.1.3.13	交叉驗證章節一致
SWE1-VC-SwitchLHD/RHDConfiguration-010	CFTS044-4858560	NRL-61377	1.3.2.1.3.13	交叉驗證章節一致
SWE1-VC-SwitchLHD/RHDConfiguration-011	CFTS044-4858561	NRL-61378	1.3.2.1.3.13	交叉驗證章節一致
SWE1-VC-SwitchLHD/RHDConfiguration-012	CFTS044-4859508	NRL-61577	1.3.3.3.8	交叉驗證章節一致
SWE1-VC-SwitchLHD/RHDConfiguration-013	CFTS044-4859509	NRL-61578	1.3.3.3.8	交叉驗證章節一致
SWE1-VC-SwitchLHD/RHDConfiguration-014	CFTS044-4859510	NRL-61579	1.3.3.3.8	交叉驗證章節一致
SWE1-VC-PHEVFeatures-017	CFTS044-4859529	NRL-61582	1.3.4.2	交叉驗證章節一致
SWE1-VC-FeaturesEnableCriteria-021	CFTS044-4859541	NRL-61586	1.3.4.2.2	交叉驗證章節一致
SWE1-VC-FeaturesEnableCriteria-022	CFTS044-4859542	NRL-61587	1.3.4.2.2	交叉驗證章節一致
SWE1-VC-FeaturesEnableCriteria-023	CFTS044-4859543	NRL-61588	1.3.4.2.2	交叉驗證章節一致
SWE1-VC-ThirdRowHeadrestDump-025	CFTS044-4858986	NRL-61387	1.3.2.1.18	交叉驗證章節一致
SWE1-VC-ThirdRowHeadrestDump-026	CFTS044-4858987	NRL-61388	1.3.2.1.18	交叉驗證章節一致
SWE1-VC-ThirdRowHeadrestDump-027	CFTS044-4858988	NRL-61389	1.3.2.1.18	交叉驗證章節一致
SWE1-VC-ThirdRowHeadrestDump-028	CFTS044-4858989	NRL-61390	1.3.2.1.18	交叉驗證章節一致
SWE1-VC-ThirdRowHeadrestDump-029	CFTS044-4858991	NRL-61391	1.3.2.1.18	交叉驗證章節一致
SWE1-VC-ThirdRowHeadrestDump-030	CFTS044-4858993	NRL-61392	1.3.2.1.18	交叉驗證章節一致
SWE1-VC-ThirdRowHeadrestDump-031	CFTS044-4858994	NRL-61393	1.3.2.1.18	交叉驗證章節一致
