lid	sheet	row	function	atlantis_high_signal	atlantis_high_can	atlantis_high_format	atlantis_signal	atlantis_can	atlantis_format	usage_comment	group_label_at_15	flags
2ndHdRstRelRq	CAN Mapping	0		RADIO_B3.HDRstRelRq_2ndRow	CAN-BH						Atlantis	
A_EV_Kilometers	CAN Mapping	0	A_EV_Kilometers	IPC_FD_11.A_EV_Kilometers	FD	see dbc					Atlantis	
A_EV_Miles	CAN Mapping	0	A_EV_Miles	IPC_FD_11.A_EV_Miles	FD	see dbc					Atlantis	
A_Hybrid_Kilometers	CAN Mapping	0	A_Hybrid_Kilometers	IPC_FD_11.A_Hybrid_Kilometers	FD	see dbc					Atlantis	
A_Hybrid_Miles	CAN Mapping	0	A_Hybrid_Miles	IPC_FD_11.A_Hybrid_Miles	FD	see dbc					Atlantis	
A_KMpL	CAN Mapping	0	A_KMpL								Atlantis	
A_MPG	CAN Mapping	0	A_MPG								Atlantis	
A_MPG A_KMpL	CAN Mapping	0	Trip MPG or KM per Liter	IPC_FD_6.AverageFuelConsumptionAPlus	FD	Atlantis 10 bit signal 0 - 102.3 miles/gallon or km/liter resolution = 0.1 miles/gallon or km/liter	TRIP_A.AverageFuelConsumptionAPlus		Atlantis 10 bit signal 0 - 102.3 miles/gallon or km/liter resolution = 0.1 miles/gallon or km/liter		Atlantis	
A_Total_Dist_Kilometers	CAN Mapping	0	A_Total_Dist_Kilometers								Atlantis	
A_Total_Dist_Miles	CAN Mapping	0	A_Total_Dist_Miles								Atlantis	
AbortCrankingAtc	CAN Mapping	0		BCM_FD_29.AbortCrankingAtc DRIVETRAIN_FD_2.AbortCrankingAtc	FD		BCM_VPS2.AbortCrankingAtc	CAN-B	0 = Not_Actuated 1 = Actuated		Atlantis	
ABS_IND_STAT	CAN Mapping	0	ABS_IND_STAT	IPC_FD_3.ABS_IND_STAT	FD	0 = Off 1 = On 2 = Blinking 3 = SNA					Atlantis	
