lid	sheet	row	scope	message	signal	can	fmt
2ndHdRstRelRq	CAN Mapping	4	Atlantis High	RADIO_B3	HDRstRelRq_2ndRow	CAN-BH	
A_EV_Kilometers	CAN Mapping	5	Atlantis High	IPC_FD_11	A_EV_Kilometers	FD	see dbc
A_EV_Miles	CAN Mapping	6	Atlantis High	IPC_FD_11	A_EV_Miles	FD	see dbc
A_Hybrid_Kilometers	CAN Mapping	7	Atlantis High	IPC_FD_11	A_Hybrid_Kilometers	FD	see dbc
A_Hybrid_Miles	CAN Mapping	8	Atlantis High	IPC_FD_11	A_Hybrid_Miles	FD	see dbc
"A_MPG
A_KMpL"	CAN Mapping	11	Atlantis High	IPC_FD_6	AverageFuelConsumptionAPlus	FD	Atlantis\n10 bit signal\n0 - 102.3 miles/gallon or km/liter\nresolution = 0.1 miles/gallon or km/liter
AbortCrankingAtc	CAN Mapping	14	Atlantis High	BCM_FD_29	AbortCrankingAtc	FD	
AbortCrankingAtc	CAN Mapping	14	Atlantis High	DRIVETRAIN_FD_2	AbortCrankingAtc		
ABS_IND_STAT	CAN Mapping	15	Atlantis High	IPC_FD_3	ABS_IND_STAT	FD	0 = Off\n1 = On\n2 = Blinking\n3 = SNA
ABSActive	CAN Mapping	16	Atlantis(&High)	BRAKE1	ABSActive	CAN-C	\n0 = Not_active\n1 = Active
ABSIndLampStatus	CAN Mapping	17	Atlantis High	BRAKE_FD_5	ABSFailSts	FD	ATLANTIS\n1 bit signal\n0 = Fail_Not_Present\n1 = Fail_Present
AC_Charge_Button_Label1	CAN Mapping	18	Atlantis High	VCDM_HMI2	AC_Charge_Button_Label1		see dbc
AC_Charge_Button_Label2	CAN Mapping	19	Atlantis High	VCDM_HMI2	AC_Charge_Button_Label2		see dbc
AC_Charge_Button_Label3	CAN Mapping	20	Atlantis High	VCDM_HMI2	AC_Charge_Button_Label3		see dbc
AC_Charge_Button_Label4	CAN Mapping	21	Atlantis High	VCDM_HMI2	AC_Charge_Button_Label4		see dbc
AC_Charge_Button_Label5	CAN Mapping	22	Atlantis High	VCDM_HMI2	AC_Charge_Button_Label5		see dbc
AC_SW_RQ	CAN Mapping	23	Atlantis High	TELEMATIC_FD_5	AC_SW_RQ	FD	1 bit signal
ACC_DistSwDec	CAN Mapping	25	Atlantis High	BCM_FD_13	ACC_DistSwDec	CAN-B	False\nTrue
ACC_DistSwInc	CAN Mapping	26	Atlantis High	BCM_FD_13	ACC_DistSwInc	FD	False\nTrue
ACC_On	CAN Mapping	27	Atlantis High	BCM_FD_13	ACC_On	FD	False\nTrue
AcceleratorPedalPosition	CAN Mapping	30	Atlantis High	ENGINE_SIMULATOR1	AccelPdlPosn_OBD_PT1	FD	-
AcceleratorSts	CAN Mapping	31	Atlantis High	BCM_FD_13	AcceleratorSts	FD	Not_Active\nActive
AccelPdlPosn_OBD	CAN Mapping	32	Atlantis High	ENGINE_FD_2	GasPedalPositionFailSts	FD	Atlantis\n1 bit signal\n0 = Fail not present\n1 = Fail present
AccelPdlPosn_OBD	CAN Mapping	33	Atlantis High	OBD_CONTENT_FRAME	AccelPdlPosn_OBD	CAN-B	ATLANTIS\n8 bit mesaage \nResolution = 0.3922%
AccelPdlPosn_OBD	CAN Mapping	34	Atlantis High	ENGINE_FD_2	GasPedalPosition	FD	Atlantis\n8 bit signal\n0 - 99.568 %\nresolution = 0.392%
ACCFaulted	CAN Mapping	35	Atlantis High	DASM_FD_2	ACCFailSts	FD	Atlantis\n1 bit signal (ACCFailSts)\n0 = Fail_not_present\n1 = Fail_Present\n\n1 bit signal (NCCFailSts)\n0 = Fail_not_present\n1 = Fail_Present
ACCFaulted	CAN Mapping	35	Atlantis High	DASM_FD_2	NCCFailSts		Atlantis\n1 bit signal (ACCFailSts)\n0 = Fail_not_present\n1 = Fail_Present\n\n1 bit signal (NCCFailSts)\n0 = Fail_not_present\n1 = Fail_Present
ACConlyNA_DASMSts	CAN Mapping	36	Atlantis High	DASM_FD_2	ACCFailSts	FD	Atlantis\n1 bit signal (ACCFailSts)\n0 = Fail_not_present\n1 = Fail_Present\n\n1 bit signal (DASMFailSts)\n0 = Fail_Present\n1 = Fail_not_present
ACConlyNA_DASMSts	CAN Mapping	36	Atlantis High	DASM_FD_2	DASMFailSts		Atlantis\n1 bit signal (ACCFailSts)\n0 = Fail_not_present\n1 = Fail_Present\n\n1 bit signal (DASMFailSts)\n0 = Fail_Present\n1 = Fail_not_present
ACConlyNA_DASMSts	CAN Mapping	37	Atlantis(&High)	C2_IGW3	ACCFailSts	CAN-C	0 = Fail_not_present\n1 = Fail_Present
ACCSystemSts	CAN Mapping	38	Atlantis(&High)	C2_IGW3	ACCSystemSts	CAN-C	0 = OFF\n1 = Enabled\n2 = Engaged\n3 = Engaged_BrakeOnly\n4 = Override\n5 = Cancel
ActualH2Consumption	CAN Mapping	41	Atlantis(&High)	FCPS_DATA1	ActualH2Consumption	CAN-C	See dbc
ActualRearDifferentialTorqueLock	CAN Mapping	42	Atlantis(&High)		Applicable		
ACV_FailType	CAN Mapping	43	Atlantis High	STATUS_CLIMATE9	ACV_FailType	B	0=None\n1-7 = Reserved
ACV_FailType	CAN Mapping	43	Atlantis High	BCM_FD_26	ACV_FailType	FD	0=None\n1-7 = Reserved
ACV_Request	CAN Mapping	44	Atlantis High	STATUS_BH_BCM2	ACV_Request	B	0=OFF\n1=ON
ACV_Request	CAN Mapping	44	Atlantis High	TBM_FD_1	ACV_Request	FD	0=OFF\n1=ON
ACV_Status	CAN Mapping	45	Atlantis High	STATUS_CLIMATE9	ACV_Status	B	0=OFF\n1=ON\n2=Reserved\n3=SNA
ACV_Status	CAN Mapping	45	Atlantis High	BCM_FD_26	ACV_Status	FD	0=OFF\n1=ON\n2=Reserved\n3=SNA
ADAS_CountryCode	CAN Mapping	46	Atlantis High	TELEMATIC_FD_11	CountryCode	FD	10 bit signal
ADAS_L3_TellTaleSts	CAN Mapping	47	Atlantis High	ADAS_FD_HMI	L3_TelltaleSts	FD	00.- OFF\n01.- White\n02.- Blue\n03.- Blue_Flashing\n04.- Yellow_Flashing\n05.- Red_Flashing\n06.- Red\n07.- SNA
ADAS_MRM_STATUS	CAN Mapping	48	Atlantis High	ADAS_FD_INFO	MRM_STATUS	FD	0 = Not_Active\n1 = MRM_in_Process\n2 = Vehicle_Secure_Request\n3 = Vehicle_Securement_Complete\n4 = Canceled\n7 = SNA
ADAS_MRM_STATUS_C2	CAN Mapping	49	Atlantis High	ADAS_FD_INFO_C2	MRM_STATUS_C2	FD	0 = Not_Active\n1 = MRM_in_Process\n2 = Vehicle_Secure_Request\n3 = Vehicle_Securement_Complete\n4 = Canceled\n7 = SNA
ADC_DrvMd_CfgSts	CAN Mapping	50	Atlantis High	BCM_FD_11	ADC_DrvMd_CfgSts	FD	0 = MODE_1\n1 = MODE_2\n2 = MODE_3\n3 = SNA
