tc_name	hmi_name	fip_name	match_type	evidence	tier2_proposal	tier2_evidence
6 Aux Switches			UNRESOLVED	母體無對應；Tier 2 候選見 tier2_proposal 欄	manual	HMI r565–r588 [21. Aux Switches] Aux 1–Aux 6（親項）；FIP No.267 AUX SWITCH Type（Type2 → 6）
SWITCH 5 Power Mode			UNRESOLVED	母體無對應；Tier 2 候選見 tier2_proposal 欄	manual	HMI [21. Aux Switches] > Aux 5 > Power Source (2 radio; Battery, Ignition)（r583）—— Power Mode≟Power Source 待認
SWITCH 6 Power Mode			UNRESOLVED	母體無對應；Tier 2 候選見 tier2_proposal 欄	manual	HMI [21. Aux Switches] > Aux 6 > Power Source (2 radio; Battery, Ignition)（r587）—— Power Mode≟Power Source 待認
SWITCH 1 Type			UNRESOLVED	母體無對應；Tier 2 候選見 tier2_proposal 欄	manual	HMI r566/r570/… [21. Aux Switches] > Aux n > Type (2 radio; Latching, Momentary)
SWITCH 5 Type			UNRESOLVED	母體無對應；Tier 2 候選見 tier2_proposal 欄	manual	HMI r566/r570/… [21. Aux Switches] > Aux n > Type (2 radio; Latching, Momentary)
SWITCH 6 Type			UNRESOLVED	母體無對應；Tier 2 候選見 tier2_proposal 欄	manual	HMI r566/r570/… [21. Aux Switches] > Aux n > Type (2 radio; Latching, Momentary)
SWITCH 5 Hold Last State			UNRESOLVED	母體無對應；Tier 2 候選見 tier2_proposal 欄	manual	HMI r568/r572/… [21. Aux Switches] > Aux n > Recall Last State (On/Off)
SWITCH 6 Hold Last State			UNRESOLVED	母體無對應；Tier 2 候選見 tier2_proposal 欄	manual	HMI r568/r572/… [21. Aux Switches] > Aux n > Recall Last State (On/Off)
Rear Guidance Lighting with Approach			UNRESOLVED	母體無對應；Tier 2 候選見 tier2_proposal 欄	DR	HMI 15. Lights 無同名；FIP No.272/275 為 Cargo Lights / Light Status，非此
Rear Guidance Light Status		Rear Guidance Light Status	exact	总控表 No.275		
E-Save			UNRESOLVED	母體無對應；Tier 2 候選見 tier2_proposal 欄	DR	兩表皆無候選
Blind Spot Alert	Blind Spot Alert	Blind Spot Alert	exact	Settings r16,320；总控表 No.122		
Passive Entry	Passive Entry	Passive Entry	exact	Settings r521,522；总控表 No.123		
Remote Door Unlock		Remote Door Unlock	exact	总控表 No.124		
Auto Park Brake	Auto Park Brake	Auto Park Brake	exact	Settings r509；总控表 No.132		
Horn With Remote Start		Horn With Remote Start	exact	总控表 No.125		
Horn With Lock		Horn With Lock	exact	总控表 No.126		
Auto Unlock on Exit	Auto Unlock on Exit	Auto Unlock on Exit	exact	Settings r513；总控表 No.127		
Flash Light With Lock		Flash Light With Lock	exact	总控表 No.128		
Navigation Turn by Turn			UNRESOLVED	母體無對應；Tier 2 候選見 tier2_proposal 欄	manual	HMI r179 [2. Display] Navigation Turn-by-Turn Displayed in Cluster
Language	Language		exact	Settings r23		
Phone Repetition			UNRESOLVED	母體無對應；Tier 2 候選見 tier2_proposal 欄	manual	HMI r214 [2. Display] > Cluster Options > 17.9.6 Audio Repetition (On/Off) —— Phone≟Audio 待認
Park Sense Rear Volume			UNRESOLVED	母體無對應；Tier 2 候選見 tier2_proposal 欄	manual	HMI r311 [4.] Rear ParkSense Volume* (3 radio; Low, Med, High)
Park Sense Front Volume			UNRESOLVED	母體無對應；Tier 2 候選見 tier2_proposal 欄	manual	HMI r310 [4.] Front ParkSense Volume* (3 radio; Low, Med, High)
Auto High Beam		Auto High Beam	exact	总控表 No.129		
RKE Linked to Memory		RKE Linked to Memory	exact	总控表 No.144		
Auto On Driver Comfort - 3 Option			UNRESOLVED	母體無對應；Tier 2 候選見 tier2_proposal 欄	manual	HMI r96 Auto-On Comfort (Auto_On_Comfort_Remote)；FIP No.145 回傳 2（Remote_Start Present）
Auto On Driver Comfort - 2 Option			UNRESOLVED	母體無對應；Tier 2 候選見 tier2_proposal 欄	manual	HMI r97 Auto-On Comfort (Auto_On_Comfort_No_Remote)；FIP No.145 回傳 1（Remote_Start Absent）
Rearview Camera Delay	Rear View Camera Delay		manual	Settings r467（空白不敏感）		
Rearview Camera Dynamic Guidelines			UNRESOLVED	母體無對應；Tier 2 候選見 tier2_proposal 欄	manual	FIP No.236 Backup Camera Dynamic Guidelines；HMI 13. Camera 無 "Dynamic Guidelines" 同名列，路徑段待認
Cornering Lights	Cornering Lights	Cornering Lights	exact	Settings r501；总控表 No.107		
Greeting Lights	Greeting Lights	Greeting Lights	exact	Settings r494,495；总控表 No.108		
Lane Sense Warning		Lane Sense Warning	exact	总控表 No.109		
Signature Lighting	Signature Lighting		exact	Settings r506		
Lane Sense Strength		Lane Sense Strength	exact	总控表 No.110		
Forward Collision Warning	Forward Collision Warning	Forward Collision Warning	exact	Settings r6,249,251,252；总控表 No.131		
Forward Collision Warning Sensitivity		Forward Collision Warning Sensitivity	exact	总控表 No.199		
Pedestrian Emergency Braking or Warning & Active Braking			UNRESOLVED	母體無對應；Tier 2 候選見 tier2_proposal 欄	manual	HMI r256 [4.] > Automatic Emergency Braking* > Pedestrian Emergency Braking (2 radio; Off / Warning + Active Braking)；FIP No.143
Rain Sensing Wipers			UNRESOLVED	母體無對應；Tier 2 候選見 tier2_proposal 欄	manual	HMI r483 [14.] Rain Sensing Auto Wipers* (On/Off)；FIP No.112 Rain Sensor
Daytime Running Lights	Daytime Running Lights	Daytime Running Lights	exact	Settings r499；总控表 No.119		
Headlights Off Delay		Headlights Off Delay	exact	总控表 No.121		
Pressure Unit			UNRESOLVED	母體無對應；Tier 2 候選見 tier2_proposal 欄	manual	HMI r167 [2. Display] > Units > Pressure (3 radio; psi, kPa, bar)；FIP No.117 Tyre Pressure - Unit
Power Unit		Power - Unit	exact	总控表 No.141		
Torque Unit		Torque - Unit	exact	总控表 No.142		
Illuminated Approach		Illuminated Approach	exact	总控表 No.154		
Paddle Shifter		Paddle Shifter	exact	总控表 No.156		
Power Liftgate/Tailgate Alert			UNRESOLVED	母體無對應；Tier 2 候選見 tier2_proposal 欄	manual	HMI r528 [17.] Power Liftgate Alert (On/Off)；FIP No.157 Power Liftgate Alert（co-open: No.266 Power Tailgate，同 CAN node 82）
Power Tailgate	Power Tailgate	Power Tailgate	exact	Settings r529；总控表 No.266		
Traffic Sign Warning			UNRESOLVED	母體無對應；Tier 2 候選見 tier2_proposal 欄	manual	HMI r267 [4.] Traffic Sign Assist Warning* (3 radio; Off / Visual / Visual + Chime)；FIP No.135
New Speed Zone Indication	New Speed Zone Indication		exact	Settings r281		
Charge Power Level			UNRESOLVED	母體無對應；Tier 2 候選見 tier2_proposal 欄	DR	兩表皆無候選
Rear Seat Reminder			UNRESOLVED	母體無對應；Tier 2 候選見 tier2_proposal 欄	manual	HMI r259 [4.] Rear Seat Alert (On/Off)；FIP No.240 Rear Seat Reminder Alert
Trailer Number			UNRESOLVED	母體無對應；Tier 2 候選見 tier2_proposal 欄	manual	HMI r392 起 [12. Trailer] Trailer 1/Trailer 2…；FIP No.201 Trailer Name / No.202 Trailer Selected —— 對應物待認
SWITCH 2 Type			UNRESOLVED	母體無對應；Tier 2 候選見 tier2_proposal 欄	manual	HMI r566/r570/… [21. Aux Switches] > Aux n > Type (2 radio; Latching, Momentary)
SWITCH 3 Type			UNRESOLVED	母體無對應；Tier 2 候選見 tier2_proposal 欄	manual	HMI r566/r570/… [21. Aux Switches] > Aux n > Type (2 radio; Latching, Momentary)
SWITCH 4 Type			UNRESOLVED	母體無對應；Tier 2 候選見 tier2_proposal 欄	manual	HMI r566/r570/… [21. Aux Switches] > Aux n > Type (2 radio; Latching, Momentary)
SWITCH 1 Hold Last State			UNRESOLVED	母體無對應；Tier 2 候選見 tier2_proposal 欄	manual	HMI r568/r572/… [21. Aux Switches] > Aux n > Recall Last State (On/Off)
SWITCH 2 Hold Last State			UNRESOLVED	母體無對應；Tier 2 候選見 tier2_proposal 欄	manual	HMI r568/r572/… [21. Aux Switches] > Aux n > Recall Last State (On/Off)
SWITCH 3 Hold Last State			UNRESOLVED	母體無對應；Tier 2 候選見 tier2_proposal 欄	manual	HMI r568/r572/… [21. Aux Switches] > Aux n > Recall Last State (On/Off)
SWITCH 4 Hold Last State			UNRESOLVED	母體無對應；Tier 2 候選見 tier2_proposal 欄	manual	HMI r568/r572/… [21. Aux Switches] > Aux n > Recall Last State (On/Off)
Suspension Flash Lights With Lower		Suspension Flash Lights With Lower	exact	总控表 No.269		
Suspension Sound Horn With Lower		Suspension Sound Horn With Lower	exact	总控表 No.270		
Rear Guidance Lights with Cargo Lights		Rear Guidance Lights with Cargo Lights	exact	总控表 No.272		
Suspension Default Ride Height			UNRESOLVED	母體無對應；Tier 2 候選見 tier2_proposal 欄	manual	HMI r563 [20. Suspension] Default Ride Height (2 radio; Normal, Aero)；FIP No.274 "Suspension Default Ride Heigh"（FIP 原文缺字母）
AUX Switches			UNRESOLVED	母體無對應；Tier 2 候選見 tier2_proposal 欄	manual	HMI 分類 21. Aux Switches；FIP No.267
4 AUX Switches			UNRESOLVED	母體無對應；Tier 2 候選見 tier2_proposal 欄	manual	HMI r565–r580 Aux 1–Aux 4；FIP No.267 AUX SWITCH Type（Type1 → 4）
SWITCH 1 Power Mode			UNRESOLVED	母體無對應；Tier 2 候選見 tier2_proposal 欄	manual	HMI [21. Aux Switches] > Aux 1 > Power Source (2 radio; Battery, Ignition)（r567）—— Power Mode≟Power Source 待認
SWITCH 2 Power Mode			UNRESOLVED	母體無對應；Tier 2 候選見 tier2_proposal 欄	manual	HMI [21. Aux Switches] > Aux 2 > Power Source (2 radio; Battery, Ignition)（r571）—— Power Mode≟Power Source 待認
