token	arch_scope	in_scope_arch	cfts044_include	cfts044_exclude	bus_signal	dbc	lid_values	lid_format	cfts044_other_arch	cfts044_inscope_LEGACY	suspect_prefix	normalized_key
$DSP_SK_PRSNT$	All|Atlantis High|PowerNet	All|Atlantis High	1|Present|True		Display_OFF_SoftKey_Prsnt			See Proxi Table	"{""PowerNet"": [""Present""]}"	Present		1|present|true
$DriverSide$	All|Atlantis High|Atlantis Mid|CUSW|PowerNet	All|Atlantis High	0h: Left Side, 1h: Right Side|1h: Right Side|1h: Right hand|Left Side|Right Drive|Right Side|Right hand drive		Driver_Side		Left Side|Right Side	0 = Left Side 1 = Right Side	"{""PowerNet"": [""Left Side"", ""Right Drive"", ""Right Side"", ""Right hand drive""], ""Atlantis Mid"": [""Left Side"", ""Right Drive"", ""Right Side"", ""Right hand drive""], ""CUSW"": [""0h: Left Side, 1h: Right Side"", ""1h: Right Side"", ""1h: Right hand""]}"	0h: Left Side, 1h: Right Side|1h: Right Side|Left Side|Right Drive|Right Side|Right hand drive		0h: left side, 1h: right side|1h: right hand|1h: right side|left side|right drive|right hand drive|right side
$ESS_ENG_ST$	Atlantis High|Atlantis Mid|CUSW|PowerNet	Atlantis High	1h or 2h or 3h or 4h or 5h or 6h or 8h or 9h|7h: ENS disabled|7h: ENS disabled|ENS Disabled|ENS_DSBL|Fh: SNA|SNA	ENS Disabled|ENS_DSBL|ENS Disabled|SNA	ESS_ENG_ST	ENS Request Start|ENS Running|ENS Start inhibit|ENS Start protection|ENS Starting|ENS Stop Pending|ENS Stopped|ENS disabled|ENS_IHB_LATCH|SNA	ENS Request Start|ENS Running|ENS Start inhibit|ENS Start protection|ENS Starting|ENS Stop Pending|ENS Stopped|ENS disabled|ENS_IHB_LATCH|SNA	4 bit signal 1 = ENS Stopped 2 = ENS Request Start 3 = ENS Running 4 = ENS Stop Pending 5 = ENS Start protection 6 = ENS Start inhibit 7 = ENS disabled 8 = ENS_	"{""CUSW"": [""1h or 2h or 3h or 4h or 5h or 6h or 8h or 9h"", ""7h: ENS disabled"", ""7h: ENS disabled"", ""ENS_DSBL"", ""Fh: SNA"", ""SNA""], ""PowerNet"": [""1h or 2h or 3h or 4h or 5h or 6h or 8h or 9h"", ""ENS_DSBL"", ""SNA""], ""Atlantis Mid"": [""ENS_DSBL""]}"	ENS Disabled|ENS_DSBL|SNA		1h or 2h or 3h or 4h or 5h or 6h or 8h or 9h|7h: ens disabled|ens disabled|ens_dsbl|fh: sna|sna
$EngRun_Stat$	Atlantis High|PowerNet	Atlantis High	Engine_On|IDLE_STBL//UNLIMITED//LIMITED//RUN|a	Engine_On|IDLE_STBL//UNLIMITED//LIMITED//RUN	EngineSts|EngineSts_W	Engine_Cranking|Engine_Off|Engine_On|SNA	Engine_Cranking|Engine_Off|Engine_On|SNA	0 = Engine_Off 1 = Engine_Cranking 2 = Engine_On 3 = SNA	"{""PowerNet"": [""IDLE_STBL//UNLIMITED//LIMITED//RUN""]}"	Engine_On|IDLE_STBL//UNLIMITED//LIMITED//RUN		a|engine_on|idle_stbl//unlimited//limited//run
$FL_HS_RQ$	All|Atlantis High|Atlantis Mid|CUSW|PowerNet	All|Atlantis High	0h: Not Pressed|0h: Not pressed|1h: Pressed|Heated Seat Pressed / HS_PSD|High|Low|Medium|Not Pressed|Not Pressed / HS_NOT_PSD|Off|Pressed		FL_HS_Tlm	Not_Pressed|Pressed	Not_Pressed|Pressed	0 = Not_Pressed 1 = Pressed	"{""CUSW"": [""0h: Not Pressed"", ""0h: Not pressed"", ""1h: Pressed"", ""Heated Seat Pressed / HS_PSD"", ""Not Pressed / HS_NOT_PSD""], ""PowerNet"": [""Heated Seat Pressed / HS_PSD"", ""Not Pressed / HS_NOT_PSD"", ""Pressed""], ""Atlantis Mid"": [""Heated Seat Pressed / HS_PSD"", ""Not Pressed"", ""Not Pressed / HS_NOT_PSD"", ""Pressed""]}"	1h: Pressed|Heated Seat Pressed / HS_PSD|High|Low|Medium|Not Pressed / HS_NOT_PSD|Off|Pressed		0h: not pressed|1h: pressed|heated seat pressed / hs_psd|high|low|medium|not pressed|not pressed / hs_not_psd|off|pressed
$FL_VS_RQ_TGW$	Atlantis High|Atlantis Mid|CUSW|PowerNet	Atlantis High	0h: Not Pressed|0h: Not pressed|1h: Pressed|High|Low|Medium|Not Pressed|Not Pressed / VS_NOT_PSD|Off|Pressed|Vented Seat Pressed / VS_PSD		FL_VS_Tlm	Not_Pressed|Pressed	Not_Pressed|Pressed	0 = Not_Pressed 1 = Pressed	"{""CUSW"": [""0h: Not Pressed"", ""0h: Not pressed"", ""1h: Pressed"", ""Not Pressed / VS_NOT_PSD"", ""Vented Seat Pressed / VS_PSD""], ""PowerNet"": [""Not Pressed / VS_NOT_PSD"", ""Vented Seat Pressed / VS_PSD""], ""Atlantis Mid"": [""Not Pressed"", ""Pressed""]}"	High|Low|Medium|Not Pressed / VS_NOT_PSD|Off|Vented Seat Pressed / VS_PSD		0h: not pressed|1h: pressed|high|low|medium|not pressed|not pressed / vs_not_psd|off|pressed|vented seat pressed / vs_psd
$FR_HS_RQ$	Atlantis High|Atlantis Mid|CUSW|PowerNet	Atlantis High	0h: Not Pressed|0h: Not pressed|1h: Pressed|Heated Seat Pressed / HS_PSD|High|Low|Medium|Not Pressed|Not Pressed / HS_NOT_PSD|Off|Pressed		FR_HS_Tlm	Not_Pressed|Pressed	Not_Pressed|Pressed	0 = Not_Pressed 1 = Pressed	"{""CUSW"": [""0h: Not Pressed"", ""0h: Not pressed"", ""1h: Pressed"", ""Heated Seat Pressed / HS_PSD"", ""Not Pressed / HS_NOT_PSD""], ""PowerNet"": [""Heated Seat Pressed / HS_PSD"", ""Not Pressed / HS_NOT_PSD""], ""Atlantis Mid"": [""Heated Seat Pressed / HS_PSD"", ""Not Pressed"", ""Not Pressed / HS_NOT_PSD"", ""Pressed""]}"	Heated Seat Pressed / HS_PSD|High|Low|Medium|Not Pressed / HS_NOT_PSD|Off		0h: not pressed|1h: pressed|heated seat pressed / hs_psd|high|low|medium|not pressed|not pressed / hs_not_psd|off|pressed
$FR_VS_RQ_TGW$	Atlantis High|Atlantis Mid|CUSW|PowerNet	Atlantis High	0h: Not Pressed|0h: Not pressed|1h: Pressed|High|Low|Medium|Not Pressed|Not Pressed / VS_NOT_PSD|Not pressed / VS_NOT_PSD|Off|Pressed|Vented Seat Pressed / VS_PSD		FR_VS_Tlm	Not_Pressed|Pressed	Not_Pressed|Pressed	0 = Not_Pressed 1 = Pressed	"{""CUSW"": [""0h: Not Pressed"", ""0h: Not pressed"", ""1h: Pressed"", ""Not Pressed / VS_NOT_PSD"", ""Vented Seat Pressed / VS_PSD""], ""PowerNet"": [""Not Pressed / VS_NOT_PSD"", ""Not pressed / VS_NOT_PSD"", ""Vented Seat Pressed / VS_PSD""], ""Atlantis Mid"": [""Not Pressed"", ""Pressed""]}"	High|Low|Medium|Not Pressed / VS_NOT_PSD|Off|Vented Seat Pressed / VS_PSD		0h: not pressed|1h: pressed|high|low|medium|not pressed|not pressed / vs_not_psd|off|pressed|vented seat pressed / vs_psd
$HSW_RQ_TGW$	Atlantis High|Atlantis Mid|CUSW|PowerNet	Atlantis High	0h: Not Pressed|0h: Not pressed|1h: Pressed|High|Low|Medium|NOT Pressed / NOT_PSD|Not Pressed / NOT_PSD|ON|Off|Pressed / PSD		HSW_Tlm	Not_Pressed|Pressed	Not_Pressed|Pressed	0 = Not_Pressed 1 = Pressed	"{""CUSW"": [""0h: Not Pressed"", ""0h: Not pressed"", ""1h: Pressed"", ""Not Pressed / NOT_PSD"", ""Pressed / PSD""], ""PowerNet"": [""NOT Pressed / NOT_PSD"", ""Not Pressed / NOT_PSD"", ""Pressed / PSD""], ""Atlantis Mid"": [""ON""]}"	High|Low|Medium|NOT Pressed / NOT_PSD|Not Pressed / NOT_PSD|Off|Pressed / PSD		0h: not pressed|1h: pressed|high|low|medium|not pressed / not_psd|off|on|pressed / psd
$HSW_Stat$	Atlantis High|Atlantis Mid|CUSW|PowerNet	Atlantis High	0h: Off|1h: On|Heated steering wheel off / HSW_OFF|OFF|ON|Off|On		HSW_STATFailSts|HSW_STATSts	Fail_Not_Present|Fail_Present|OFF|ON	OFF|ON	ATLANTIS 1 bit signal 0 = OFF 1 = ON	"{""CUSW"": [""0h: Off"", ""1h: On"", ""OFF""], ""PowerNet"": [""0h: Off"", ""1h: On"", ""OFF"", ""Off"", ""On""], ""Atlantis Mid"": [""OFF"", ""ON""]}"	0h: Off|1h: On|Heated steering wheel off / HSW_OFF|Off|On		0h: off|1h: on|heated steering wheel off / hsw_off|off|on
