swe_id	family	sysra	n	sheet_row	polarion_id	category	seven_digit
SWE1-VC-Stop-StartSystem-001	Common Features	SYS-RA-CFTS044-116	116	117	NRL-61368	Heading	4858548
SWE1-VC-Stop-StartSystem-002	Common Features	SYS-RA-CFTS044-117	117	118	NRL-61369	Functional Requirement	4858549
SWE1-VC-Stop-StartSystem-003	Common Features	SYS-RA-CFTS044-118	118	119	NRL-61370	Functional Requirement	4858550
SWE1-VC-Stop-StartSystem-004	Common Features	SYS-RA-CFTS044-119	119	120	NRL-61371	Functional Requirement	4858551
SWE1-VC-Stop-StartSystem-005	Common Features	SYS-RA-CFTS044-120	120	121	NRL-61372	Functional Requirement	4858553
SWE1-VC-Stop-StartSystem-006	Common Features	SYS-RA-CFTS044-121	121	122	NRL-61373	Functional Requirement	4858555
SWE1-VC-Stop-StartSystem-007	Common Features	SYS-RA-CFTS044-122	122	123	NRL-61374	Functional Requirement	4858557
SWE1-VC-SwitchLHD/RHDConfiguration-008	Common Features	SYS-RA-CFTS044-123	123	124	NRL-61375	Heading	4858558
SWE1-VC-SwitchLHD/RHDConfiguration-009	Common Features	SYS-RA-CFTS044-124	124	125	NRL-61376	Functional Requirement	4858559
SWE1-VC-SwitchLHD/RHDConfiguration-010	Common Features	SYS-RA-CFTS044-125	125	126	NRL-61377	Functional Requirement	4858560
SWE1-VC-SwitchLHD/RHDConfiguration-011	Common Features	SYS-RA-CFTS044-126	126	127	NRL-61378	Functional Requirement	4858561
SWE1-VC-SwitchLHD/RHDConfiguration-012	Common Features	SYS-RA-CFTS044-325	325	326	NRL-61577	Functional Requirement	4859508
SWE1-VC-SwitchLHD/RHDConfiguration-013	Common Features	SYS-RA-CFTS044-326	326	327	NRL-61578	Functional Requirement	4859509
SWE1-VC-SwitchLHD/RHDConfiguration-014	Common Features	SYS-RA-CFTS044-327	327	328	NRL-61579	Functional Requirement	4859510
SWE1-VC-Controls-015	Common Features	SYS-RA-CFTS044-328	328	329	NRL-61580	Heading	4859511
SWE1-VC-PHEVFeatures-016	Common Features	SYS-RA-CFTS044-329	329	330	NRL-61581	Heading	4859528
SWE1-VC-PHEVFeatures-017	Common Features	SYS-RA-CFTS044-330	330	331	NRL-61582	Functional Requirement	4859529
SWE1-VC-FeaturesEnableCriteria-018	Common Features	SYS-RA-CFTS044-331	331	332	NRL-61583	Heading	4859535
SWE1-VC-FeaturesEnableCriteria-019	Common Features	SYS-RA-CFTS044-332	332	333	NRL-61584	Information	4859536
SWE1-VC-FeaturesEnableCriteria-020	Common Features	SYS-RA-CFTS044-333	333	334	NRL-61585	Information	4859537
SWE1-VC-FeaturesEnableCriteria-021	Common Features	SYS-RA-CFTS044-334	334	335	NRL-61586	Functional Requirement	4859541
SWE1-VC-FeaturesEnableCriteria-022	Common Features	SYS-RA-CFTS044-335	335	336	NRL-61587	Functional Requirement	4859542
SWE1-VC-FeaturesEnableCriteria-023	Common Features	SYS-RA-CFTS044-336	336	337	NRL-61588	Functional Requirement	4859543
SWE1-VC-ThirdRowHeadrestDump-024	Common Features	SYS-RA-CFTS044-134	134	135	NRL-61386	Heading	4858985
SWE1-VC-ThirdRowHeadrestDump-025	Common Features	SYS-RA-CFTS044-135	135	136	NRL-61387	Functional Requirement	4858986
SWE1-VC-ThirdRowHeadrestDump-026	Common Features	SYS-RA-CFTS044-136	136	137	NRL-61388	Functional Requirement	4858987
SWE1-VC-ThirdRowHeadrestDump-027	Common Features	SYS-RA-CFTS044-137	137	138	NRL-61389	Functional Requirement	4858988
SWE1-VC-ThirdRowHeadrestDump-028	Common Features	SYS-RA-CFTS044-138	138	139	NRL-61390	Functional Requirement	4858989
SWE1-VC-ThirdRowHeadrestDump-029	Common Features	SYS-RA-CFTS044-139	139	140	NRL-61391	Functional Requirement	4858991
SWE1-VC-ThirdRowHeadrestDump-030	Common Features	SYS-RA-CFTS044-140	140	141	NRL-61392	Functional Requirement	4858993
SWE1-VC-ThirdRowHeadrestDump-031	Common Features	SYS-RA-CFTS044-141	141	142	NRL-61393	Functional Requirement	4858994
SWE1-VC-ThirdRowHeadrestDump-032	Common Features	SYS-RA-CFTS044-142	142	143	NRL-61394	Functional Requirement	4858995
SWE1-VC-ThirdRowHeadrestDump-033	Common Features	SYS-RA-CFTS044-143	143	144	NRL-61395	Functional Requirement	4858999
SWE1-VC-ThirdRowHeadrestDump-034	Common Features	SYS-RA-CFTS044-144	144	145	NRL-61396	Functional Requirement	4859000
SWE1-VC-ThirdRowHeadrestDump-035	Common Features	SYS-RA-CFTS044-145	145	146	NRL-61397	Functional Requirement	4859001
SWE1-VC-ThirdRowHeadrestDump-036	Common Features	SYS-RA-CFTS044-146	146	147	NRL-61398	Functional Requirement	4859002
SWE1-VC-ThirdRowHeadrestDump-037	Common Features	SYS-RA-CFTS044-147	147	148	NRL-61399	Functional Requirement	4859030
SWE1-VC-ThirdRowHeadrestDump-038	Common Features	SYS-RA-CFTS044-148	148	149	NRL-61400	Functional Requirement	4859031
