dropped	dropped_src	kept	kept_seq	kept_src	batch
SWE1-VC-SWITCH1PowerMode-005	SYS-RA-VF230_V1-2262	SWE1-VC-SWITCH1PowerMode-030	338	SYS-RA-VF230_V1-2211	vf230_batch02.json
SWE1-VC-SWITCH1PowerMode-006	SYS-RA-VF230_V1-2263	SWE1-VC-SWITCH1PowerMode-031	346	SYS-RA-VF230_V1-2212	vf230_batch02.json
SWE1-VC-SWITCH1PowerMode-007	SYS-RA-VF230_V1-2264	SWE1-VC-SWITCH1PowerMode-032	353	SYS-RA-VF230_V1-2213	vf230_batch02.json
SWE1-VC-SWITCH2PowerMode-009	SYS-RA-VF230_V1-2266	SWE1-VC-SWITCH2PowerMode-034	361	SYS-RA-VF230_V1-2215	vf230_batch02.json
SWE1-VC-SWITCH2PowerMode-010	SYS-RA-VF230_V1-2267	SWE1-VC-SWITCH2PowerMode-035	370	SYS-RA-VF230_V1-2216	vf230_batch03.json
SWE1-VC-SWITCH2PowerMode-011	SYS-RA-VF230_V1-2268	SWE1-VC-SWITCH2PowerMode-036	379	SYS-RA-VF230_V1-2217	vf230_batch03.json
SWE1-VC-SWITCH3PowerMode-013	SYS-RA-VF230_V1-2270	SWE1-VC-SWITCH3PowerMode-038	387	SYS-RA-VF230_V1-2219	vf230_batch03.json
SWE1-VC-SWITCH3PowerMode-014	SYS-RA-VF230_V1-2271	SWE1-VC-SWITCH3PowerMode-039	395	SYS-RA-VF230_V1-2220	vf230_batch03.json
SWE1-VC-SWITCH3PowerMode-015	SYS-RA-VF230_V1-2272	SWE1-VC-SWITCH3PowerMode-040	404	SYS-RA-VF230_V1-2221	vf230_batch03.json
SWE1-VC-SWITCH4PowerMode-017	SYS-RA-VF230_V1-2274	SWE1-VC-SWITCH4PowerMode-042	413	SYS-RA-VF230_V1-2223	vf230_batch03.json
SWE1-VC-SWITCH4PowerMode-018	SYS-RA-VF230_V1-2275	SWE1-VC-SWITCH4PowerMode-043	422	SYS-RA-VF230_V1-2224	vf230_batch04.json
SWE1-VC-SWITCH4PowerMode-019	SYS-RA-VF230_V1-2276	SWE1-VC-SWITCH4PowerMode-044	429	SYS-RA-VF230_V1-2225	vf230_batch04.json
SWE1-VC-SWITCH1Type-030	SYS-RA-VF230_V1-2287	SWE1-VC-SWITCH1Type-003	543	SYS-RA-VF230_V1-2228	vf230_batch06.json
SWE1-VC-SWITCH1Type-031	SYS-RA-VF230_V1-2288	SWE1-VC-SWITCH1Type-004	545	SYS-RA-VF230_V1-2229	vf230_batch06.json
SWE1-VC-SWITCH2Type-033	SYS-RA-VF230_V1-2290	SWE1-VC-SWITCH2Type-006	547	SYS-RA-VF230_V1-2231	vf230_batch06.json
SWE1-VC-SWITCH2Type-034	SYS-RA-VF230_V1-2291	SWE1-VC-SWITCH2Type-007	550	SYS-RA-VF230_V1-2232	vf230_batch06.json
SWE1-VC-SWITCH2Type-035	SYS-RA-VF230_V1-2292	SWE1-VC-SWITCH2Type-008	553	SYS-RA-VF230_V1-2233	vf230_batch06.json
SWE1-VC-SWITCH3Type-037	SYS-RA-VF230_V1-2294	SWE1-VC-SWITCH3Type-010	557	SYS-RA-VF230_V1-2235	vf230_batch06.json
SWE1-VC-SWITCH3Type-038	SYS-RA-VF230_V1-2295	SWE1-VC-SWITCH3Type-011	561	SYS-RA-VF230_V1-2236	vf230_batch06.json
SWE1-VC-SWITCH3Type-039	SYS-RA-VF230_V1-2296	SWE1-VC-SWITCH3Type-012	565	SYS-RA-VF230_V1-2237	vf230_batch06.json
SWE1-VC-SWITCH4Type-041	SYS-RA-VF230_V1-2298	SWE1-VC-SWITCH4Type-014	569	SYS-RA-VF230_V1-2239	vf230_batch07.json
SWE1-VC-SWITCH4Type-042	SYS-RA-VF230_V1-2299	SWE1-VC-SWITCH4Type-015	571	SYS-RA-VF230_V1-2240	vf230_batch07.json
SWE1-VC-SWITCH4Type-043	SYS-RA-VF230_V1-2300	SWE1-VC-SWITCH4Type-016	574	SYS-RA-VF230_V1-2241	vf230_batch07.json
SWE1-VC-SWITCH1HoldLastState-054	SYS-RA-VF230_V1-2310	SWE1-VC-SWITCH1HoldLastState-018	577	SYS-RA-VF230_V1-2243	vf230_batch07.json
SWE1-VC-SWITCH1HoldLastState-055	SYS-RA-VF230_V1-2311	SWE1-VC-SWITCH1HoldLastState-019	580	SYS-RA-VF230_V1-2244	vf230_batch07.json
SWE1-VC-SWITCH1HoldLastState-056	SYS-RA-VF230_V1-2312	SWE1-VC-SWITCH1HoldLastState-020	582	SYS-RA-VF230_V1-2245	vf230_batch07.json
