old_b	new_b	req_id
305	244	SWE1-VC-4AUXSwitches-028
414	245	SWE1-VC-6AuxSwitches-002
422	246	SWE1-VC-6AuxSwitches-003
319	247	SWE1-VC-AutoDoorLocks-015
326	248	SWE1-VC-AutoDoorLocks-016
451	249	SWE1-VC-AutoFoldMirrors-032
456	250	SWE1-VC-AutoFoldMirrors-033
461	251	SWE1-VC-AutoFoldMirrors-034
465	252	SWE1-VC-AutoFoldMirrors-035
468	253	SWE1-VC-AutoFoldMirrors-036
484	254	SWE1-VC-AutoHighBeam-084
486	255	SWE1-VC-AutoHighBeam-085
589	256	SWE1-VC-AutoHighBeam-086
591	257	SWE1-VC-AutoHighBeam-087
593	258	SWE1-VC-AutoHighBeam-088
498	259	SWE1-VC-AutoOnDriverComfort-2Option-103
616	260	SWE1-VC-AutoOnDriverComfort-2Option-105
618	261	SWE1-VC-AutoOnDriverComfort-2Option-106
620	262	SWE1-VC-AutoOnDriverComfort-2Option-107
493	263	SWE1-VC-AutoOnDriverComfort-3Option-096
495	264	SWE1-VC-AutoOnDriverComfort-3Option-097
604	265	SWE1-VC-AutoOnDriverComfort-3Option-098
607	266	SWE1-VC-AutoOnDriverComfort-3Option-099
610	267	SWE1-VC-AutoOnDriverComfort-3Option-100
613	268	SWE1-VC-AutoOnDriverComfort-3Option-101
331	269	SWE1-VC-AutoParkBrake-021
339	270	SWE1-VC-AutoParkBrake-022
546	271	SWE1-VC-AutoParkBrake-023
549	272	SWE1-VC-AutoParkBrake-024
552	273	SWE1-VC-AutoParkBrake-025
382	274	SWE1-VC-AutoUnlockonExit-040
393	275	SWE1-VC-AutoUnlockonExit-041
570	276	SWE1-VC-AutoUnlockonExit-042
572	277	SWE1-VC-AutoUnlockonExit-043
575	278	SWE1-VC-AutoUnlockonExit-044
502	279	SWE1-VC-AutomaticTrailerLight Check-039
505	280	SWE1-VC-AutomaticTrailerLight Check-040
583	281	SWE1-VC-AutomaticTrailerLight Check-041
585	282	SWE1-VC-AutomaticTrailerLight Check-042
587	283	SWE1-VC-AutomaticTrailerLight Check-043
686	284	SWE1-VC-Blind Spot with Trailer Detection-045
692	285	SWE1-VC-Blind Spot with Trailer Detection-046
245	286	SWE1-VC-Blind Spot with Trailer Detection-047
249	287	SWE1-VC-Blind Spot with Trailer Detection-048
697	288	SWE1-VC-Blind Spot with Trailer Detection-049
683	289	SWE1-VC-BlindSpotAlert-002
689	290	SWE1-VC-BlindSpotAlert-003
695	291	SWE1-VC-BlindSpotAlert-004
247	292	SWE1-VC-BlindSpotAlert-005
251	293	SWE1-VC-BlindSpotAlert-006
252	294	SWE1-VC-BlindSpotAlert-007
352	295	SWE1-VC-CHMSL CAMERA DYNAMIC CENTERLINE-134
360	296	SWE1-VC-CHMSL CAMERA DYNAMIC CENTERLINE-135
447	297	SWE1-VC-ChargePowerLevel-046
452	298	SWE1-VC-ChargePowerLevel-047
457	299	SWE1-VC-ChargePowerLevel-048
462	300	SWE1-VC-ChargePowerLevel-049
466	301	SWE1-VC-ChargePowerLevel-050
469	302	SWE1-VC-ChargePowerLevel-051
542	303	SWE1-VC-ConsumptionUnit-031
299	304	SWE1-VC-CorneringLights-002
308	305	SWE1-VC-CorneringLights-003
332	306	SWE1-VC-CorneringLights-006
