leaf_id	form	class	reason	dr	unblock
SWE1-VC-LaneSenseWarning-016	訊號送出型	純 propId 式	條文無 TELEMATIC_* 訊號名，TC 之訊號來源未驗		須完成一次書寫式查證（R-VF74）
SWE1-VC-LaneSenseWarning-017	訊號送出型	純 propId 式	條文無 TELEMATIC_* 訊號名，TC 之訊號來源未驗		須完成一次書寫式查證（R-VF74）
SWE1-VC-LaneSenseWarning-018	訊號送出型	純 propId 式	條文無 TELEMATIC_* 訊號名，TC 之訊號來源未驗		須完成一次書寫式查證（R-VF74）
SWE1-VC-ForwardCollisionWarning-036	訊號送出型	純 propId 式	條文無 TELEMATIC_* 訊號名，TC 之訊號來源未驗		須完成一次書寫式查證（R-VF74）
SWE1-VC-ForwardCollisionWarning-037	訊號送出型	純 propId 式	條文無 TELEMATIC_* 訊號名，TC 之訊號來源未驗		須完成一次書寫式查證（R-VF74）
SWE1-VC-ForwardCollisionWarning-038	訊號送出型	純 propId 式	條文無 TELEMATIC_* 訊號名，TC 之訊號來源未驗		須完成一次書寫式查證（R-VF74）
SWE1-VC-PedestrianEmergencyBrakingorWarning&ActiveBraking-050	訊號送出型	純 propId 式	條文無 TELEMATIC_* 訊號名，TC 之訊號來源未驗		須完成一次書寫式查證（R-VF74）
SWE1-VC-PedestrianEmergencyBrakingorWarning&ActiveBraking-051	訊號送出型	純 propId 式	條文無 TELEMATIC_* 訊號名，TC 之訊號來源未驗		須完成一次書寫式查證（R-VF74）
SWE1-VC-CorneringLights-004	訊號送出型	純 propId 式	條文無 TELEMATIC_* 訊號名，TC 之訊號來源未驗		須完成一次書寫式查證（R-VF74）
SWE1-VC-CorneringLights-005	訊號送出型	純 propId 式	條文無 TELEMATIC_* 訊號名，TC 之訊號來源未驗		須完成一次書寫式查證（R-VF74）
SWE1-VC-GreetingLights-010	訊號送出型	純 propId 式	條文無 TELEMATIC_* 訊號名，TC 之訊號來源未驗		須完成一次書寫式查證（R-VF74）
SWE1-VC-GreetingLights-011	訊號送出型	純 propId 式	條文無 TELEMATIC_* 訊號名，TC 之訊號來源未驗		須完成一次書寫式查證（R-VF74）
