file	chars	parsed	Fail_Present	STATFailSts	Heated Steering Wheel Icon	Left Side	Right Side
APAC COLLATION REQUIREMENTS R1 Logic and Flow SR24 1A (May 27 2021).pdf	9644	YES	0	0	0	0	0
APAC Keyboard HMI Logic and Flow SR23_24_25 CR 21422_21423_21570 (Aug 28 2022).pdf	50820	YES	0	0	0	0	0
APAC SEARCH REQUIREMENTS R1 SR24 1A (May 27 2021).pdf	6827	YES	0	0	0	0	0
APAC Tuner HMI Logic and Flow Logic and Flow SR24 1A (May 27 2021).pdf	6582	YES	0	0	0	0	0
ARABIC mirroring HMI L&F 1.0 R1L-R (February 12 2026).pdf	39428	YES	0	0	0	0	0
Active Parksense Semi - HMI Logic and Flow R1 SR24 1A (June 1 2021).pdf	12218	YES	0	0	0	0	0
Active Rear Cross Path Detection with AEB Logic and Flow R1 SR24 1A (June 1 2021).pdf	22810	YES	0	0	0	0	0
Announcements HMI Logic and Flow R1 SR24 1A (May 3, 2021).pdf	3803	YES	0	0	0	0	0
App Store HMI Logic and Flow R1 SR24 Post 2A (January 22 2022).pdf	5225	YES	0	0	0	0	0
BEV HMI Logic and Flow R1 SR24 2A (July 2 2024).pdf	124175	YES	0	0	0	0	0
Bed Lowering Mode HMI Logic and Flow R1 SR24 1A (June 21 2021).pdf	8254	YES	0	0	0	0	0
Car Door Open Alert HMI Logic and Flow R1 SR 24 1A.pdf	12649	YES	0	0	0	0	0
Comfort HMI Logic and Flow R1 SR25 Post 3A CR29359 (Feb 24 2025).pdf	64978	YES	0	0	0	0	0
Connected Personal Account HMI Logic and Flow R1 SR24 Post2A CR22839 (March 3 2023).pdf	17751	YES	0	0	0	0	0
Core HMI Logic and Flow R1 SR24 Post 2A (February 2 2023).pdf	21	NO					
DTV HMI Logic and Flow R1 10.25 12.3 SR24 1 (May 27 2021).pdf	6589	YES	0	0	0	0	0
DTV HMI Logic and Flow R1 8.4 10.1 12 SR24 1A (May 27 2021).pdf	6786	YES	0	0	0	0	0
DXR (Drive eXperience Recorder) HMI Logic and Flow R1 SR24 Post 2A (April 28, 2022).pdf	27569	YES	0	0	0	0	0
Device Manager HMI Logic and Flow R1 SR24 Post 2A (March 13 2023).pdf	28253	YES	0	0	0	0	0
Digital Keys HMI Logic and Flow R1 SR24 Post 2A (June 20 2023).pdf	37937	YES	0	0	0	0	0
Drive Modes HMI Logic and Flow R1 SR25 Post 2A (Aug 05, 2024).pdf	49572	YES	0	0	0	0	0
Driver Lockout HMI Logic and Flow R1 SR24 1A (May 3 2021).pdf	4073	YES	0	0	0	0	0
EV Sound Generator 1.0 HMI Logic and Flow R1 SR24 2A (Oct 20, 2021).pdf	7469	YES	0	0	0	0	0
Fuel Cell HMI Logic and Flow R1 SR24 2A (June 7 2024).pdf	37605	YES	0	0	0	0	0
HEV HMI Logic and Flow R1 SR24 2A (March 22 2023).pdf	18805	YES	0	0	0	0	0
HMI Read Me R1 SR24 Post 1A (September 27 2021).pdf	5321	YES	0	0	0	0	0
HMI Settings List R1 SR25 Post R1L-R (Feb 13 2026).xlsx	86114	YES	0	0	0	0	0
Hard Controls HMI Logic and Flow R1L-R (February 12 2026).pdf	7818	YES	0	0	0	0	0
Head Unit Video Player HMI Logic and Flow R1 SR24 1A (May 24 2021).pptx.pdf	2947	YES	0	0	0	0	0
HeadUnitCameraSystems HMI Logic and Flow R1 SR24 Post 2A v7 (February 10th, 2023).pdf	150488	YES	0	0	0	0	0
Home Screen HMI Logic and Flow R1 SR25 Post 2A (March 10 2023).pdf	31378	YES	0	0	0	0	0
Home Screen HMI Logic&Flow(26PI).pdf	23244	YES	0	0	0	0	0
Home Screen HMI Logic&FlowChange Log(26PI).xlsx	1186	YES	0	0	0	0	0
Japan_Search R1 SR24 1A (May 27 2021).pdf	5898	YES	0	0	0	0	0
Japanese typewriter test scenario (lessens and learned) R1 SR24 1A (May 27 2021).pdf	2928	YES	0	0	0	0	0
Jeep Off Road Pages 2.1 HMI Logic and Flow R1L-R SR24 Post 1A (Feb 12 2026).pptx	1207897	YES	0	0	0	0	0
Keyboards HMI Logic and Flow R1L-R (June 6 2022).pdf	20586	YES	0	0	0	0	0
Keysense HMI Logic and Flow R1 SR24 Post 2A (June 3 2022).pdf	10470	YES	0	0	0	0	0
Last Mode Table HMI Logic and Flow R1L-R (August 2 2021).xlsx	38271	YES	0	0	0	0	0
MHEV HMI Logic and Flow R1 SR24 2A (June 7 2024).pdf	14139	YES	0	0	0	0	0
Market HMI Logic and Flow R1 SR24 1A (June 21 2021).pdf	1968	YES	0	0	0	0	0
Massage Seats HMI Logic and Flow R1 SR24 Post 2A CR20339 (January 24 2022).pdf	4499	YES	0	0	0	0	0
Media HMI Logic and Flow R1L-L (Febuary 9th, 2026).pdf	72099	YES	0	0	0	0	0
Menu Bar and App Drawer HMI Logic and Flow R1 SR24 3A (September 11 2023).pdf	24622	YES	0	0	0	0	0
Notifications HMI Logic and Flow R1L-R (Feb 13 2026).pdf	8731	YES	0	0	0	0	0
Off Road Pages 2.0 HMI Logic and Flow R1L-R SR24 Post 2A (Feb 12, 2026).pptx	626115	YES	0	0	0	0	0
