old_row	new_row	old_tc_id	new_tc_id	requirement_id
10	10	NR1L-VehicleSetting-001	NR1L-VehicleSetting-001	SWE1-VC-Stop-StartSystem-002
11	11	NR1L-VehicleSetting-002	NR1L-VehicleSetting-002	SWE1-VC-Stop-StartSystem-002
12	12	NR1L-VehicleSetting-003	NR1L-VehicleSetting-003	SWE1-VC-Stop-StartSystem-002
13	13	NR1L-VehicleSetting-004	NR1L-VehicleSetting-004	SWE1-VC-Stop-StartSystem-003
14	14	NR1L-VehicleSetting-005	NR1L-VehicleSetting-005	SWE1-VC-Stop-StartSystem-004
15	15	NR1L-VehicleSetting-006	NR1L-VehicleSetting-006	SWE1-VC-Stop-StartSystem-005
16	16	NR1L-VehicleSetting-007	NR1L-VehicleSetting-007	SWE1-VC-Stop-StartSystem-006
17	17	NR1L-VehicleSetting-008	NR1L-VehicleSetting-008	SWE1-VC-Stop-StartSystem-007
18	18	NR1L-VehicleSetting-009	NR1L-VehicleSetting-009	SWE1-VC-SwitchLHD/RHDConfiguration-009
19	19	NR1L-VehicleSetting-010	NR1L-VehicleSetting-010	SWE1-VC-SwitchLHD/RHDConfiguration-010
20	20	NR1L-VehicleSetting-011	NR1L-VehicleSetting-011	SWE1-VC-SwitchLHD/RHDConfiguration-011
21	21	NR1L-VehicleSetting-012	NR1L-VehicleSetting-012	SWE1-VC-ThirdRowHeadrestDump-025
22	22	NR1L-VehicleSetting-013	NR1L-VehicleSetting-013	SWE1-VC-ThirdRowHeadrestDump-026
23		NR1L-VehicleSetting-014	DELETED	SWE1-VC-ThirdRowHeadrestDump-027
24	23	NR1L-VehicleSetting-015	NR1L-VehicleSetting-014	SWE1-VC-ThirdRowHeadrestDump-027
25	24	NR1L-VehicleSetting-016	NR1L-VehicleSetting-015	SWE1-VC-ThirdRowHeadrestDump-028
26	25	NR1L-VehicleSetting-017	NR1L-VehicleSetting-016	SWE1-VC-ThirdRowHeadrestDump-029
27	26	NR1L-VehicleSetting-018	NR1L-VehicleSetting-017	SWE1-VC-ThirdRowHeadrestDump-030
28	27	NR1L-VehicleSetting-019	NR1L-VehicleSetting-018	SWE1-VC-ThirdRowHeadrestDump-031
29	28	NR1L-VehicleSetting-020	NR1L-VehicleSetting-019	SWE1-VC-ThirdRowHeadrestDump-032
30	29	NR1L-VehicleSetting-021	NR1L-VehicleSetting-020	SWE1-VC-ThirdRowHeadrestDump-033
31	30	NR1L-VehicleSetting-022	NR1L-VehicleSetting-021	SWE1-VC-ThirdRowHeadrestDump-034
32	31	NR1L-VehicleSetting-023	NR1L-VehicleSetting-022	SWE1-VC-ThirdRowHeadrestDump-035
33	32	NR1L-VehicleSetting-024	NR1L-VehicleSetting-023	SWE1-VC-ThirdRowHeadrestDump-036
34	33	NR1L-VehicleSetting-025	NR1L-VehicleSetting-024	SWE1-VC-ThirdRowHeadrestDump-037
