leaf_id	layer2	layer3	writable	delegate	generatable	stable_core	blocked_layer	blocked_ref	blocker
SWE1-VC-FeaturesEnableCriteria-021	Common Features	FeaturesEnableCriteria	no	no	no	no			writable=B2
SWE1-VC-FeaturesEnableCriteria-022	Common Features	FeaturesEnableCriteria	no	no	no	no			writable=B2
SWE1-VC-FeaturesEnableCriteria-023	Common Features	FeaturesEnableCriteria	yes	no	yes	yes			
SWE1-VC-HeatedSteeringWheel-003	Heated Steering Wheel	HeatedSteeringWheel	yes	yes	yes	yes			
SWE1-VC-HeatedSteeringWheel-004	Heated Steering Wheel	HeatedSteeringWheel	no	yes	no	no			writable=B2|B3
SWE1-VC-HeatedSteeringWheel-005	Heated Steering Wheel	HeatedSteeringWheel	no	yes	no	no			writable=B2
SWE1-VC-HeatedSteeringWheel-006	Heated Steering Wheel	HeatedSteeringWheel	yes	yes	yes	yes			
SWE1-VC-HeatedSteeringWheel-007	Heated Steering Wheel	HeatedSteeringWheel	yes	yes	yes	yes			
SWE1-VC-HeatedSteeringWheel-008	Heated Steering Wheel	HeatedSteeringWheel	no	yes	no	no			writable=B2
SWE1-VC-HeatedSteeringWheel-009	Heated Steering Wheel	HeatedSteeringWheel	yes	yes	yes	yes			
SWE1-VC-HeatedSteeringWheel-010	Heated Steering Wheel	HeatedSteeringWheel	no	yes	no	no			writable=B2
SWE1-VC-HeatedSteeringWheel-011	Heated Steering Wheel	HeatedSteeringWheel	yes	yes	yes	yes			
SWE1-VC-HeatedSteeringWheel-012	Heated Steering Wheel	HeatedSteeringWheel	yes	yes	yes	yes			
SWE1-VC-HeatedSteeringWheel-013	Heated Steering Wheel	HeatedSteeringWheel	yes	yes	yes	yes			
SWE1-VC-HeatedSteeringWheel-014	Heated Steering Wheel	HeatedSteeringWheel	no	yes	no	no			writable=B2
SWE1-VC-HeatedSteeringWheel-015	Heated Steering Wheel	HeatedSteeringWheel	yes	yes	yes	yes			
SWE1-VC-HeatedSteeringWheel-016	Heated Steering Wheel	HeatedSteeringWheel	yes	yes	yes	yes			
SWE1-VC-HeatedSteeringWheel-017	Heated Steering Wheel	HeatedSteeringWheel	no	yes	no	no			writable=B2
SWE1-VC-HeatedSteeringWheel-018	Heated Steering Wheel	HeatedSteeringWheel	no	yes	no	no			writable=B2
SWE1-VC-HeatedSteeringWheel-019	Heated Steering Wheel	HeatedSteeringWheel	no	yes	no	no			writable=B2
SWE1-VC-HeatedSteeringWheel-020	Heated Steering Wheel	HeatedSteeringWheel	no	yes	no	no			writable=B2
SWE1-VC-HeatedSteeringWheel-021	Heated Steering Wheel	HeatedSteeringWheel	yes	yes	yes	yes			
SWE1-VC-HeatedSteeringWheel-022	Heated Steering Wheel	HeatedSteeringWheel	yes	yes	yes	yes			
SWE1-VC-HeatedSteeringWheelManagement-025	Heated Steering Wheel	HeatedSteeringWheelManagement	no	yes	no	no			writable=B2|quoted_form_risk
SWE1-VC-HeatedSteeringWheelManagement-026	Heated Steering Wheel	HeatedSteeringWheelManagement	yes	blocked	no	no			delegate=blocked
SWE1-VC-HeatedSteeringWheelManagement-027	Heated Steering Wheel	HeatedSteeringWheelManagement	yes	yes	yes	yes			
SWE1-VC-HeatedSteeringWheelManagement-028	Heated Steering Wheel	HeatedSteeringWheelManagement	yes	yes	yes	yes			
SWE1-VC-HeatedSteeringWheelManagement-029	Heated Steering Wheel	HeatedSteeringWheelManagement	no	yes	no	no			writable=B2|quoted_form_risk
SWE1-VC-HeatedSteeringWheelManagement-030	Heated Steering Wheel	HeatedSteeringWheelManagement	no	yes	no	no			writable=B2|quoted_form_risk
SWE1-VC-HeatedSteeringWheelManagement-031	Heated Steering Wheel	HeatedSteeringWheelManagement	yes	blocked	no	no	screen	DR-5-B	delegate=blocked
SWE1-VC-HeatedSteeringWheelManagement-032	Heated Steering Wheel	HeatedSteeringWheelManagement	yes	yes	yes	yes			
SWE1-VC-HeatedSteeringWheelManagement-033	Heated Steering Wheel	HeatedSteeringWheelManagement	no	yes	no	no			writable=B2|quoted_form_risk
