leaf_id	test_set	layer3	delegate	target_feature	basis	screen_source
SWE1-VC-4AUXSwitches-027	Auxiliary Switches	4 AUX Switches	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-4AUXSwitches-028	Auxiliary Switches	4 AUX Switches	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-6AuxSwitches-002	Auxiliary Switches	6 Aux Switches	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-6AuxSwitches-003	Auxiliary Switches	6 Aux Switches	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-AutoDoorLocks-015	Units and Cameras	Auto Door Locks	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-AutoDoorLocks-016	Units and Cameras	Auto Door Locks	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-AutoDoorLocks-017	Units and Cameras	Auto Door Locks	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-AutoDoorLocks-018	Units and Cameras	Auto Door Locks	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-AutoDoorLocks-019	Units and Cameras	Auto Door Locks	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-AutoFoldMirrors-032	Suspension and Comfort	Auto Fold Mirrors	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-AutoFoldMirrors-033	Suspension and Comfort	Auto Fold Mirrors	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-AutoFoldMirrors-034	Suspension and Comfort	Auto Fold Mirrors	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-AutoFoldMirrors-035	Suspension and Comfort	Auto Fold Mirrors	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-AutoFoldMirrors-036	Suspension and Comfort	Auto Fold Mirrors	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-AutoHighBeam-084	Driver Convenience	Auto High Beam	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-AutoHighBeam-085	Driver Convenience	Auto High Beam	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-AutoHighBeam-086	Driver Convenience	Auto High Beam	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-AutoHighBeam-087	Driver Convenience	Auto High Beam	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-AutoHighBeam-088	Driver Convenience	Auto High Beam	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-AutoOnDriverComfort-2Option-103	Driver Convenience	Auto On Driver Comfort - 2 Option	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-AutoOnDriverComfort-2Option-104	Driver Convenience	Auto On Driver Comfort - 2 Option	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-AutoOnDriverComfort-2Option-105	Driver Convenience	Auto On Driver Comfort - 2 Option	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-AutoOnDriverComfort-2Option-106	Driver Convenience	Auto On Driver Comfort - 2 Option	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-AutoOnDriverComfort-2Option-107	Driver Convenience	Auto On Driver Comfort - 2 Option	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-AutoOnDriverComfort-3Option-096	Driver Convenience	Auto On Driver Comfort - 3 Option	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
