leaf_id	test_set	layer3	src_ref	writable	blocker_class	blocker_detail	value_source	dr_id	vcvm_not_clear	disagree
SWE1-VC-BlindSpotAlert-002	Driver Convenience	Blind Spot Alert	SYS-RA-VF230_V1-672	W0					0	0
SWE1-VC-BlindSpotAlert-003	Driver Convenience	Blind Spot Alert	SYS-RA-VF230_V1-673	W0					0	0
SWE1-VC-BlindSpotAlert-004	Driver Convenience	Blind Spot Alert	SYS-RA-VF230_V1-674	W0			BSDEnable_Req=2-DBC		0	0
SWE1-VC-BlindSpotAlert-005	Driver Convenience	Blind Spot Alert	SYS-RA-VF230_V1-675	W0			BSDEnable_Req=2-DBC		0	0
SWE1-VC-BlindSpotAlert-006	Driver Convenience	Blind Spot Alert	SYS-RA-VF230_V1-676	W0			BSDEnable_Req=2-DBC		0	0
SWE1-VC-BlindSpotAlert-007	Driver Convenience	Blind Spot Alert	SYS-RA-VF230_V1-677	W0			BSDEnable=2-DBC		0	0
SWE1-VC-PassiveEntry-009	Driver Convenience	Passive Entry	SYS-RA-VF230_V1-679	W0					0	0
SWE1-VC-PassiveEntry-010	Driver Convenience	Passive Entry	SYS-RA-VF230_V1-680	W0					0	0
SWE1-VC-PassiveEntry-011	Driver Convenience	Passive Entry	SYS-RA-VF230_V1-681	W0			PassiveEntry_Req=2-DBC		0	0
SWE1-VC-PassiveEntry-012	Driver Convenience	Passive Entry	SYS-RA-VF230_V1-682	W0			PassiveEntry_Req=2-DBC		0	0
SWE1-VC-PassiveEntry-013	Driver Convenience	Passive Entry	SYS-RA-VF230_V1-683	W0			PassiveEntry=2-DBC		0	0
SWE1-VC-RemoteDoorUnlock-015	Driver Convenience	Remote Door Unlock	SYS-RA-VF230_V1-685	W0					0	0
SWE1-VC-RemoteDoorUnlock-016	Driver Convenience	Remote Door Unlock	SYS-RA-VF230_V1-686	W0					0	0
SWE1-VC-RemoteDoorUnlock-017	Driver Convenience	Remote Door Unlock	SYS-RA-VF230_V1-687	W0			RemoteDoorUnlock_Req=2-DBC		0	0
SWE1-VC-RemoteDoorUnlock-018	Driver Convenience	Remote Door Unlock	SYS-RA-VF230_V1-688	W0			RemoteDoorUnlock_Req=2-DBC		0	0
SWE1-VC-RemoteDoorUnlock-019	Driver Convenience	Remote Door Unlock	SYS-RA-VF230_V1-689	W0			RemoteDoorUnlock=2-DBC		0	0
SWE1-VC-AutoParkBrake-021	Driver Convenience	Auto Park Brake	SYS-RA-VF230_V1-691	W0					0	0
SWE1-VC-AutoParkBrake-022	Driver Convenience	Auto Park Brake	SYS-RA-VF230_V1-692	W0					0	0
SWE1-VC-AutoParkBrake-023	Driver Convenience	Auto Park Brake	SYS-RA-VF230_V1-693	W0			AutoParkBrake_Req=2-DBC		0	0
SWE1-VC-AutoParkBrake-024	Driver Convenience	Auto Park Brake	SYS-RA-VF230_V1-694	W0			AutoParkBrake_Req=2-DBC		0	0
SWE1-VC-AutoParkBrake-025	Driver Convenience	Auto Park Brake	SYS-RA-VF230_V1-695	W0			AutoParkBrake=2-DBC		0	0
SWE1-VC-HornWithRemoteStart-027	Driver Convenience	Horn With Remote Start	SYS-RA-VF230_V1-697	W0					0	0
SWE1-VC-HornWithRemoteStart-028	Driver Convenience	Horn With Remote Start	SYS-RA-VF230_V1-698	W0					0	0
SWE1-VC-HornWithRemoteStart-029	Driver Convenience	Horn With Remote Start	SYS-RA-VF230_V1-699	W0			SoundHornRemoteStart_Req=2-DBC		0	0
SWE1-VC-HornWithRemoteStart-030	Driver Convenience	Horn With Remote Start	SYS-RA-VF230_V1-700	W0			SoundHornRemoteStart_Req=2-DBC		0	0
SWE1-VC-HornWithRemoteStart-031	Driver Convenience	Horn With Remote Start	SYS-RA-VF230_V1-701	W0			SoundHornRemoteStart=2-DBC		0	0
SWE1-VC-HornWithLock-033	Driver Convenience	Horn With Lock	SYS-RA-VF230_V1-703	W0					0	0
SWE1-VC-HornWithLock-034	Driver Convenience	Horn With Lock	SYS-RA-VF230_V1-704	W0					0	0
SWE1-VC-HornWithLock-035	Driver Convenience	Horn With Lock	SYS-RA-VF230_V1-705	W0			SoundHornLock_Req=2-DBC		0	0
SWE1-VC-HornWithLock-036	Driver Convenience	Horn With Lock	SYS-RA-VF230_V1-706	W0			SoundHornLock_Req=2-DBC		0	0
SWE1-VC-HornWithLock-037	Driver Convenience	Horn With Lock	SYS-RA-VF230_V1-707	W0			SoundHornLock_Req=2-DBC		0	0
SWE1-VC-HornWithLock-038	Driver Convenience	Horn With Lock	SYS-RA-VF230_V1-708	W0			SoundHornLock=2-DBC		0	0
SWE1-VC-AutoUnlockonExit-040	Driver Convenience	Auto Unlock on Exit	SYS-RA-VF230_V1-710	W0					0	0
SWE1-VC-AutoUnlockonExit-041	Driver Convenience	Auto Unlock on Exit	SYS-RA-VF230_V1-711	W0					0	0
SWE1-VC-AutoUnlockonExit-042	Driver Convenience	Auto Unlock on Exit	SYS-RA-VF230_V1-712	W0			AutoUnlockDoorExit_Req=2-DBC		0	0
SWE1-VC-AutoUnlockonExit-043	Driver Convenience	Auto Unlock on Exit	SYS-RA-VF230_V1-713	W0			AutoUnlockDoorExit_Req=2-DBC		0	0
SWE1-VC-AutoUnlockonExit-044	Driver Convenience	Auto Unlock on Exit	SYS-RA-VF230_V1-714	W0			AutoUnlockDoorExit=2-DBC		0	0
SWE1-VC-FlashLightWithLock-046	Driver Convenience	Flash Light With Lock	SYS-RA-VF230_V1-716	W0					0	0
SWE1-VC-FlashLightWithLock-047	Driver Convenience	Flash Light With Lock	SYS-RA-VF230_V1-717	W0					0	0
SWE1-VC-FlashLightWithLock-048	Driver Convenience	Flash Light With Lock	SYS-RA-VF230_V1-718	W0			FlashLightWLock_Req=2-DBC		0	0
SWE1-VC-FlashLightWithLock-049	Driver Convenience	Flash Light With Lock	SYS-RA-VF230_V1-719	W0			FlashLightWLock_Req=2-DBC		0	0
SWE1-VC-FlashLightWithLock-050	Driver Convenience	Flash Light With Lock	SYS-RA-VF230_V1-720	W0			FlashLightWLock=2-DBC		0	0
SWE1-VC-NavigationTurnbyTurn-053	Driver Convenience	Navigation Turn by Turn	SYS-RA-VF230_V1-722	W0					0	0
SWE1-VC-NavigationTurnbyTurn-054	Driver Convenience	Navigation Turn by Turn	SYS-RA-VF230_V1-723	W0					0	0
SWE1-VC-NavigationTurnbyTurn-055	Driver Convenience	Navigation Turn by Turn	SYS-RA-VF230_V1-724	W0			NavigationRepetition_Req=2-DBC		0	0
SWE1-VC-NavigationTurnbyTurn-056	Driver Convenience	Navigation Turn by Turn	SYS-RA-VF230_V1-725	W0			NavigationRepetition_Req=2-DBC		0	0
SWE1-VC-NavigationTurnbyTurn-057	Driver Convenience	Navigation Turn by Turn	SYS-RA-VF230_V1-726	W0			NavRepetition=2-DBC		0	0
SWE1-VC-Language-059	Driver Convenience	Language	SYS-RA-VF230_V1-653	W0					0	0
SWE1-VC-Language-060	Driver Convenience	Language	SYS-RA-VF230_V1-654	W0					0	0
SWE1-VC-Language-061	Driver Convenience	Language	SYS-RA-VF230_V1-655	W0			LanguageSelection_Req=2-DBC		0	0
SWE1-VC-Language-062	Driver Convenience	Language	SYS-RA-VF230_V1-656	W0			LanguageSelection=1-LID		1	0
SWE1-VC-PhoneRepetition-064	Driver Convenience	Phone Repetition	SYS-RA-VF230_V1-728	W0					0	0
SWE1-VC-PhoneRepetition-065	Driver Convenience	Phone Repetition	SYS-RA-VF230_V1-729	W0					0	0
SWE1-VC-PhoneRepetition-066	Driver Convenience	Phone Repetition	SYS-RA-VF230_V1-730	W0			PhoneRepetition_Req=2-DBC		0	0
SWE1-VC-PhoneRepetition-067	Driver Convenience	Phone Repetition	SYS-RA-VF230_V1-731	W0			PhoneRepetition_Req=2-DBC		0	0
SWE1-VC-PhoneRepetition-068	Driver Convenience	Phone Repetition	SYS-RA-VF230_V1-732	W0			PhoneRepetition=2-DBC		0	0
SWE1-VC-ParkSenseRearVolume-070	Driver Convenience	Park Sense Rear Volume	SYS-RA-VF230_V1-734	W0					1	0
SWE1-VC-ParkSenseRearVolume-071	Driver Convenience	Park Sense Rear Volume	SYS-RA-VF230_V1-735	W0					1	0
SWE1-VC-ParkSenseRearVolume-072	Driver Convenience	Park Sense Rear Volume	SYS-RA-VF230_V1-736	W0			PamChimeVolumeRear_Req=2-DBC		0	0
SWE1-VC-ParkSenseRearVolume-073	Driver Convenience	Park Sense Rear Volume	SYS-RA-VF230_V1-737	W0			PamChimeVolumeRear_Req=2-DBC		0	0
SWE1-VC-ParkSenseRearVolume-074	Driver Convenience	Park Sense Rear Volume	SYS-RA-VF230_V1-738	W0			PamChimeVolumeRear_Req=2-DBC		0	0
SWE1-VC-ParkSenseRearVolume-075	Driver Convenience	Park Sense Rear Volume	SYS-RA-VF230_V1-739	W0			PamChimeVolumeRear=1-LID		1	0
SWE1-VC-ParkSenseFrontVolume-077	Driver Convenience	Park Sense Front Volume	SYS-RA-VF230_V1-741	W0					1	0
SWE1-VC-ParkSenseFrontVolume-078	Driver Convenience	Park Sense Front Volume	SYS-RA-VF230_V1-742	W0					1	0
SWE1-VC-ParkSenseFrontVolume-079	Driver Convenience	Park Sense Front Volume	SYS-RA-VF230_V1-743	W0			PamChimeVolumeFront_Req=2-DBC		0	0
SWE1-VC-ParkSenseFrontVolume-080	Driver Convenience	Park Sense Front Volume	SYS-RA-VF230_V1-744	W0			PamChimeVolumeFront_Req=2-DBC		0	0
SWE1-VC-ParkSenseFrontVolume-081	Driver Convenience	Park Sense Front Volume	SYS-RA-VF230_V1-745	W0			PamChimeVolumeFront_Req=2-DBC		0	0
SWE1-VC-ParkSenseFrontVolume-082	Driver Convenience	Park Sense Front Volume	SYS-RA-VF230_V1-746	W0			PamChimeVolumeFront=1-LID		1	0
SWE1-VC-AutoHighBeam-084	Driver Convenience	Auto High Beam	SYS-RA-VF230_V1-748	W0					0	0
SWE1-VC-AutoHighBeam-085	Driver Convenience	Auto High Beam	SYS-RA-VF230_V1-749	W0					0	0
SWE1-VC-AutoHighBeam-086	Driver Convenience	Auto High Beam	SYS-RA-VF230_V1-750	W0			AutoHighBeamEnable_Req=2-DBC		0	0
SWE1-VC-AutoHighBeam-087	Driver Convenience	Auto High Beam	SYS-RA-VF230_V1-751	W0			AutoHighBeamEnable_Req=2-DBC		0	0
SWE1-VC-AutoHighBeam-088	Driver Convenience	Auto High Beam	SYS-RA-VF230_V1-752	W0			AutoHighBeamEnable=2-DBC		0	0
SWE1-VC-RKELinkedtoMemory-090	Driver Convenience	RKE Linked to Memory	SYS-RA-VF230_V1-754	W0					0	0
SWE1-VC-RKELinkedtoMemory-091	Driver Convenience	RKE Linked to Memory	SYS-RA-VF230_V1-755	W0					0	0
SWE1-VC-RKELinkedtoMemory-092	Driver Convenience	RKE Linked to Memory	SYS-RA-VF230_V1-756	W0			RKEMemoryLinkEnable_Req=2-DBC		0	0
