leaf_id	reqid_list	layer3	writable	derivable	quoted_form_risk	blocker_class	blocker_detail	dr_id	blocked_layer	blocked_ref	evidence_note	dr_dependent	driver_reason
SWE1-VC-Stop-StartSystem-002	4858549	Stop-StartSystem	W0										無未解值
SWE1-VC-Stop-StartSystem-003	4858550	Stop-StartSystem	W0										無未解值
SWE1-VC-Stop-StartSystem-004	4858551	Stop-StartSystem	W1			B2	[4858551] `EngRun_Stat` 之值無匯流排對應：IDLE_STBL//UNLIMITED//LIMITED//RUN ‖ [4858551] `ESS_ENG_ST` 之值無匯流排對應：ENS_DSBL	DR-21				DR-19	未解值僅在前件，且前件另有已解條件
SWE1-VC-Stop-StartSystem-005	4858553	Stop-StartSystem	W1			B2	[4858553] `EngRun_Stat` 之值無匯流排對應：IDLE_STBL//UNLIMITED//LIMITED//RUN ‖ [4858553] `ESS_ENG_ST` 之值無匯流排對應：ENS_DSBL	DR-21				DR-19	未解值僅在前件，且前件另有已解條件
SWE1-VC-Stop-StartSystem-006	4858555	Stop-StartSystem	W2			B2	[4858555] `EngRun_Stat` 之值無匯流排對應：IDLE_STBL//UNLIMITED//LIMITED//RUN	DR-21					前件無已解條件 —— 扣除 PENDING 後不足 2 個可執行步驟
SWE1-VC-Stop-StartSystem-007	4858557	Stop-StartSystem	W0										無未解值
SWE1-VC-SwitchLHD/RHDConfiguration-009	4858559	SwitchLHD/RHDConfiguration	W2	yes									未解值位於後件 —— 驗證目標即該值
SWE1-VC-SwitchLHD/RHDConfiguration-010	4858560	SwitchLHD/RHDConfiguration	W2			B1|B2	[4858560] 未具名之交叉參照：`ve] the HMI shall be modified as defined by HMI requirements.` ‖ [4858560] `DriverSide` 之值無匯流排對應：Right hand drive	DR-23|DR-21					未解值位於後件 —— 驗證目標即該值
SWE1-VC-SwitchLHD/RHDConfiguration-011	4858561	SwitchLHD/RHDConfiguration	W0	yes									無未解值
SWE1-VC-SwitchLHD/RHDConfiguration-012	4859508	SwitchLHD/RHDConfiguration	W2	yes								DR-25	未解值位於後件 —— 驗證目標即該值
SWE1-VC-SwitchLHD/RHDConfiguration-013	4859509	SwitchLHD/RHDConfiguration	W2			B1|B2	[4859509] 未具名之交叉參照：`ve] the HMI shall be modified as defined by HMI requirements.` ‖ [4859509] `DriverSide` 之值無匯流排對應：Right hand drive	DR-23|DR-21					未解值位於後件 —— 驗證目標即該值
SWE1-VC-SwitchLHD/RHDConfiguration-014	4859510	SwitchLHD/RHDConfiguration	W0	yes									無未解值
SWE1-VC-PHEVFeatures-017	4859529	PHEVFeatures	W2			B4-preamble							唯一來源條文為適用性前言，無可測之功能行為
SWE1-VC-FeaturesEnableCriteria-021	4859541	FeaturesEnableCriteria	W2			B2	[4859541] `VC_VEH_LINE` 之值無匯流排對應：WL	DR-21					未解值位於後件 —— 驗證目標即該值
SWE1-VC-FeaturesEnableCriteria-022	4859542	FeaturesEnableCriteria	W2			B2	[4859542] `VC_VEH_LINE` 之值無匯流排對應：M4 OR MP	DR-21					未解值位於後件 —— 驗證目標即該值
SWE1-VC-FeaturesEnableCriteria-023	4859543	FeaturesEnableCriteria	W0										無未解值
SWE1-VC-ThirdRowHeadrestDump-025	4858986	ThirdRowHeadrestDump	W0										無未解值
SWE1-VC-ThirdRowHeadrestDump-026	4858987	ThirdRowHeadrestDump	W0										無未解值
SWE1-VC-ThirdRowHeadrestDump-027	4858988	ThirdRowHeadrestDump	W0										無未解值
SWE1-VC-ThirdRowHeadrestDump-028	4858989	ThirdRowHeadrestDump	W2			B3	[4858989] `VC_HdRstPrsnt` 於 LID／DBC／值域資料皆無記載	DR-22					前件無已解條件 —— 扣除 PENDING 後不足 2 個可執行步驟
SWE1-VC-ThirdRowHeadrestDump-029	4858991	ThirdRowHeadrestDump	W2			B2	[4858991] `PowerMode` 之值無匯流排對應：Ignition start / IGN_START	DR-21					未解值位於後件 —— 驗證目標即該值
SWE1-VC-ThirdRowHeadrestDump-030	4858993	ThirdRowHeadrestDump	W0										無未解值
SWE1-VC-ThirdRowHeadrestDump-031	4858994	ThirdRowHeadrestDump	W2			B2	[4858994] `PowerMode` 之值無匯流排對應：Ign. off &amp; acc. (4 position switch) / IGN_OFF_ACC	DR-21					未解值位於後件 —— 驗證目標即該值
SWE1-VC-ThirdRowHeadrestDump-032	4858995	ThirdRowHeadrestDump	W0										無未解值
SWE1-VC-ThirdRowHeadrestDump-033	4858999	ThirdRowHeadrestDump	W2			B2	[4858999] `HdRstRelRq` 之值無匯流排對應：Pressed	DR-21					未解值位於後件 —— 驗證目標即該值
SWE1-VC-ThirdRowHeadrestDump-034	4859000	ThirdRowHeadrestDump	W2			B2	[4859000] `HdRstRelRq` 之值無匯流排對應：Pressed	DR-21					未解值位於後件 —— 驗證目標即該值
SWE1-VC-ThirdRowHeadrestDump-035	4859001	ThirdRowHeadrestDump	W2			B2	[4859001] `HdRstRelRq` 之值無匯流排對應：Not Pressed	DR-21					未解值位於後件 —— 驗證目標即該值
SWE1-VC-ThirdRowHeadrestDump-036	4859002	ThirdRowHeadrestDump	W2			B2	[4859002] `HdRstRelRq` 之值無匯流排對應：Not pressed	DR-21					未解值位於後件 —— 驗證目標即該值
SWE1-VC-ThirdRowHeadrestDump-037	4859030	ThirdRowHeadrestDump	W0										無未解值
SWE1-VC-ThirdRowHeadrestDump-038	4859031	ThirdRowHeadrestDump	W2										未解值位於後件 —— 驗證目標即該值
SWE1-VC-ThirdRowHeadrestDump-039	4859032	ThirdRowHeadrestDump	W2			B1	[4859032] 未具名之交叉參照：`;&gt; [IGN_RUN], the HU shall follow the HMI Logic &amp; Flow to update the state of the R`	DR-23					前件無已解條件 —— 扣除 PENDING 後不足 2 個可執行步驟
SWE1-VC-ThirdRowHeadrestDump-040	4859033	ThirdRowHeadrestDump	W0										無未解值
SWE1-VC-ThirdRowHeadrestDump-041	4859034	ThirdRowHeadrestDump	W0										無未解值
SWE1-VC-ThirdRowHeadrestDump-042	4859035	ThirdRowHeadrestDump	W0										無未解值
SWE1-VC-ThirdRowHeadrestDump-043	4859038	ThirdRowHeadrestDump	W0										無未解值
SWE1-VC-ThirdRowHeadrestDump-044	4859039	ThirdRowHeadrestDump	W0										無未解值
SWE1-VC-ThirdRowHeadrestDump-045	4859040	ThirdRowHeadrestDump	W0										無未解值
SWE1-VC-ScreenOFF-047	4859104	ScreenOFF	W0										無未解值
SWE1-VC-ScreenOFF-048	4859105	ScreenOFF	W2			B2	[4859105] `DSP_SK_PRSNT` 之值無匯流排對應：Present	DR-21					前件無已解條件 —— 扣除 PENDING 後不足 2 個可執行步驟
SWE1-VC-ScreenOFF-049	4859106	ScreenOFF	W0										無未解值
SWE1-VC-ScreenOFF-050	4859107	ScreenOFF	W0										無未解值
SWE1-VC-ScreenOFF-051	4859108	ScreenOFF	W0										無未解值
SWE1-VC-ScreenOFF-052	4859110	ScreenOFF	W0										無未解值
SWE1-VC-StopStartSystemBehavior-054	4859504	StopStartSystemBehavior	W0										無未解值
SWE1-VC-StopStartSystemBehavior-055	4859505	StopStartSystemBehavior	W0										無未解值
SWE1-VC-StopStartSystemBehavior-056	4859506	StopStartSystemBehavior	W0										無未解值
SWE1-VC-LeftFrontHeatedSeat-003	4858302	LeftFrontHeatedSeat	W0										無未解值
SWE1-VC-LeftFrontHeatedSeat-004	4858304;4858334;4858364;4858395	CrossZone Common	W2			B2	[4858304] `Heated_Seat_Levels` 之值無匯流排對應：1；2；3 ‖ [4858334] `Heated_Seat_Levels` 之值無匯流排對應：1；2；3 ‖ [4858364] `Heated_Seat_Levels` 之值無匯流排對應：1；2；3 ‖ [4858395] `Heated_Seat_Levels` 之值無匯流排對應：1；2；3	DR-21			VF664-inferred		未解值位於後件 —— 驗證目標即該值
SWE1-VC-LeftFrontHeatedSeat-005	4858307	LeftFrontHeatedSeat	W2			B2	[4858307] `HeatedSeatFL` 之值無匯流排對應：Heated Seat High / HS_HI；Heated Seat Low / HS_LO；Heated Seat Off / HS_OFF	DR-21					未解值位於後件 —— 驗證目標即該值
SWE1-VC-LeftFrontHeatedSeat-006	4858308	LeftFrontHeatedSeat	W2			B2	[4858308] `HeatedSeatFL` 之值無匯流排對應：Heated Seat High / HS_HI；Heated Seat Low / HS_LO；Heated Seat Medium / HS_MED	DR-21					未解值位於後件 —— 驗證目標即該值
SWE1-VC-LeftFrontHeatedSeat-007	4858309	LeftFrontHeatedSeat	W0										無未解值
SWE1-VC-LeftFrontHeatedSeat-008	4858310	LeftFrontHeatedSeat	W0										無未解值
SWE1-VC-LeftFrontHeatedSeat-009	4858311	LeftFrontHeatedSeat	W2			B2	[4858311] `PrplsnSysAtv` 之值無匯流排對應：Not Active ‖ [4858311] `Hybrid_Type` 之值無匯流排對應：PHEV	DR-21					未解值位於後件 —— 驗證目標即該值
SWE1-VC-LeftFrontHeatedSeat-010	4858316	LeftFrontHeatedSeat	W2			B2	[4858316] `EngRun_Stat` 之值無匯流排對應：IDLE_STBL//UNLIMITED//LIMITED//RUN ‖ [4858316] `Hybrid_Type` 之值無匯流排對應：PHEV	DR-21					未解值位於後件 —— 驗證目標即該值
