row	req_id	setting	needs_path	evidence
14	SWE1-VC-SWITCH5PowerMode-023	SWITCH 5 Power Mode	需路徑	3. Read the Vehicle Settings menu and check that the SWITCH 5 Power Mode setting is displayed as IGNITION
17	SWE1-VC-SWITCH6PowerMode-027	SWITCH 6 Power Mode	需路徑	3. Read the Vehicle Settings menu and check that the SWITCH 6 Power Mode setting is displayed as IGNITION
21	SWE1-VC-SWITCH5Type-047	SWITCH 5 Type	需路徑	3. Read the Vehicle Settings menu and check that the SWITCH 5 Type setting is displayed as Latching
24	SWE1-VC-SWITCH6Type-051	SWITCH 6 Type	需路徑	3. Read the Vehicle Settings menu and check that the SWITCH 6 Type setting is displayed as Latching
27	SWE1-VC-SWITCH5HoldLastState-072	SWITCH 5 Hold Last State	需路徑	3. Read the Vehicle Settings menu and check that the SWITCH 5 Hold Last State setting is displayed as Disable
30	SWE1-VC-SWITCH6HoldLastState-076	SWITCH 6 Hold Last State	需路徑	3. Read the Vehicle Settings menu and check that the SWITCH 6 Hold Last State setting is displayed as Disable
35	SWE1-VC-RearGuidanceLightingwithApproach-082	Rear Guidance Lighting with Approach	需路徑	3. Read the Vehicle Settings menu and check that the Rear Guidance Lighting with Approach setting is displayed as Off_wi
40	SWE1-VC-RearGuidanceLightStatus-088	Rear Guidance Light Status	需路徑	3. Read the Vehicle Settings menu and check that the Rear Guidance Light Status setting is displayed as OFF
48	SWE1-VC-BlindSpotAlert-007	Blind Spot Alert	需路徑	3. Read the Vehicle Settings menu and check that the Blind Spot Alert setting is displayed as Not_Enable
53	SWE1-VC-PassiveEntry-013	Passive Entry	需路徑	3. Read the Vehicle Settings menu and check that the Passive Entry setting is displayed as On
58	SWE1-VC-RemoteDoorUnlock-019	Remote Door Unlock	需路徑	3. Read the Vehicle Settings menu and check that the Remote Door Unlock setting is displayed as Driver
63	SWE1-VC-AutoParkBrake-025	Auto Park Brake	需路徑	3. Read the Vehicle Settings menu and check that the Auto Park Brake setting is displayed as On
68	SWE1-VC-HornWithRemoteStart-031	Horn With Remote Start	需路徑	3. Read the Vehicle Settings menu and check that the Horn With Remote Start setting is displayed as On
74	SWE1-VC-HornWithLock-038	Horn With Lock	需路徑	3. Read the Vehicle Settings menu and check that the Horn With Lock setting is displayed as Off
79	SWE1-VC-AutoUnlockonExit-044	Auto Unlock on Exit	需路徑	3. Read the Vehicle Settings menu and check that the Auto Unlock on Exit setting is displayed as Not_Enable
84	SWE1-VC-FlashLightWithLock-050	Flash Light With Lock	需路徑	3. Read the Vehicle Settings menu and check that the Flash Light With Lock setting is displayed as Off
89	SWE1-VC-NavigationTurnbyTurn-057	Navigation Turn by Turn	需路徑	3. Read the Vehicle Settings menu and check that the Navigation Turn by Turn setting is displayed as Absent
91	SWE1-VC-Language-062	Language	需路徑	3. Read the Vehicle Settings menu and check that the Language setting is displayed as Italian
96	SWE1-VC-PhoneRepetition-068	Phone Repetition	需路徑	3. Read the Vehicle Settings menu and check that the Phone Repetition setting is displayed as Absent
100	SWE1-VC-ParkSenseRearVolume-075	Park Sense Rear Volume	需路徑	3. Read the Vehicle Settings menu and check that the Park Sense Rear Volume setting is displayed as Low
104	SWE1-VC-ParkSenseFrontVolume-082	Park Sense Front Volume	需路徑	3. Read the Vehicle Settings menu and check that the Park Sense Front Volume setting is displayed as Low
109	SWE1-VC-AutoHighBeam-088	Auto High Beam	需路徑	3. Read the Vehicle Settings menu and check that the Auto High Beam setting is displayed as Not_Enable
114	SWE1-VC-RKELinkedtoMemory-094	RKE Linked to Memory	需路徑	3. Read the Vehicle Settings menu and check that the RKE Linked to Memory setting is displayed as Off
120	SWE1-VC-AutoOnDriverComfort-3Option-101	Auto On Driver Comfort - 3 Option	需路徑	3. Read the Vehicle Settings menu and check that the Auto On Driver Comfort - 3 Option setting is displayed as Off
