row	tc_id	req_id	removed_line_no	pre_lines_before	pre_lines_after
14	(F 欄空)	SWE1-VC-SWITCH5PowerMode-023	3	4	3
17	(F 欄空)	SWE1-VC-SWITCH6PowerMode-027	3	4	3
21	(F 欄空)	SWE1-VC-SWITCH5Type-047	3	4	3
24	(F 欄空)	SWE1-VC-SWITCH6Type-051	3	4	3
27	(F 欄空)	SWE1-VC-SWITCH5HoldLastState-072	3	4	3
30	(F 欄空)	SWE1-VC-SWITCH6HoldLastState-076	3	4	3
48	(F 欄空)	SWE1-VC-BlindSpotAlert-007	3	4	3
53	(F 欄空)	SWE1-VC-PassiveEntry-013	3	4	3
63	(F 欄空)	SWE1-VC-AutoParkBrake-025	3	4	3
79	(F 欄空)	SWE1-VC-AutoUnlockonExit-044	3	4	3
89	(F 欄空)	SWE1-VC-NavigationTurnbyTurn-057	3	4	3
91	(F 欄空)	SWE1-VC-Language-062	3	4	3
96	(F 欄空)	SWE1-VC-PhoneRepetition-068	3	3	2
100	(F 欄空)	SWE1-VC-ParkSenseRearVolume-075	3	4	3
104	(F 欄空)	SWE1-VC-ParkSenseFrontVolume-082	3	4	3
120	(F 欄空)	SWE1-VC-AutoOnDriverComfort-3Option-101	3	7	6
124	(F 欄空)	SWE1-VC-AutoOnDriverComfort-2Option-107	3	7	6
137	(F 欄空)	SWE1-VC-CorneringLights-006	3	4	3
140	(F 欄空)	SWE1-VC-GreetingLights-012	3	4	3
146	(F 欄空)	SWE1-VC-SignatureLighting-025	3	4	3
152	(F 欄空)	SWE1-VC-ForwardCollisionWarning-039	3	4	3
158	(F 欄空)	SWE1-VC-PedestrianEmergencyBrakingorWarning&ActiveBraking-052	3	4	3
161	(F 欄空)	SWE1-VC-RainSensingWipers-058	3	4	3
165	(F 欄空)	SWE1-VC-DaytimeRunningLights-006	3	4	3
166	(F 欄空)	SWE1-VC-DaytimeRunningLights-006	3	4	3
181	(F 欄空)	SWE1-VC-PressureUnit-007	3	4	3
209	(F 欄空)	SWE1-VC-PowerLiftgate/TailgateAlert-020	3	4	3
213	(F 欄空)	SWE1-VC-PowerTailgate-027	3	4	3
220	(F 欄空)	SWE1-VC-TrafficSignWarning-035	3	4	3
226	(F 欄空)	SWE1-VC-NewSpeedZoneIndication-042	3	4	3
234	(F 欄空)	SWE1-VC-RearSeatReminder-056	3	4	3
244	(F 欄空)	SWE1-VC-SWITCH1Type-004	3	4	3
247	(F 欄空)	SWE1-VC-SWITCH2Type-008	3	4	3
250	(F 欄空)	SWE1-VC-SWITCH3Type-012	3	4	3
253	(F 欄空)	SWE1-VC-SWITCH4Type-016	3	4	3
256	(F 欄空)	SWE1-VC-SWITCH1HoldLastState-020	3	4	3
259	(F 欄空)	SWE1-VC-SWITCH2HoldLastState-024	3	4	3
262	(F 欄空)	SWE1-VC-SWITCH3HoldLastState-028	3	4	3
265	(F 欄空)	SWE1-VC-SWITCH4HoldLastState-032	3	4	3
285	(F 欄空)	SWE1-VC-SuspensionDefaultRideHeight-025	3	3	2
289	(F 欄空)	SWE1-VC-SWITCH1PowerMode-032	3	4	3
292	(F 欄空)	SWE1-VC-SWITCH2PowerMode-036	3	4	3
295	(F 欄空)	SWE1-VC-SWITCH3PowerMode-040	3	4	3
298	(F 欄空)	SWE1-VC-SWITCH4PowerMode-044	3	4	3
303	(F 欄空)	SWE1-VC-SuspensionServiceMode-006	3	4	3
323	(F 欄空)	SWE1-VC-ReadytoDrivePopUp-030	3	3	2
342	(F 欄空)	SWE1-VC-HillStartAssist-056	3	4	3
347	(F 欄空)	SWE1-VC-HeadlightswithWipers-062	3	4	3
350	(F 欄空)	SWE1-VC-TrailerName-017	3	4	3
368	(F 欄空)	SWE1-VC-PowerSideStep-055	3	4	3
382	(F 欄空)	SWE1-VC-TrafficSignAssistOffset - NAFTASetting-071	3	5	4
399	(F 欄空)	SWE1-VC-TrafficSignAssistOffset - NAFTASetting-089	3	5	4
