row	req_id	setting	reason
400	SWE1-VC-TrafficSignAssistOffset - non-NAFTASetting-091	Traffic Sign Assist Offset - non-NAFTA Setting	R-VS84(4) 非 NAFTA
401	SWE1-VC-TrafficSignAssistOffset - non-NAFTASetting-092	Traffic Sign Assist Offset - non-NAFTA Setting	R-VS84(4) 非 NAFTA
402	SWE1-VC-TrafficSignAssistOffset - non-NAFTASetting-094	Traffic Sign Assist Offset - non-NAFTA Setting	R-VS84(4) 非 NAFTA
403	SWE1-VC-TrafficSignAssistOffset - non-NAFTASetting-095	Traffic Sign Assist Offset - non-NAFTA Setting	R-VS84(4) 非 NAFTA
404	SWE1-VC-TrafficSignAssistOffset - non-NAFTASetting-096	Traffic Sign Assist Offset - non-NAFTA Setting	R-VS84(4) 非 NAFTA
405	SWE1-VC-TrafficSignAssistOffset - non-NAFTASetting-097	Traffic Sign Assist Offset - non-NAFTA Setting	R-VS84(4) 非 NAFTA
406	SWE1-VC-TrafficSignAssistOffset - non-NAFTASetting-098	Traffic Sign Assist Offset - non-NAFTA Setting	R-VS84(4) 非 NAFTA
407	SWE1-VC-TrafficSignAssistOffset - non-NAFTASetting-099	Traffic Sign Assist Offset - non-NAFTA Setting	R-VS84(4) 非 NAFTA
408	SWE1-VC-TrafficSignAssistOffset - non-NAFTASetting-100	Traffic Sign Assist Offset - non-NAFTA Setting	R-VS84(4) 非 NAFTA
409	SWE1-VC-TrafficSignAssistOffset - non-NAFTASetting-102	Traffic Sign Assist Offset - non-NAFTA Setting	R-VS84(4) 非 NAFTA
410	SWE1-VC-TrafficSignAssistOffset - non-NAFTASetting-103	Traffic Sign Assist Offset - non-NAFTA Setting	R-VS84(4) 非 NAFTA
411	SWE1-VC-TrafficSignAssistOffset - non-NAFTASetting-104	Traffic Sign Assist Offset - non-NAFTA Setting	R-VS84(4) 非 NAFTA
412	SWE1-VC-TrafficSignAssistOffset - non-NAFTASetting-105	Traffic Sign Assist Offset - non-NAFTA Setting	R-VS84(4) 非 NAFTA
413	SWE1-VC-TrafficSignAssistOffset - non-NAFTASetting-106	Traffic Sign Assist Offset - non-NAFTA Setting	R-VS84(4) 非 NAFTA
414	SWE1-VC-TrafficSignAssistOffset - non-NAFTASetting-107	Traffic Sign Assist Offset - non-NAFTA Setting	R-VS84(4) 非 NAFTA
415	SWE1-VC-TrafficSignAssistOffset - non-NAFTASetting-108	Traffic Sign Assist Offset - non-NAFTA Setting	R-VS84(4) 非 NAFTA
416	SWE1-VC-TrafficSignAssistOffset - non-NAFTASetting-109	Traffic Sign Assist Offset - non-NAFTA Setting	R-VS84(4) 非 NAFTA
417	SWE1-VC-TrafficSignAssistOffset - non-NAFTASetting-111	Traffic Sign Assist Offset - non-NAFTA Setting	R-VS84(4) 非 NAFTA
418	SWE1-VC-TrafficSignAssistOffset - non-NAFTASetting-113	Traffic Sign Assist Offset - non-NAFTA Setting	R-VS84(4) 非 NAFTA
