row	tc_id	setting	alias_status	path_now	path_proposed	control_proposed	proxi_now	proxi_proposed	flags
10	(F 欄空)	6 Aux Switches	manual	（無逐層路徑：Open the Vehicle Settings menu）			PROXI $AUX_Switch_Types$ is set to "Not Type2"	PROXI AUX_Switch_Types = 0 (Absent)｜負向 TC 依 §4 取 Absent	ALIAS_MANUAL;ALIAS_MANUAL_NO_PATH;PATH_ABSENT;RAW_MISSING｜分支 (1) 形制改寫
11	(F 欄空)	6 Aux Switches	manual	（無逐層路徑：Open the Vehicle Settings menu）			PROXI $AUX_Switch_Types$ is set to "Type2"	PROXI AUX_Switch_Types = ? (Type2)	ALIAS_MANUAL;ALIAS_MANUAL_NO_PATH;PATH_ABSENT;RAW_MISSING｜分支 (1) 形制改寫
12	(F 欄空)	SWITCH 5 Power Mode	manual	（無逐層路徑：Open the Vehicle Settings menu）	Settings > Aux Switches > Aux 5 > Power Source	2 radio buttons "Battery" / "Ignition"		PROXI AUX_Switch_Types = 2 (Type 2)	ALIAS_MANUAL;FAMILY_GATE;PATH_ABSENT｜分支 (2b) 家族閘 No.267
13	(F 欄空)	SWITCH 5 Power Mode	manual	（無逐層路徑：Open the Vehicle Settings menu）	Settings > Aux Switches > Aux 5 > Power Source	2 radio buttons "Battery" / "Ignition"		PROXI AUX_Switch_Types = 2 (Type 2)	ALIAS_MANUAL;FAMILY_GATE;PATH_ABSENT｜分支 (2b) 家族閘 No.267
14	(F 欄空)	SWITCH 5 Power Mode	manual		Settings > Aux Switches > Aux 5 > Power Source	2 radio buttons "Battery" / "Ignition"		PROXI AUX_Switch_Types = 2 (Type 2)	ALIAS_MANUAL;FAMILY_GATE;PATH_ABSENT｜分支 (2b) 家族閘 No.267
15	(F 欄空)	SWITCH 6 Power Mode	manual	（無逐層路徑：Open the Vehicle Settings menu）	Settings > Aux Switches > Aux 6 > Power Source	2 radio buttons "Battery" / "Ignition"		PROXI AUX_Switch_Types = 2 (Type 2)	ALIAS_MANUAL;FAMILY_GATE;PATH_ABSENT｜分支 (2b) 家族閘 No.267
16	(F 欄空)	SWITCH 6 Power Mode	manual	（無逐層路徑：Open the Vehicle Settings menu）	Settings > Aux Switches > Aux 6 > Power Source	2 radio buttons "Battery" / "Ignition"		PROXI AUX_Switch_Types = 2 (Type 2)	ALIAS_MANUAL;FAMILY_GATE;PATH_ABSENT｜分支 (2b) 家族閘 No.267
17	(F 欄空)	SWITCH 6 Power Mode	manual		Settings > Aux Switches > Aux 6 > Power Source	2 radio buttons "Battery" / "Ignition"		PROXI AUX_Switch_Types = 2 (Type 2)	ALIAS_MANUAL;FAMILY_GATE;PATH_ABSENT｜分支 (2b) 家族閘 No.267
18	(F 欄空)	SWITCH 1 Type	manual	（無逐層路徑：Open the Vehicle Settings menu）	Settings > Aux Switches > Aux 1 > Type	2 radio buttons "Latching" / "Momentary"		PROXI AUX_Switch_Types = 1 (Type 1)	ALIAS_MANUAL;FAMILY_GATE;PATH_ABSENT｜分支 (2b) 家族閘 No.267
19	(F 欄空)	SWITCH 5 Type	manual	（無逐層路徑：Open the Vehicle Settings menu）	Settings > Aux Switches > Aux 5 > Type	2 radio buttons "Latching" / "Momentary"		PROXI AUX_Switch_Types = 2 (Type 2)	ALIAS_MANUAL;FAMILY_GATE;PATH_ABSENT｜分支 (2b) 家族閘 No.267
20	(F 欄空)	SWITCH 5 Type	manual	（無逐層路徑：Open the Vehicle Settings menu）	Settings > Aux Switches > Aux 5 > Type	2 radio buttons "Latching" / "Momentary"		PROXI AUX_Switch_Types = 2 (Type 2)	ALIAS_MANUAL;FAMILY_GATE;PATH_ABSENT｜分支 (2b) 家族閘 No.267
21	(F 欄空)	SWITCH 5 Type	manual		Settings > Aux Switches > Aux 5 > Type	2 radio buttons "Latching" / "Momentary"		PROXI AUX_Switch_Types = 2 (Type 2)	ALIAS_MANUAL;FAMILY_GATE;PATH_ABSENT｜分支 (2b) 家族閘 No.267
22	(F 欄空)	SWITCH 6 Type	manual	（無逐層路徑：Open the Vehicle Settings menu）	Settings > Aux Switches > Aux 6 > Type	2 radio buttons "Latching" / "Momentary"		PROXI AUX_Switch_Types = 2 (Type 2)	ALIAS_MANUAL;FAMILY_GATE;PATH_ABSENT｜分支 (2b) 家族閘 No.267
23	(F 欄空)	SWITCH 6 Type	manual	（無逐層路徑：Open the Vehicle Settings menu）	Settings > Aux Switches > Aux 6 > Type	2 radio buttons "Latching" / "Momentary"		PROXI AUX_Switch_Types = 2 (Type 2)	ALIAS_MANUAL;FAMILY_GATE;PATH_ABSENT｜分支 (2b) 家族閘 No.267
24	(F 欄空)	SWITCH 6 Type	manual		Settings > Aux Switches > Aux 6 > Type	2 radio buttons "Latching" / "Momentary"		PROXI AUX_Switch_Types = 2 (Type 2)	ALIAS_MANUAL;FAMILY_GATE;PATH_ABSENT｜分支 (2b) 家族閘 No.267
25	(F 欄空)	SWITCH 5 Hold Last State	manual	（無逐層路徑：Open the Vehicle Settings menu）	Settings > Aux Switches > Aux 5 > Recall Last State	On/Off Checkbox		PROXI AUX_Switch_Types = 2 (Type 2)	ALIAS_MANUAL;FAMILY_GATE;PATH_ABSENT｜分支 (2b) 家族閘 No.267
26	(F 欄空)	SWITCH 5 Hold Last State	manual	（無逐層路徑：Open the Vehicle Settings menu）	Settings > Aux Switches > Aux 5 > Recall Last State	On/Off Checkbox		PROXI AUX_Switch_Types = 2 (Type 2)	ALIAS_MANUAL;FAMILY_GATE;PATH_ABSENT｜分支 (2b) 家族閘 No.267
27	(F 欄空)	SWITCH 5 Hold Last State	manual		Settings > Aux Switches > Aux 5 > Recall Last State	On/Off Checkbox		PROXI AUX_Switch_Types = 2 (Type 2)	ALIAS_MANUAL;FAMILY_GATE;PATH_ABSENT｜分支 (2b) 家族閘 No.267
