name	kind	seg1_atl	seg1_atlh	seg2_atlantis	seg2_atlantis_high	can_atl	can_atlh	arch_diff	seg3_637	result
BRAKE1.VehicleSpeedVSOSig	CAN	LID/CAN Mapping/r1736cC/Object Text/R2 去 MESSAGE. 前綴 ; LID/CAN Mapping/r2321cA/Logical Identifier/R2 去 MESSAGE. 前綴	LID/CAN Mapping/r1736cC/Object Text/R2 去 MESSAGE. 前綴 ; LID/CAN Mapping/r2321cA/Logical Identifier/R2 去 MESSAGE. 前綴	BRAKE1.VehicleSpeedVSOSig	BRAKE_FD_2.VehicleSpeedVSOSig		CAN-B FD;FD		BRAKE1.VehicleSpeedVSOSig → SG_ VehicleSpeedVSOSig 在 BO_ STATUS_CCAN3（與規格訊息名 BRAKE1 不符）	訊息名不符(R-13)
BRAKE1.VehicleSpeedVSOSigFailSts	CAN			BRAKE1.VehicleSpeedVSOSigFailSts					BRAKE1.VehicleSpeedVSOSigFailSts → SG_ VehicleSpeedVSOSigFailSts 在 BO_ STATUS_CCAN3（與規格訊息名 BRAKE1 不符）	訊息名不符(R-13)
IFSTATUS_TTM.TrailerConnectionSts	CAN			IFSTATUS_TTM.TrailerConnectionSts					IFSTATUS_TTM.TrailerConnectionSts → SG_ TrailerConnectionSts 在 BO_ STATUS_TTM（與規格訊息名 IFSTATUS_TTM 不符）	訊息名不符(R-13)
IPC_VEHICLE_SETUP.AudioRepetition	CAN			IPC_VEHICLE_SETUP.AudioRepetition					IPC_VEHICLE_SETUP.AudioRepetition → BO_1468 IPC_VEHICLE_SETUP / SG_ AudioRepetition / VAL_ 有 2 項	解得
IPC_VEHICLE_SETUP.AutoHighBeamEnable	CAN			IPC_VEHICLE_SETUP.AutoHighBeamEnable					IPC_VEHICLE_SETUP.AutoHighBeamEnable → BO_1468 IPC_VEHICLE_SETUP / SG_ AutoHighBeamEnable / VAL_ 有 2 項	解得
IPC_VEHICLE_SETUP.AutoParkBrake	CAN			IPC_VEHICLE_SETUP.AutoParkBrake					IPC_VEHICLE_SETUP.AutoParkBrake → BO_1468 IPC_VEHICLE_SETUP / SG_ AutoParkBrake / VAL_ 有 2 項	解得
IPC_VEHICLE_SETUP.AutomaticResetTripB	CAN			IPC_VEHICLE_SETUP.AutomaticResetTripB					查無：IPC_VEHICLE_SETUP.AutomaticResetTripB	未解得(止於段3)
IPC_VEHICLE_SETUP.BSDEnable	CAN			IPC_VEHICLE_SETUP.BSDEnable					IPC_VEHICLE_SETUP.BSDEnable → BO_1468 IPC_VEHICLE_SETUP / SG_ BSDEnable / VAL_ 有 3 項	解得
IPC_VEHICLE_SETUP.ConsumptionUnit	CAN	LID/CAN Mapping/r387cA/Logical Identifier/R2 去 MESSAGE. 前綴 ; LID/CAN Mapping/r387cP/Atlantis Signal Name/R1 逐字 ; LID/CAN Mapping/r387cZ/Atlantis High Signal Name/R1 逐字 ; LID/CAN Mapping/r388cA/Logical Identifier/R2 去 MESSAGE. 前綴	LID/CAN Mapping/r387cA/Logical Identifier/R2 去 MESSAGE. 前綴 ; LID/CAN Mapping/r387cP/Atlantis Signal Name/R1 逐字 ; LID/CAN Mapping/r387cZ/Atlantis High Signal Name/R1 逐字 ; LID/CAN Mapping/r388cA/Logical Identifier/R2 去 MESSAGE. 前綴	IPC_VEHICLE_SETUP.ConsumptionUnit	IPC_VEHICLE_SETUP.ConsumptionUnit		CAN-B		IPC_VEHICLE_SETUP.ConsumptionUnit → BO_1468 IPC_VEHICLE_SETUP / SG_ ConsumptionUnit / VAL_ 有 8 項	解得
IPC_VEHICLE_SETUP.CorneringEnable	CAN			IPC_VEHICLE_SETUP.CorneringEnable					IPC_VEHICLE_SETUP.CorneringEnable → BO_1468 IPC_VEHICLE_SETUP / SG_ CorneringEnable / VAL_ 有 2 項	解得
IPC_VEHICLE_SETUP.DRLEnable	CAN			IPC_VEHICLE_SETUP.DRLEnable					IPC_VEHICLE_SETUP.DRLEnable → BO_1468 IPC_VEHICLE_SETUP / SG_ DRLEnable / VAL_ 有 2 項	解得
IPC_VEHICLE_SETUP.DistanceUnit	CAN	LID/CAN Mapping/r459cA/Logical Identifier/R2 去 MESSAGE. 前綴 ; LID/CAN Mapping/r459cB/Function/R4 R2 去 MESSAGE. 前綴+底線/大小寫 ; LID/CAN Mapping/r459cP/Atlantis Signal Name/R1 逐字	LID/CAN Mapping/r459cA/Logical Identifier/R2 去 MESSAGE. 前綴 ; LID/CAN Mapping/r459cB/Function/R4 R2 去 MESSAGE. 前綴+底線/大小寫 ; LID/CAN Mapping/r459cP/Atlantis Signal Name/R1 逐字	IPC_VEHICLE_SETUP.DistanceUnit			FD		IPC_VEHICLE_SETUP.DistanceUnit → BO_1468 IPC_VEHICLE_SETUP / SG_ DistanceUnit / VAL_ 有 2 項	解得
IPC_VEHICLE_SETUP.ExternalLightSensorLevel	CAN	LID/CAN Mapping/r751cA/Logical Identifier/R2 去 MESSAGE. 前綴 ; LID/CAN Mapping/r751cB/Function/R4 R2 去 MESSAGE. 前綴+底線/大小寫 ; LID/CAN Mapping/r751cP/Atlantis Signal Name/R1 逐字 ; LID/CAN Mapping/r751cZ/Atlantis High Signal Name/R1 逐字	LID/CAN Mapping/r751cA/Logical Identifier/R2 去 MESSAGE. 前綴 ; LID/CAN Mapping/r751cB/Function/R4 R2 去 MESSAGE. 前綴+底線/大小寫 ; LID/CAN Mapping/r751cP/Atlantis Signal Name/R1 逐字 ; LID/CAN Mapping/r751cZ/Atlantis High Signal Name/R1 逐字	IPC_VEHICLE_SETUP.ExternalLightSensorLevel	IPC_VEHICLE_SETUP.ExternalLightSensorLevel				IPC_VEHICLE_SETUP.ExternalLightSensorLevel → BO_1468 IPC_VEHICLE_SETUP / SG_ ExternalLightSensorLevel / VAL_ 有 4 項	解得
IPC_VEHICLE_SETUP.HourMode	CAN	LID/CAN Mapping/r407cP/Atlantis Signal Name/R1 逐字	LID/CAN Mapping/r407cP/Atlantis Signal Name/R1 逐字	IPC_VEHICLE_SETUP.HourMode	TELEMATIC_FD_10.DateTmFormat		FD	YES	IPC_VEHICLE_SETUP.HourMode → BO_1468 IPC_VEHICLE_SETUP / SG_ HourMode / VAL_ 有 2 項	解得
IPC_VEHICLE_SETUP.LanguageSelection	CAN	LID/CAN Mapping/r1111cA/Logical Identifier/R2 去 MESSAGE. 前綴 ; LID/CAN Mapping/r1111cP/Atlantis Signal Name/R1 逐字 ; LID/CAN Mapping/r1111cZ/Atlantis High Signal Name/R1 逐字	LID/CAN Mapping/r1111cA/Logical Identifier/R2 去 MESSAGE. 前綴 ; LID/CAN Mapping/r1111cP/Atlantis Signal Name/R1 逐字 ; LID/CAN Mapping/r1111cZ/Atlantis High Signal Name/R1 逐字	IPC_VEHICLE_SETUP.LanguageSelection	IPC_VEHICLE_SETUP.LanguageSelection		CAN-B		IPC_VEHICLE_SETUP.LanguageSelection → BO_1468 IPC_VEHICLE_SETUP / SG_ LanguageSelection / VAL_ 有 23 項	解得
IPC_VEHICLE_SETUP.NavRepetition	CAN			IPC_VEHICLE_SETUP.NavRepetition					IPC_VEHICLE_SETUP.NavRepetition → BO_1468 IPC_VEHICLE_SETUP / SG_ NavRepetition / VAL_ 有 2 項	解得
IPC_VEHICLE_SETUP.PamAlertMode	CAN	LID/CAN Mapping/r1293cP/Atlantis Signal Name/R1 逐字 ; LID/CAN Mapping/r1293cZ/Atlantis High Signal Name/R1 逐字	LID/CAN Mapping/r1293cP/Atlantis Signal Name/R1 逐字 ; LID/CAN Mapping/r1293cZ/Atlantis High Signal Name/R1 逐字	IPC_VEHICLE_SETUP.PamAlertMode	IPC_VEHICLE_SETUP.PamAlertMode		CAN-B		IPC_VEHICLE_SETUP.PamAlertMode → BO_1468 IPC_VEHICLE_SETUP / SG_ PamAlertMode / VAL_ 有 3 項	解得
IPC_VEHICLE_SETUP.PamChimeVolumeFront	CAN	LID/CAN Mapping/r1301cP/Atlantis Signal Name/R1 逐字	LID/CAN Mapping/r1301cP/Atlantis Signal Name/R1 逐字	IPC_VEHICLE_SETUP.PamChimeVolumeFront					IPC_VEHICLE_SETUP.PamChimeVolumeFront → BO_1468 IPC_VEHICLE_SETUP / SG_ PamChimeVolumeFront / VAL_ 有 3 項	解得
IPC_VEHICLE_SETUP.PamChimeVolumeRear	CAN	LID/CAN Mapping/r1302cP/Atlantis Signal Name/R1 逐字	LID/CAN Mapping/r1302cP/Atlantis Signal Name/R1 逐字	IPC_VEHICLE_SETUP.PamChimeVolumeRear					IPC_VEHICLE_SETUP.PamChimeVolumeRear → BO_1468 IPC_VEHICLE_SETUP / SG_ PamChimeVolumeRear / VAL_ 有 3 項	解得
IPC_VEHICLE_SETUP.PassiveEntry	CAN	LID/CAN Mapping/r1105cB/Function/R4 R2 去 MESSAGE. 前綴+底線/大小寫 ; LID/CAN Mapping/r1588cB/Function/R4 R2 去 MESSAGE. 前綴+底線/大小寫	LID/CAN Mapping/r1105cB/Function/R4 R2 去 MESSAGE. 前綴+底線/大小寫 ; LID/CAN Mapping/r1588cB/Function/R4 R2 去 MESSAGE. 前綴+底線/大小寫	RFHUB3.RFReq	BCM_FD_9.RFReq;RFHUB_FD_1.RFReq		FD	YES	查無：RFHUB3.RFReq	未解得(止於段3)
IPC_VEHICLE_SETUP.PhoneRepetition	CAN			IPC_VEHICLE_SETUP.PhoneRepetition					IPC_VEHICLE_SETUP.PhoneRepetition → BO_1468 IPC_VEHICLE_SETUP / SG_ PhoneRepetition / VAL_ 有 2 項	解得
IPC_VEHICLE_SETUP.RainSensorLevel	CAN			IPC_VEHICLE_SETUP.RainSensorLevel					IPC_VEHICLE_SETUP.RainSensorLevel → BO_1468 IPC_VEHICLE_SETUP / SG_ RainSensorLevel / VAL_ 有 2 項	解得
