spec_name	message	signal	msg_id	GenSigSendType	GenSigStartValue	其他BA_屬性
TELEMATIC_VEHICLE_SETUP.PamAlertMode_Req	TELEMATIC_VEHICLE_SETUP	PamAlertMode_Req	158	1	2	Event trans.=0;GenSigInactiveValue=0
IPC_VEHICLE_SETUP.PamAlertMode	IPC_VEHICLE_SETUP	PamAlertMode	1468	3	2	Event trans.=0;GenSigInactiveValue=0
TELEMATIC_VEHICLE_SETUP.PamChimeVolumeRear_Req	TELEMATIC_VEHICLE_SETUP	PamChimeVolumeRear_Req	158	1	1	Event trans.=0;GenSigInactiveValue=0
IPC_VEHICLE_SETUP.PamChimeVolumeRear	IPC_VEHICLE_SETUP	PamChimeVolumeRear	1468	3	1	Event trans.=0;GenSigInactiveValue=0
TELEMATIC_VEHICLE_SETUP.PamChimeVolumeFront_Req	TELEMATIC_VEHICLE_SETUP	PamChimeVolumeFront_Req	158	1	1	Event trans.=0;GenSigInactiveValue=0
IPC_VEHICLE_SETUP.PamChimeVolumeFront	IPC_VEHICLE_SETUP	PamChimeVolumeFront	1468	3	1	Event trans.=0;GenSigInactiveValue=0
TELEMATIC_VEHICLE_SETUP.AutoHighBeamEnable_Req	TELEMATIC_VEHICLE_SETUP	AutoHighBeamEnable_Req	158	1	1	Accuracy=-;Event trans.=0;GenSigInactiveValue=0
IPC_VEHICLE_SETUP.AutoHighBeamEnable	IPC_VEHICLE_SETUP	AutoHighBeamEnable	1468	3	1	Accuracy=-;Event trans.=0;GenSigInactiveValue=0
TELEMATIC_VEHICLE_SETUP2.TSREnableReq	TELEMATIC_VEHICLE_SETUP2	TSREnableReq	162	1	0	Event trans.=0;GenSigInactiveValue=0
IPC_VEHICLE_SETUP2.TSREnable	IPC_VEHICLE_SETUP2	TSREnable	1486	3	0	Event trans.=0;GenSigInactiveValue=0
TELEMATIC_VEHICLE_SETUP4.Traffic_Sign_Warn_Req	TELEMATIC_VEHICLE_SETUP4	Traffic_Sign_Warn_Req	163	1	1	Event trans.=0;GenSigInactiveValue=0
IPC_VEHICLE_SETUP4.Traffic_Sign_Warn	IPC_VEHICLE_SETUP4	Traffic_Sign_Warn	1485	3	1	Event trans.=0;GenSigInactiveValue=0
