name	kind	sources	seg1_n	seg1	seg2	seg3	result	result_detail	loose_n	loose
IPC_VEHICLE_SETUP.AudioRepetition	CAN	037_desc;diagram;spec_paras	0	(無嚴格命中)	IPC_VEHICLE_SETUP.AudioRepetition		未解得(止於段2)		31	LID/CAN Mapping/Z71=IPC_VEHICLE_SETUP.AmbientLightingL ; LID/CAN Mapping/Z387=IPC_VEHICLE_SETUP.ConsumptionUnit ; LID/CAN Mapping/Z415=IPC_VEHICLE_SETUP.DC_PwrLev ; LID/CAN Mapping/Z454=IPC_VEHICLE_SETUP2.Display_Synch
IPC_VEHICLE_SETUP.AutoHighBeamEnable	CAN	037_desc;spec_paras	0	(無嚴格命中)	IPC_VEHICLE_SETUP.AutoHighBeamEnable	IPC_VEHICLE_SETUP.AutoHighBeamEnable->PDT27_E2A_R1_FDCAN8.dbc	解得	段1未命中；段2=規格原名已為 MESSAGE.Signal 形，段3 DBC 逐字查得	31	LID/CAN Mapping/Z71=IPC_VEHICLE_SETUP.AmbientLightingL ; LID/CAN Mapping/Z387=IPC_VEHICLE_SETUP.ConsumptionUnit ; LID/CAN Mapping/Z415=IPC_VEHICLE_SETUP.DC_PwrLev ; LID/CAN Mapping/Z454=IPC_VEHICLE_SETUP2.Display_Synch
IPC_VEHICLE_SETUP.AutoHighBeamEnableSERVICE_SETUP	CAN	diagram	0	(無嚴格命中)	IPC_VEHICLE_SETUP.AutoHighBeamEnableSERVICE_SETUP		未解得(止於段2)		31	LID/CAN Mapping/Z71=IPC_VEHICLE_SETUP.AmbientLightingL ; LID/CAN Mapping/Z387=IPC_VEHICLE_SETUP.ConsumptionUnit ; LID/CAN Mapping/Z415=IPC_VEHICLE_SETUP.DC_PwrLev ; LID/CAN Mapping/Z454=IPC_VEHICLE_SETUP2.Display_Synch
IPC_VEHICLE_SETUP.AutoParkBrake	CAN	diagram;spec_paras	0	(無嚴格命中)	IPC_VEHICLE_SETUP.AutoParkBrake	IPC_VEHICLE_SETUP.AutoParkBrake->PDT27_E2A_R1_FDCAN8.dbc	解得	段1未命中；段2=規格原名已為 MESSAGE.Signal 形，段3 DBC 逐字查得	31	LID/CAN Mapping/Z71=IPC_VEHICLE_SETUP.AmbientLightingL ; LID/CAN Mapping/Z387=IPC_VEHICLE_SETUP.ConsumptionUnit ; LID/CAN Mapping/Z415=IPC_VEHICLE_SETUP.DC_PwrLev ; LID/CAN Mapping/Z454=IPC_VEHICLE_SETUP2.Display_Synch
IPC_VEHICLE_SETUP.AutomaticResetTripB	CAN	spec_paras;spec_tables	0	(無嚴格命中)	IPC_VEHICLE_SETUP.AutomaticResetTripB		未解得(止於段2)		31	LID/CAN Mapping/Z71=IPC_VEHICLE_SETUP.AmbientLightingL ; LID/CAN Mapping/Z387=IPC_VEHICLE_SETUP.ConsumptionUnit ; LID/CAN Mapping/Z415=IPC_VEHICLE_SETUP.DC_PwrLev ; LID/CAN Mapping/Z454=IPC_VEHICLE_SETUP2.Display_Synch
IPC_VEHICLE_SETUP.BSDEnable	CAN	diagram;spec_paras	0	(無嚴格命中)	IPC_VEHICLE_SETUP.BSDEnable	IPC_VEHICLE_SETUP.BSDEnable->PDT27_E2A_R1_FDCAN8.dbc	解得	段1未命中；段2=規格原名已為 MESSAGE.Signal 形，段3 DBC 逐字查得	31	LID/CAN Mapping/Z71=IPC_VEHICLE_SETUP.AmbientLightingL ; LID/CAN Mapping/Z387=IPC_VEHICLE_SETUP.ConsumptionUnit ; LID/CAN Mapping/Z415=IPC_VEHICLE_SETUP.DC_PwrLev ; LID/CAN Mapping/Z454=IPC_VEHICLE_SETUP2.Display_Synch
IPC_VEHICLE_SETUP.ConsumptionUnit	CAN	037_desc;diagram;spec_paras	1	LID/CAN Mapping/Z387=IPC_VEHICLE_SETUP.ConsumptionUnit[逐字]	IPC_VEHICLE_SETUP.ConsumptionUnit		未解得(止於段2)		30	LID/CAN Mapping/Z71=IPC_VEHICLE_SETUP.AmbientLightingL ; LID/CAN Mapping/Z415=IPC_VEHICLE_SETUP.DC_PwrLev ; LID/CAN Mapping/Z454=IPC_VEHICLE_SETUP2.Display_Synch ; LID/CAN Mapping/Z459=IPC_VEHICLE_SETUP.DistanceUnit (se
IPC_VEHICLE_SETUP.CorneringEnable	CAN	diagram;spec_paras	0	(無嚴格命中)	IPC_VEHICLE_SETUP.CorneringEnable	IPC_VEHICLE_SETUP.CorneringEnable->PDT27_E2A_R1_FDCAN8.dbc	解得	段1未命中；段2=規格原名已為 MESSAGE.Signal 形，段3 DBC 逐字查得	31	LID/CAN Mapping/Z71=IPC_VEHICLE_SETUP.AmbientLightingL ; LID/CAN Mapping/Z387=IPC_VEHICLE_SETUP.ConsumptionUnit ; LID/CAN Mapping/Z415=IPC_VEHICLE_SETUP.DC_PwrLev ; LID/CAN Mapping/Z454=IPC_VEHICLE_SETUP2.Display_Synch
IPC_VEHICLE_SETUP.DRLEnable	CAN	diagram;spec_paras	0	(無嚴格命中)	IPC_VEHICLE_SETUP.DRLEnable	IPC_VEHICLE_SETUP.DRLEnable->PDT27_E2A_R1_FDCAN8.dbc	解得	段1未命中；段2=規格原名已為 MESSAGE.Signal 形，段3 DBC 逐字查得	31	LID/CAN Mapping/Z71=IPC_VEHICLE_SETUP.AmbientLightingL ; LID/CAN Mapping/Z387=IPC_VEHICLE_SETUP.ConsumptionUnit ; LID/CAN Mapping/Z415=IPC_VEHICLE_SETUP.DC_PwrLev ; LID/CAN Mapping/Z454=IPC_VEHICLE_SETUP2.Display_Synch
IPC_VEHICLE_SETUP.DistanceUnit	CAN	037_desc;diagram;spec_paras	0	(無嚴格命中)	IPC_VEHICLE_SETUP.DistanceUnit		未解得(止於段2)		31	LID/CAN Mapping/Z71=IPC_VEHICLE_SETUP.AmbientLightingL ; LID/CAN Mapping/Z387=IPC_VEHICLE_SETUP.ConsumptionUnit ; LID/CAN Mapping/Z415=IPC_VEHICLE_SETUP.DC_PwrLev ; LID/CAN Mapping/Z454=IPC_VEHICLE_SETUP2.Display_Synch
