name	kind	sources	seg1_atl_n	seg1_atlh_n	seg1_atl	seg1_atlh	seg1_other	seg2_atlantis	seg2_atlantis_high	can_atl	can_atlh	seg3_side	result	note
BRAKE1.VehicleSpeedVSOSig	CAN	spec_paras	2	2	LID/CAN Mapping/r1736cC/Object Text/R2 去 MESSAGE. 前綴 ; LID/CAN Mapping/r2321cA/Logical Identifier/R2 去 MESSAGE. 前綴	LID/CAN Mapping/r1736cC/Object Text/R2 去 MESSAGE. 前綴 ; LID/CAN Mapping/r2321cA/Logical Identifier/R2 去 MESSAGE. 前綴		BRAKE1.VehicleSpeedVSOSig	BRAKE_FD_2.VehicleSpeedVSOSig		CAN-B FD;FD	BRAKE1.VehicleSpeedVSOSig->PDT27_E2A_R1_BHCAN2.dbc;PDT27_E2A_R1_FDCAN8.dbc(BO_不符)	訊息名不符(R-13)	段1不適用(R-VL12(c))
BRAKE1.VehicleSpeedVSOSigFailSts	CAN	spec_paras	0	0				BRAKE1.VehicleSpeedVSOSigFailSts					段3待ATL-Mi DBC	段1不適用(R-VL12(c))
IFSTATUS_TTM.TrailerConnectionSts	CAN	spec_paras	0	0				IFSTATUS_TTM.TrailerConnectionSts				IFSTATUS_TTM.TrailerConnectionSts->PDT27_E2A_R1_FDCAN8.dbc(BO_不符)	訊息名不符(R-13)	段1不適用(R-VL12(c))
IPC_VEHICLE_SETUP.AudioRepetition	CAN	037_desc;spec_paras	0	0			PROXI/Format/r530cF/R4 R2 去 MESSAGE. 前綴+底線/大小寫 ; PROXI/Format/r582cF/R5 R2 去 MESSAGE. 前綴+去_Menu/_Setting	IPC_VEHICLE_SETUP.AudioRepetition					段3待ATL-Mi DBC	段1不適用(R-VL12(c))
IPC_VEHICLE_SETUP.AutoHighBeamEnable	CAN	037_desc;spec_paras	0	0				IPC_VEHICLE_SETUP.AutoHighBeamEnable				IPC_VEHICLE_SETUP.AutoHighBeamEnable->PDT27_E2A_R1_FDCAN8.dbc	段3待ATL-Mi DBC	段1不適用(R-VL12(c))
IPC_VEHICLE_SETUP.AutoParkBrake	CAN	spec_paras	0	0			HMI_Settings/Settings/r509cB/R4 R2 去 MESSAGE. 前綴+底線/大小寫 ; PROXI/Format/r578cF/R5 R2 去 MESSAGE. 前綴+去_Menu/_Setting	IPC_VEHICLE_SETUP.AutoParkBrake				IPC_VEHICLE_SETUP.AutoParkBrake->PDT27_E2A_R1_FDCAN8.dbc	段3待ATL-Mi DBC	段1不適用(R-VL12(c))
IPC_VEHICLE_SETUP.AutomaticResetTripB	CAN	spec_paras;spec_tables	0	0			PROXI/Format/r579cF/R5 R2 去 MESSAGE. 前綴+去_Menu/_Setting	IPC_VEHICLE_SETUP.AutomaticResetTripB					段3待ATL-Mi DBC	段1不適用(R-VL12(c))
IPC_VEHICLE_SETUP.BSDEnable	CAN	spec_paras	0	0				IPC_VEHICLE_SETUP.BSDEnable				IPC_VEHICLE_SETUP.BSDEnable->PDT27_E2A_R1_FDCAN8.dbc	段3待ATL-Mi DBC	段1不適用(R-VL12(c))
IPC_VEHICLE_SETUP.ConsumptionUnit	CAN	037_desc;spec_paras	4	4	LID/CAN Mapping/r387cA/Logical Identifier/R2 去 MESSAGE. 前綴 ; LID/CAN Mapping/r387cP/Atlantis Signal Name/R1 逐字 ; LID/CAN Mapping/r387cZ/Atlantis High Signal Name/R1 逐字 ; LID/CAN Mapping/r388cA/Logical Identifier/R2 去 MESSAGE. 前綴	LID/CAN Mapping/r387cA/Logical Identifier/R2 去 MESSAGE. 前綴 ; LID/CAN Mapping/r387cP/Atlantis Signal Name/R1 逐字 ; LID/CAN Mapping/r387cZ/Atlantis High Signal Name/R1 逐字 ; LID/CAN Mapping/r388cA/Logical Identifier/R2 去 MESSAGE. 前綴		IPC_VEHICLE_SETUP.ConsumptionUnit	IPC_VEHICLE_SETUP.ConsumptionUnit		CAN-B		段3待ATL-Mi DBC	
IPC_VEHICLE_SETUP.CorneringEnable	CAN	spec_paras	0	0				IPC_VEHICLE_SETUP.CorneringEnable				IPC_VEHICLE_SETUP.CorneringEnable->PDT27_E2A_R1_FDCAN8.dbc	段3待ATL-Mi DBC	段1不適用(R-VL12(c))
