name	kind	sources	seg1_atl_n	seg1_atlh_n	seg1_atl	seg1_atlh	seg1_other	seg2_atlantis	seg2_atlantis_high	can_atl	can_atlh	seg3_637	seg3_side_high	result	note
BRAKE1.VehicleSpeedVSOSig	CAN	spec_paras	2	2	LID/CAN Mapping/r1736cC/Object Text/R2 去 MESSAGE. 前綴 ; LID/CAN Mapping/r2321cA/Logical Identifier/R2 去 MESSAGE. 前綴	LID/CAN Mapping/r1736cC/Object Text/R2 去 MESSAGE. 前綴 ; LID/CAN Mapping/r2321cA/Logical Identifier/R2 去 MESSAGE. 前綴		BRAKE1.VehicleSpeedVSOSig	BRAKE_FD_2.VehicleSpeedVSOSig		CAN-B FD;FD	BRAKE1.VehicleSpeedVSOSig → SG_ VehicleSpeedVSOSig 在 BO_ STATUS_CCAN3（與規格訊息名 BRAKE1 不符）	BRAKE1.VehicleSpeedVSOSig->PDT27_E2A_R1_BHCAN2.dbc;PDT27_E2A_R1_FDCAN8.dbc	訊息名不符(R-13)	段1不適用(R-VL12(c))
BRAKE1.VehicleSpeedVSOSigFailSts	CAN	spec_paras						BRAKE1.VehicleSpeedVSOSigFailSts				BRAKE1.VehicleSpeedVSOSigFailSts → SG_ VehicleSpeedVSOSigFailSts 在 BO_ STATUS_CCAN3（與規格訊息名 BRAKE1 不符）		訊息名不符(R-13)	段1不適用(R-VL12(c))
IFSTATUS_TTM.TrailerConnectionSts	CAN	spec_paras						IFSTATUS_TTM.TrailerConnectionSts				IFSTATUS_TTM.TrailerConnectionSts → SG_ TrailerConnectionSts 在 BO_ STATUS_TTM（與規格訊息名 IFSTATUS_TTM 不符）	IFSTATUS_TTM.TrailerConnectionSts->PDT27_E2A_R1_FDCAN8.dbc	訊息名不符(R-13)	段1不適用(R-VL12(c))
IPC_VEHICLE_SETUP.AudioRepetition	CAN	037_desc;spec_paras					PROXI/Format/r530cF/R4 R2 去 MESSAGE. 前綴+底線/大小寫 ; PROXI/Format/r582cF/R5 R2 去 MESSAGE. 前綴+去_Menu/_Setting	IPC_VEHICLE_SETUP.AudioRepetition				IPC_VEHICLE_SETUP.AudioRepetition → BO_1468 IPC_VEHICLE_SETUP / SG_ AudioRepetition / VAL_ 有 2 項		解得	段1不適用(R-VL12(c))
IPC_VEHICLE_SETUP.AutoHighBeamEnable	CAN	037_desc;spec_paras						IPC_VEHICLE_SETUP.AutoHighBeamEnable				IPC_VEHICLE_SETUP.AutoHighBeamEnable → BO_1468 IPC_VEHICLE_SETUP / SG_ AutoHighBeamEnable / VAL_ 有 2 項	IPC_VEHICLE_SETUP.AutoHighBeamEnable->PDT27_E2A_R1_FDCAN8.dbc	解得	段1不適用(R-VL12(c))
IPC_VEHICLE_SETUP.AutoParkBrake	CAN	spec_paras					HMI_Settings/Settings/r509cB/R4 R2 去 MESSAGE. 前綴+底線/大小寫 ; PROXI/Format/r578cF/R5 R2 去 MESSAGE. 前綴+去_Menu/_Setting	IPC_VEHICLE_SETUP.AutoParkBrake				IPC_VEHICLE_SETUP.AutoParkBrake → BO_1468 IPC_VEHICLE_SETUP / SG_ AutoParkBrake / VAL_ 有 2 項	IPC_VEHICLE_SETUP.AutoParkBrake->PDT27_E2A_R1_FDCAN8.dbc	解得	段1不適用(R-VL12(c))
IPC_VEHICLE_SETUP.AutomaticResetTripB	CAN	spec_paras;spec_tables					PROXI/Format/r579cF/R5 R2 去 MESSAGE. 前綴+去_Menu/_Setting	IPC_VEHICLE_SETUP.AutomaticResetTripB				查無：IPC_VEHICLE_SETUP.AutomaticResetTripB		未解得(止於段3)	段1不適用(R-VL12(c))
IPC_VEHICLE_SETUP.BSDEnable	CAN	spec_paras						IPC_VEHICLE_SETUP.BSDEnable				IPC_VEHICLE_SETUP.BSDEnable → BO_1468 IPC_VEHICLE_SETUP / SG_ BSDEnable / VAL_ 有 3 項	IPC_VEHICLE_SETUP.BSDEnable->PDT27_E2A_R1_FDCAN8.dbc	解得	段1不適用(R-VL12(c))
IPC_VEHICLE_SETUP.ConsumptionUnit	CAN	037_desc;spec_paras	4	4	LID/CAN Mapping/r387cA/Logical Identifier/R2 去 MESSAGE. 前綴 ; LID/CAN Mapping/r387cP/Atlantis Signal Name/R1 逐字 ; LID/CAN Mapping/r387cZ/Atlantis High Signal Name/R1 逐字 ; LID/CAN Mapping/r388cA/Logical Identifier/R2 去 MESSAGE. 前綴	LID/CAN Mapping/r387cA/Logical Identifier/R2 去 MESSAGE. 前綴 ; LID/CAN Mapping/r387cP/Atlantis Signal Name/R1 逐字 ; LID/CAN Mapping/r387cZ/Atlantis High Signal Name/R1 逐字 ; LID/CAN Mapping/r388cA/Logical Identifier/R2 去 MESSAGE. 前綴		IPC_VEHICLE_SETUP.ConsumptionUnit	IPC_VEHICLE_SETUP.ConsumptionUnit		CAN-B	IPC_VEHICLE_SETUP.ConsumptionUnit → BO_1468 IPC_VEHICLE_SETUP / SG_ ConsumptionUnit / VAL_ 有 8 項		解得	
IPC_VEHICLE_SETUP.CorneringEnable	CAN	spec_paras						IPC_VEHICLE_SETUP.CorneringEnable				IPC_VEHICLE_SETUP.CorneringEnable → BO_1468 IPC_VEHICLE_SETUP / SG_ CorneringEnable / VAL_ 有 2 項	IPC_VEHICLE_SETUP.CorneringEnable->PDT27_E2A_R1_FDCAN8.dbc	解得	段1不適用(R-VL12(c))
IPC_VEHICLE_SETUP.DRLEnable	CAN	spec_paras						IPC_VEHICLE_SETUP.DRLEnable				IPC_VEHICLE_SETUP.DRLEnable → BO_1468 IPC_VEHICLE_SETUP / SG_ DRLEnable / VAL_ 有 2 項	IPC_VEHICLE_SETUP.DRLEnable->PDT27_E2A_R1_FDCAN8.dbc	解得	段1不適用(R-VL12(c))
IPC_VEHICLE_SETUP.DistanceUnit	CAN	037_desc;spec_paras	3	3	LID/CAN Mapping/r459cA/Logical Identifier/R2 去 MESSAGE. 前綴 ; LID/CAN Mapping/r459cB/Function/R4 R2 去 MESSAGE. 前綴+底線/大小寫 ; LID/CAN Mapping/r459cP/Atlantis Signal Name/R1 逐字	LID/CAN Mapping/r459cA/Logical Identifier/R2 去 MESSAGE. 前綴 ; LID/CAN Mapping/r459cB/Function/R4 R2 去 MESSAGE. 前綴+底線/大小寫 ; LID/CAN Mapping/r459cP/Atlantis Signal Name/R1 逐字		IPC_VEHICLE_SETUP.DistanceUnit			FD	IPC_VEHICLE_SETUP.DistanceUnit → BO_1468 IPC_VEHICLE_SETUP / SG_ DistanceUnit / VAL_ 有 2 項		解得	
IPC_VEHICLE_SETUP.ExternalLightSensorLevel	CAN	037_desc;spec_paras	4	4	LID/CAN Mapping/r751cA/Logical Identifier/R2 去 MESSAGE. 前綴 ; LID/CAN Mapping/r751cB/Function/R4 R2 去 MESSAGE. 前綴+底線/大小寫 ; LID/CAN Mapping/r751cP/Atlantis Signal Name/R1 逐字 ; LID/CAN Mapping/r751cZ/Atlantis High Signal Name/R1 逐字	LID/CAN Mapping/r751cA/Logical Identifier/R2 去 MESSAGE. 前綴 ; LID/CAN Mapping/r751cB/Function/R4 R2 去 MESSAGE. 前綴+底線/大小寫 ; LID/CAN Mapping/r751cP/Atlantis Signal Name/R1 逐字 ; LID/CAN Mapping/r751cZ/Atlantis High Signal Name/R1 逐字		IPC_VEHICLE_SETUP.ExternalLightSensorLevel	IPC_VEHICLE_SETUP.ExternalLightSensorLevel			IPC_VEHICLE_SETUP.ExternalLightSensorLevel → BO_1468 IPC_VEHICLE_SETUP / SG_ ExternalLightSensorLevel / VAL_ 有 4 項		解得	
